confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr,countryFullName,countryName
1,1,0,0,1,1,20200307,0,0,0,0,Peru,秘鲁
6,5,0,0,6,5,20200308,0,0,0,0,Peru,秘鲁
6,0,0,0,6,0,20200309,0,0,0,0,Peru,秘鲁
9,3,0,0,9,3,20200310,0,0,0,0,Peru,秘鲁
11,2,0,0,11,2,20200311,0,0,0,0,Peru,秘鲁
17,6,0,0,17,6,20200312,0,0,0,0,Peru,秘鲁
22,5,0,0,22,5,20200313,0,0,0,0,Peru,秘鲁
28,6,0,0,28,6,20200314,0,0,0,0,Peru,秘鲁
43,15,0,0,43,15,20200315,0,0,0,0,Peru,秘鲁
71,28,0,0,71,28,20200316,0,0,0,0,Peru,秘鲁
86,15,0,0,86,15,20200317,0,0,0,0,Peru,秘鲁
86,0,0,0,86,0,20200318,0,0,0,0,Peru,秘鲁
234,148,0,0,233,147,20200319,1,1,0,0,Peru,秘鲁
263,29,0,0,259,26,20200320,4,3,0,0,Peru,秘鲁
318,55,0,0,313,54,20200321,5,1,0,0,Peru,秘鲁
318,0,0,0,313,0,20200322,5,0,0,0,Peru,秘鲁
395,77,1,1,389,76,20200323,5,0,0,0,Peru,秘鲁
395,0,1,0,389,0,20200324,5,0,0,0,Peru,秘鲁
480,85,1,0,474,85,20200325,5,0,0,0,Peru,秘鲁
580,100,1,0,570,96,20200326,9,4,0,0,Peru,秘鲁
635,55,14,13,610,40,20200327,11,2,0,0,Peru,秘鲁
671,36,14,0,641,31,20200328,16,5,0,0,Peru,秘鲁
852,181,14,0,820,179,20200329,18,2,0,0,Peru,秘鲁
950,98,14,0,912,92,20200330,24,6,0,0,Peru,秘鲁
1065,115,394,380,641,-271,20200331,30,6,0,0,Peru,秘鲁
1065,0,394,0,641,0,20200401,30,0,0,0,Peru,秘鲁
1414,349,537,143,822,181,20200402,55,25,0,0,Peru,秘鲁
1414,0,537,0,822,0,20200403,55,0,0,0,Peru,秘鲁
1746,332,914,377,759,-63,20200404,73,18,0,0,Peru,秘鲁
2281,535,914,0,1284,525,20200405,83,10,0,0,Peru,秘鲁
2281,0,914,0,1284,0,20200406,83,0,0,0,Peru,秘鲁
2954,673,1231,317,1616,332,20200407,107,24,0,0,Peru,秘鲁
4332,1378,1231,0,2980,1364,20200408,121,14,0,0,Peru,秘鲁
4332,0,1231,0,2980,0,20200409,121,0,0,0,Peru,秘鲁
5897,1565,1569,338,4159,1179,20200410,169,48,0,0,Peru,秘鲁
5897,0,1569,0,4159,0,20200411,169,0,0,0,Peru,秘鲁
7519,1622,1798,229,5528,1369,20200412,193,24,0,0,Peru,秘鲁
7519,0,1798,0,5528,0,20200413,193,0,0,0,Peru,秘鲁
7519,0,1798,0,5528,0,20200414,193,0,0,0,Peru,秘鲁
7519,0,1798,0,5528,0,20200415,193,0,0,0,Peru,秘鲁
10303,2784,1798,0,8275,2747,20200416,230,37,0,0,Peru,秘鲁
11475,1172,1798,0,9423,1148,20200417,254,24,0,0,Peru,秘鲁
14420,2945,6684,4886,7388,-2035,20200418,348,94,0,0,Peru,秘鲁
15628,1208,6811,127,8417,1029,20200419,400,52,0,0,Peru,秘鲁
16325,697,6968,157,8912,495,20200420,445,45,0,0,Peru,秘鲁
17837,1512,6982,14,10371,1459,20200421,484,39,0,0,Peru,秘鲁
19250,1413,7027,45,11693,1322,20200422,530,46,0,0,Peru,秘鲁
20914,1664,7422,395,12920,1227,20200423,572,42,0,0,Peru,秘鲁
21648,734,7496,74,13518,598,20200424,634,62,0,0,Peru,秘鲁
21648,0,7496,0,13518,0,20200425,634,0,0,0,Peru,秘鲁
25331,3683,7797,301,16834,3316,20200426,700,66,0,0,Peru,秘鲁
28699,3368,8425,628,19492,2658,20200427,782,82,0,0,Peru,秘鲁
31190,2491,9179,754,21157,1665,20200428,854,72,0,0,Peru,秘鲁
33931,2741,10037,858,22951,1794,20200429,943,89,0,0,Peru,秘鲁
36976,3045,10405,368,25520,2569,20200430,1051,108,0,0,Peru,秘鲁
40459,3483,11129,724,28206,2686,20200501,1124,73,0,0,Peru,秘鲁
42534,2075,12434,1305,28900,694,20200502,1200,76,0,0,Peru,秘鲁
45928,3394,13550,1116,31092,2192,20200503,1286,86,0,0,Peru,秘鲁
47372,1444,14427,877,31601,509,20200504,1344,58,0,0,Peru,秘鲁
51189,3817,14427,0,35318,3717,20200505,1444,100,0,0,Peru,秘鲁
54817,3628,17527,3100,35757,439,20200506,1533,89,0,0,Peru,秘鲁
58526,3709,18388,861,38511,2754,20200507,1627,94,0,0,Peru,秘鲁
61847,3321,19012,624,41121,2610,20200508,1714,87,0,0,Peru,秘鲁
65015,3168,20834,1822,42367,1246,20200509,1814,100,0,0,Peru,秘鲁
67307,2292,21349,515,44069,1702,20200510,1889,75,0,0,Peru,秘鲁
68822,1515,22406,1057,44455,386,20200511,1961,72,0,0,Peru,秘鲁
72059,3237,23324,918,46678,2223,20200512,2057,96,0,0,Peru,秘鲁
76306,4247,24324,1000,49813,3135,20200513,2169,112,0,0,Peru,秘鲁
80604,4298,25151,827,53186,3373,20200514,2267,98,0,0,Peru,秘鲁
84495,3891,27147,1996,54956,1770,20200515,2392,125,0,0,Peru,秘鲁
84495,0,27147,0,54956,0,20200516,2392,0,0,0,Peru,秘鲁
92273,7778,29621,2474,60004,5048,20200517,2648,256,0,0,Peru,秘鲁
94933,2660,30306,685,61838,1834,20200518,2789,141,0,0,Peru,秘鲁
99483,4550,36524,6218,60045,-1793,20200519,2914,125,0,0,Peru,秘鲁
104020,4537,41968,5444,59028,-1017,20200520,3024,110,0,0,Peru,秘鲁
108759,4739,43587,1619,62024,2996,20200521,3148,124,0,0,Peru,秘鲁
111698,2939,44848,1261,63606,1582,20200522,3244,96,0,0,Peru,秘鲁
115754,4056,47915,3067,64466,860,20200523,3373,129,0,0,Peru,秘鲁
119959,4205,49795,1880,66708,2242,20200524,3456,83,0,0,Peru,秘鲁
119959,0,49795,0,66708,0,20200525,3456,0,0,0,Peru,秘鲁
129751,9792,52906,3111,73057,6349,20200526,3788,332,0,0,Peru,秘鲁
135905,6154,56169,3263,75753,2696,20200527,3983,195,0,0,Peru,秘鲁
141779,5874,59442,3273,78238,2485,20200528,4099,116,0,0,Peru,秘鲁
148285,6506,62791,3349,81264,3026,20200529,4230,131,0,0,Peru,秘鲁
155671,7386,66447,3656,84853,3589,20200530,4371,141,0,0,Peru,秘鲁
164476,8805,67208,761,92762,7909,20200531,4506,135,0,0,Peru,秘鲁
170039,5563,68507,1299,96898,4136,20200601,4634,128,0,0,Peru,秘鲁
174884,4845,69257,750,100860,3962,20200602,4767,133,0,0,Peru,秘鲁
178914,4030,72319,3062,101701,841,20200603,4894,127,0,0,Peru,秘鲁
183198,4284,76228,3909,101939,238,20200604,5031,137,0,0,Peru,秘鲁
187400,4202,79214,2986,103024,1085,20200605,5162,131,0,0,Peru,秘鲁
191758,4358,82731,3517,103726,702,20200606,5301,139,0,0,Peru,秘鲁
196515,4757,86219,3488,104831,1105,20200607,5465,164,0,0,Peru,秘鲁
199696,3181,89556,3337,104569,-262,20200608,5571,106,0,0,Peru,秘鲁
203736,4040,92929,3373,105069,500,20200609,5738,167,0,0,Peru,秘鲁
