confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr,countryFullName,countryName
1,1,0,0,1,1,20200304,0,0,0,0,Poland,波兰
1,0,0,0,1,0,20200305,0,0,0,0,Poland,波兰
1,0,0,0,1,0,20200306,0,0,0,0,Poland,波兰
5,4,0,0,5,4,20200307,0,0,0,0,Poland,波兰
6,1,0,0,6,1,20200308,0,0,0,0,Poland,波兰
11,5,0,0,11,5,20200309,0,0,0,0,Poland,波兰
16,5,0,0,16,5,20200310,0,0,0,0,Poland,波兰
22,6,0,0,22,6,20200311,0,0,0,0,Poland,波兰
44,22,0,0,44,22,20200312,0,0,0,0,Poland,波兰
49,5,0,0,48,4,20200313,1,1,0,0,Poland,波兰
64,15,0,0,63,15,20200314,1,0,0,0,Poland,波兰
111,47,0,0,108,45,20200315,3,2,0,0,Poland,波兰
150,39,13,13,134,26,20200316,3,0,0,0,Poland,波兰
150,0,13,0,134,0,20200317,3,0,0,0,Poland,波兰
246,96,13,0,228,94,20200318,5,2,0,0,Poland,波兰
355,109,13,0,337,109,20200319,5,0,0,0,Poland,波兰
425,70,13,0,407,70,20200320,5,0,0,0,Poland,波兰
536,111,13,0,518,111,20200321,5,0,0,0,Poland,波兰
634,98,13,0,614,96,20200322,7,2,0,0,Poland,波兰
634,0,13,0,614,0,20200323,7,0,0,0,Poland,波兰
901,267,13,0,878,264,20200324,10,3,0,0,Poland,波兰
901,0,13,0,878,0,20200325,10,0,0,0,Poland,波兰
1221,320,13,0,1192,314,20200326,16,6,0,0,Poland,波兰
1221,0,13,0,1192,0,20200327,16,0,0,0,Poland,波兰
1638,417,13,0,1607,415,20200328,18,2,0,0,Poland,波兰
1862,224,13,0,1827,220,20200329,22,4,0,0,Poland,波兰
2055,193,13,0,2011,184,20200330,31,9,0,0,Poland,波兰
2311,256,13,0,2265,254,20200331,33,2,0,0,Poland,波兰
2554,243,13,0,2498,233,20200401,43,10,0,0,Poland,波兰
2946,392,13,0,2876,378,20200402,57,14,0,0,Poland,波兰
3383,437,13,0,3299,423,20200403,71,14,0,0,Poland,波兰
