confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr,countryFullName,countryName
2,2,0,0,2,2,20200303,0,0,0,0,Portugal,葡萄牙
2,0,0,0,2,0,20200304,0,0,0,0,Portugal,葡萄牙
7,5,0,0,7,5,20200305,0,0,0,0,Portugal,葡萄牙
9,2,0,0,9,2,20200306,0,0,0,0,Portugal,葡萄牙
13,4,0,0,13,4,20200307,0,0,0,0,Portugal,葡萄牙
21,8,0,0,21,8,20200308,0,0,0,0,Portugal,葡萄牙
30,9,0,0,30,9,20200309,0,0,0,0,Portugal,葡萄牙
30,0,0,0,30,0,20200310,0,0,0,0,Portugal,葡萄牙
41,11,0,0,41,11,20200311,0,0,0,0,Portugal,葡萄牙
41,0,0,0,41,0,20200312,0,0,0,0,Portugal,葡萄牙
41,0,0,0,41,0,20200313,0,0,0,0,Portugal,葡萄牙
112,71,0,0,112,71,20200314,0,0,0,0,Portugal,葡萄牙
112,0,0,0,112,0,20200315,0,0,0,0,Portugal,葡萄牙
245,133,0,0,245,133,20200316,0,0,0,0,Portugal,葡萄牙
331,86,3,3,328,83,20200317,0,0,0,0,Portugal,葡萄牙
448,117,3,0,444,116,20200318,1,1,0,0,Portugal,葡萄牙
642,194,3,0,638,194,20200319,1,0,0,0,Portugal,葡萄牙
785,143,3,0,779,141,20200320,3,2,0,0,Portugal,葡萄牙
1280,495,3,0,1265,486,20200321,12,9,0,0,Portugal,葡萄牙
1600,320,3,0,1585,320,20200322,12,0,0,0,Portugal,葡萄牙
2060,460,14,11,2023,438,20200323,23,11,0,0,Portugal,葡萄牙
2362,302,22,8,2311,288,20200324,29,6,0,0,Portugal,葡萄牙
2995,633,22,0,2940,629,20200325,33,4,0,0,Portugal,葡萄牙
3544,549,22,0,3462,522,20200326,60,27,0,0,Portugal,葡萄牙
4268,724,22,0,4170,708,20200327,76,16,0,0,Portugal,葡萄牙
4268,0,22,0,4170,0,20200328,76,0,0,0,Portugal,葡萄牙
5962,1694,22,0,5821,1651,20200329,119,43,0,0,Portugal,葡萄牙
6408,446,22,0,6246,425,20200330,140,21,0,0,Portugal,葡萄牙
7443,1035,22,0,7261,1015,20200331,160,20,0,0,Portugal,葡萄牙
8251,808,22,0,8042,781,20200401,187,27,0,0,Portugal,葡萄牙
9034,783,22,0,8803,761,20200402,209,22,0,0,Portugal,葡萄牙
9886,852,22,0,9618,815,20200403,246,37,0,0,Portugal,葡萄牙
10524,638,75,53,10183,565,20200404,266,20,0,0,Portugal,葡萄牙
11278,754,75,0,10937,754,20200405,266,0,0,0,Portugal,葡萄牙
11730,452,140,65,11279,342,20200406,311,45,0,0,Portugal,葡萄牙
12442,712,140,0,11957,678,20200407,345,34,0,0,Portugal,葡萄牙
13141,699,140,0,12621,664,20200408,380,35,0,0,Portugal,葡萄牙
13141,0,140,0,12621,0,20200409,380,0,0,0,Portugal,葡萄牙
15472,2331,140,0,14897,2276,20200410,435,55,0,0,Portugal,葡萄牙
15987,515,266,126,15251,354,20200411,470,35,0,0,Portugal,葡萄牙
16585,598,277,11,15804,553,20200412,504,34,0,0,Portugal,葡萄牙
16934,349,277,0,16122,318,20200413,535,31,0,0,Portugal,葡萄牙
17448,514,347,70,16534,412,20200414,567,32,0,0,Portugal,葡萄牙
18091,643,379,32,17113,579,20200415,599,32,0,0,Portugal,葡萄牙
18841,750,493,114,17719,606,20200416,629,30,0,0,Portugal,葡萄牙
19022,181,519,26,17846,127,20200417,657,28,0,0,Portugal,葡萄牙
19685,663,610,91,18388,542,20200418,687,30,0,0,Portugal,葡萄牙
20206,521,610,0,18882,494,20200419,714,27,0,0,Portugal,葡萄牙
20863,657,610,0,19518,636,20200420,735,21,0,0,Portugal,葡萄牙
21379,516,917,307,19700,182,20200421,762,27,0,0,Portugal,葡萄牙
21982,603,1143,226,20054,354,20200422,785,23,0,0,Portugal,葡萄牙
22353,371,1201,58,20332,278,20200423,820,35,0,0,Portugal,葡萄牙
22797,444,1228,27,20715,383,20200424,854,34,0,0,Portugal,葡萄牙
23392,595,1228,0,21284,569,20200425,880,26,0,0,Portugal,葡萄牙
23864,472,1329,101,21632,348,20200426,903,23,0,0,Portugal,葡萄牙
24027,163,1357,28,21742,110,20200427,928,25,0,0,Portugal,葡萄牙
24322,295,1389,32,21985,243,20200428,948,20,0,0,Portugal,葡萄牙
24505,183,1470,81,22062,77,20200429,973,25,0,0,Portugal,葡萄牙
