confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr,countryFullName,countryName
3,3,0,0,3,3,20200316,0,0,0,0,Puerto Rico,波多黎各
3,0,0,0,3,0,20200317,0,0,0,0,Puerto Rico,波多黎各
3,0,0,0,3,0,20200318,0,0,0,0,Puerto Rico,波多黎各
5,2,0,0,5,2,20200319,0,0,0,0,Puerto Rico,波多黎各
6,1,0,0,6,1,20200320,0,0,0,0,Puerto Rico,波多黎各
14,8,0,0,14,8,20200321,0,0,0,0,Puerto Rico,波多黎各
21,7,0,0,20,6,20200322,1,1,0,0,Puerto Rico,波多黎各
23,2,0,0,22,2,20200323,1,0,0,0,Puerto Rico,波多黎各
31,8,0,0,29,7,20200324,2,1,0,0,Puerto Rico,波多黎各
39,8,0,0,37,8,20200325,2,0,0,0,Puerto Rico,波多黎各
51,12,0,0,49,12,20200326,2,0,0,0,Puerto Rico,波多黎各
64,13,0,0,62,13,20200327,2,0,0,0,Puerto Rico,波多黎各
64,0,0,0,62,0,20200328,2,0,0,0,Puerto Rico,波多黎各
64,0,0,0,62,0,20200329,2,0,0,0,Puerto Rico,波多黎各
64,0,0,0,62,0,20200330,2,0,0,0,Puerto Rico,波多黎各
174,110,0,0,168,106,20200331,6,4,0,0,Puerto Rico,波多黎各
239,65,0,0,231,63,20200401,8,2,0,0,Puerto Rico,波多黎各
286,47,0,0,275,44,20200402,11,3,0,0,Puerto Rico,波多黎各
316,30,0,0,304,29,20200403,12,1,0,0,Puerto Rico,波多黎各
378,62,0,0,363,59,20200404,15,3,0,0,Puerto Rico,波多黎各
452,74,0,0,434,71,20200405,18,3,0,0,Puerto Rico,波多黎各
452,0,0,0,434,0,20200406,18,0,0,0,Puerto Rico,波多黎各
513,61,0,0,492,58,20200407,21,3,0,0,Puerto Rico,波多黎各
573,60,0,0,550,58,20200408,23,2,0,0,Puerto Rico,波多黎各
620,47,0,0,596,46,20200409,24,1,0,0,Puerto Rico,波多黎各
683,63,0,0,650,54,20200410,33,9,0,0,Puerto Rico,波多黎各
725,42,0,0,686,36,20200411,39,6,0,0,Puerto Rico,波多黎各
788,63,0,0,746,60,20200412,42,3,0,0,Puerto Rico,波多黎各
897,109,0,0,853,107,20200413,44,2,0,0,Puerto Rico,波多黎各
903,6,0,0,858,5,20200414,45,1,0,0,Puerto Rico,波多黎各
923,20,0,0,878,20,20200415,45,0,0,0,Puerto Rico,波多黎各
974,51,0,0,923,45,20200416,51,6,0,0,Puerto Rico,波多黎各
1043,69,0,0,987,64,20200417,56,5,0,0,Puerto Rico,波多黎各
1068,25,0,0,1010,23,20200418,58,2,0,0,Puerto Rico,波多黎各
1118,50,0,0,1058,48,20200419,60,2,0,0,Puerto Rico,波多黎各
1213,95,0,0,1151,93,20200420,62,2,0,0,Puerto Rico,波多黎各
