confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr,countryFullName,countryName
1,1,0,0,1,1,20200301,0,0,0,0,Qatar,卡塔尔
3,2,0,0,3,2,20200302,0,0,0,0,Qatar,卡塔尔
7,4,0,0,7,4,20200303,0,0,0,0,Qatar,卡塔尔
8,1,0,0,8,1,20200304,0,0,0,0,Qatar,卡塔尔
8,0,0,0,8,0,20200305,0,0,0,0,Qatar,卡塔尔
8,0,0,0,8,0,20200306,0,0,0,0,Qatar,卡塔尔
11,3,0,0,11,3,20200307,0,0,0,0,Qatar,卡塔尔
12,1,0,0,12,1,20200308,0,0,0,0,Qatar,卡塔尔
15,3,0,0,15,3,20200309,0,0,0,0,Qatar,卡塔尔
18,3,0,0,18,3,20200310,0,0,0,0,Qatar,卡塔尔
24,6,0,0,24,6,20200311,0,0,0,0,Qatar,卡塔尔
262,238,0,0,262,238,20200312,0,0,0,0,Qatar,卡塔尔
262,0,0,0,262,0,20200313,0,0,0,0,Qatar,卡塔尔
262,0,0,0,262,0,20200314,0,0,0,0,Qatar,卡塔尔
337,75,0,0,337,75,20200315,0,0,0,0,Qatar,卡塔尔
401,64,0,0,401,64,20200316,0,0,0,0,Qatar,卡塔尔
439,38,0,0,439,38,20200317,0,0,0,0,Qatar,卡塔尔
442,3,0,0,442,3,20200318,0,0,0,0,Qatar,卡塔尔
452,10,4,4,448,6,20200319,0,0,0,0,Qatar,卡塔尔
470,18,10,6,460,12,20200320,0,0,0,0,Qatar,卡塔尔
481,11,27,17,454,-6,20200321,0,0,0,0,Qatar,卡塔尔
494,13,33,6,461,7,20200322,0,0,0,0,Qatar,卡塔尔
501,7,37,4,464,3,20200323,0,0,0,0,Qatar,卡塔尔
526,25,41,4,485,21,20200324,0,0,0,0,Qatar,卡塔尔
537,11,41,0,496,11,20200325,0,0,0,0,Qatar,卡塔尔
549,12,43,2,506,10,20200326,0,0,0,0,Qatar,卡塔尔
562,13,43,0,519,13,20200327,0,0,0,0,Qatar,卡塔尔
590,28,45,2,544,25,20200328,1,1,0,0,Qatar,卡塔尔
634,44,48,3,585,41,20200329,1,0,0,0,Qatar,卡塔尔
693,59,51,3,640,55,20200330,2,1,0,0,Qatar,卡塔尔
781,88,62,11,717,77,20200331,2,0,0,0,Qatar,卡塔尔
835,54,71,9,762,45,20200401,2,0,0,0,Qatar,卡塔尔
949,114,72,1,872,110,20200402,5,3,0,0,Qatar,卡塔尔
1075,126,72,0,998,126,20200403,5,0,0,0,Qatar,卡塔尔
1325,250,109,37,1211,213,20200404,5,0,0,0,Qatar,卡塔尔
1604,279,123,14,1477,266,20200405,4,-1,0,0,Qatar,卡塔尔
1832,228,131,8,1697,220,20200406,4,0,0,0,Qatar,卡塔尔
2057,225,131,0,1920,223,20200407,6,2,0,0,Qatar,卡塔尔
2210,153,178,47,2026,106,20200408,6,0,0,0,Qatar,卡塔尔
2376,166,206,28,2164,138,20200409,6,0,0,0,Qatar,卡塔尔
