confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr,countryFullName,countryName
1,1,0,0,1,1,20200308,0,0,0,0,Republic of Moldova,摩尔多瓦
1,0,0,0,1,0,20200309,0,0,0,0,Republic of Moldova,摩尔多瓦
1,0,0,0,1,0,20200310,0,0,0,0,Republic of Moldova,摩尔多瓦
3,2,0,0,3,2,20200311,0,0,0,0,Republic of Moldova,摩尔多瓦
4,1,0,0,4,1,20200312,0,0,0,0,Republic of Moldova,摩尔多瓦
4,0,0,0,4,0,20200313,0,0,0,0,Republic of Moldova,摩尔多瓦
8,4,0,0,8,4,20200314,0,0,0,0,Republic of Moldova,摩尔多瓦
12,4,0,0,12,4,20200315,0,0,0,0,Republic of Moldova,摩尔多瓦
23,11,0,0,23,11,20200316,0,0,0,0,Republic of Moldova,摩尔多瓦
29,6,0,0,29,6,20200317,0,0,0,0,Republic of Moldova,摩尔多瓦
30,1,0,0,30,1,20200318,0,0,0,0,Republic of Moldova,摩尔多瓦
49,19,1,1,47,17,20200319,1,1,0,0,Republic of Moldova,摩尔多瓦
66,17,1,0,64,17,20200320,1,0,0,0,Republic of Moldova,摩尔多瓦
80,14,1,0,78,14,20200321,1,0,0,0,Republic of Moldova,摩尔多瓦
94,14,1,0,92,14,20200322,1,0,0,0,Republic of Moldova,摩尔多瓦
109,15,1,0,107,15,20200323,1,0,0,0,Republic of Moldova,摩尔多瓦
125,16,1,0,123,16,20200324,1,0,0,0,Republic of Moldova,摩尔多瓦
149,24,1,0,147,24,20200325,1,0,0,0,Republic of Moldova,摩尔多瓦
177,28,1,0,175,28,20200326,1,0,0,0,Republic of Moldova,摩尔多瓦
199,22,10,9,187,12,20200327,2,1,0,0,Republic of Moldova,摩尔多瓦
199,0,10,0,187,0,20200328,2,0,0,0,Republic of Moldova,摩尔多瓦
231,32,10,0,219,32,20200329,2,0,0,0,Republic of Moldova,摩尔多瓦
298,67,10,0,286,67,20200330,2,0,0,0,Republic of Moldova,摩尔多瓦
353,55,22,12,327,41,20200331,4,2,0,0,Republic of Moldova,摩尔多瓦
423,70,22,0,396,69,20200401,5,1,0,0,Republic of Moldova,摩尔多瓦
505,82,22,0,477,81,20200402,6,1,0,0,Republic of Moldova,摩尔多瓦
591,86,22,0,561,84,20200403,8,2,0,0,Republic of Moldova,摩尔多瓦
752,161,22,0,718,157,20200404,12,4,0,0,Republic of Moldova,摩尔多瓦
864,112,30,8,819,101,20200405,15,3,0,0,Republic of Moldova,摩尔多瓦
965,101,30,0,918,99,20200406,17,2,0,0,Republic of Moldova,摩尔多瓦
1056,91,30,0,1007,89,20200407,19,2,0,0,Republic of Moldova,摩尔多瓦
1174,118,30,0,1122,115,20200408,22,3,0,0,Republic of Moldova,摩尔多瓦
1174,0,30,0,1116,-6,20200409,28,6,0,0,Republic of Moldova,摩尔多瓦
1289,115,30,0,1230,114,20200410,29,1,0,0,Republic of Moldova,摩尔多瓦
1560,271,75,45,1455,225,20200411,30,1,0,0,Republic of Moldova,摩尔多瓦
1560,0,75,0,1455,0,20200412,30,0,0,0,Republic of Moldova,摩尔多瓦
1712,152,75,0,1604,149,20200413,33,3,0,0,Republic of Moldova,摩尔多瓦
1712,0,75,0,1601,-3,20200414,36,3,0,0,Republic of Moldova,摩尔多瓦
2049,337,171,96,1834,233,20200415,44,8,0,0,Republic of Moldova,摩尔多瓦
2154,105,235,64,1866,32,20200416,53,9,0,0,Republic of Moldova,摩尔多瓦
2264,110,235,0,1974,108,20200417,55,2,0,0,Republic of Moldova,摩尔多瓦
2351,87,391,156,1903,-71,20200418,57,2,0,0,Republic of Moldova,摩尔多瓦
2472,121,457,66,1948,45,20200419,67,10,0,0,Republic of Moldova,摩尔多瓦
2548,76,478,21,2000,52,20200420,70,3,0,0,Republic of Moldova,摩尔多瓦
2614,66,505,27,2036,36,20200421,73,3,0,0,Republic of Moldova,摩尔多瓦
2641,27,505,0,2063,27,20200422,73,0,0,0,Republic of Moldova,摩尔多瓦
2778,137,505,0,2197,134,20200423,76,3,0,0,Republic of Moldova,摩尔多瓦
2926,148,505,0,2341,144,20200424,80,4,0,0,Republic of Moldova,摩尔多瓦
3110,184,505,0,2518,177,20200425,87,7,0,0,Republic of Moldova,摩尔多瓦
3304,194,505,0,2705,187,20200426,94,7,0,0,Republic of Moldova,摩尔多瓦
3408,104,505,0,2807,102,20200427,96,2,0,0,Republic of Moldova,摩尔多瓦
3481,73,925,420,2453,-354,20200428,103,7,0,0,Republic of Moldova,摩尔多瓦
3771,290,1114,189,2548,95,20200429,109,6,0,0,Republic of Moldova,摩尔多瓦
3897,126,1182,68,2599,51,20200430,116,7,0,0,Republic of Moldova,摩尔多瓦
3980,83,1272,90,2586,-13,20200501,122,6,0,0,Republic of Moldova,摩尔多瓦
4051,71,1334,62,2593,7,20200502,124,2,0,0,Republic of Moldova,摩尔多瓦
4121,70,1382,48,2614,21,20200503,125,1,0,0,Republic of Moldova,摩尔多瓦
4248,127,1423,41,2697,83,20200504,128,3,0,0,Republic of Moldova,摩尔多瓦
4363,115,1544,121,2686,-11,20200505,133,5,0,0,Republic of Moldova,摩尔多瓦
4363,0,1544,0,2679,-7,20200506,140,7,0,0,Republic of Moldova,摩尔多瓦
4476,113,1544,0,2789,110,20200507,143,3,0,0,Republic of Moldova,摩尔多瓦
4605,129,1544,0,2916,127,20200508,145,2,0,0,Republic of Moldova,摩尔多瓦
4867,262,1925,381,2781,-135,20200509,161,16,0,0,Republic of Moldova,摩尔多瓦
4927,60,1958,33,2800,19,20200510,169,8,0,0,Republic of Moldova,摩尔多瓦
4927,0,1958,0,2798,-2,20200511,171,2,0,0,Republic of Moldova,摩尔多瓦
4995,68,1958,0,2858,60,20200512,179,8,0,0,Republic of Moldova,摩尔多瓦
5406,411,2176,218,3045,187,20200513,185,6,0,0,Republic of Moldova,摩尔多瓦
5406,0,2176,0,3040,-5,20200514,190,5,0,0,Republic of Moldova,摩尔多瓦
5553,147,2176,0,3181,141,20200515,196,6,0,0,Republic of Moldova,摩尔多瓦
5745,192,2176,0,3365,184,20200516,204,8,0,0,Republic of Moldova,摩尔多瓦
6060,315,2408,232,3441,76,20200517,211,7,0,0,Republic of Moldova,摩尔多瓦
6060,0,2408,0,3441,0,20200518,211,0,0,0,Republic of Moldova,摩尔多瓦
6138,78,2408,0,3511,70,20200519,219,8,0,0,Republic of Moldova,摩尔多瓦
6340,202,2408,0,3708,197,20200520,224,5,0,0,Republic of Moldova,摩尔多瓦
6553,213,2408,0,3913,205,20200521,232,8,0,0,Republic of Moldova,摩尔多瓦
6704,151,2408,0,4063,150,20200522,233,1,0,0,Republic of Moldova,摩尔多瓦
6994,290,3452,1044,3300,-763,20200523,242,9,0,0,Republic of Moldova,摩尔多瓦
6994,0,3452,0,3292,-8,20200524,250,8,0,0,Republic of Moldova,摩尔多瓦
7093,99,3452,0,3385,93,20200525,256,6,0,0,Republic of Moldova,摩尔多瓦
7149,56,3452,0,3432,47,20200526,265,9,0,0,Republic of Moldova,摩尔多瓦
7305,156,3452,0,3580,148,20200527,273,8,0,0,Republic of Moldova,摩尔多瓦
7537,232,3452,0,3809,229,20200528,276,3,0,0,Republic of Moldova,摩尔多瓦
7725,188,3452,0,3991,182,20200529,282,6,0,0,Republic of Moldova,摩尔多瓦
8098,373,4455,1003,3352,-639,20200530,291,9,0,0,Republic of Moldova,摩尔多瓦
8098,0,4455,0,3349,-3,20200531,294,3,0,0,Republic of Moldova,摩尔多瓦
8251,153,4455,0,3501,152,20200601,295,1,0,0,Republic of Moldova,摩尔多瓦
8360,109,4455,0,3598,97,20200602,307,12,0,0,Republic of Moldova,摩尔多瓦
8548,188,4455,0,3784,186,20200603,309,2,0,0,Republic of Moldova,摩尔多瓦
8795,247,4455,0,4026,242,20200604,314,5,0,0,Republic of Moldova,摩尔多瓦
9247,452,5240,785,3684,-342,20200605,323,9,0,0,Republic of Moldova,摩尔多瓦
9247,0,5240,0,3684,0,20200606,323,0,0,0,Republic of Moldova,摩尔多瓦
9511,264,5240,0,3936,252,20200607,335,12,0,0,Republic of Moldova,摩尔多瓦
9700,189,5240,0,4114,178,20200608,346,11,0,0,Republic of Moldova,摩尔多瓦
9807,107,5240,0,4208,94,20200609,359,13,0,0,Republic of Moldova,摩尔多瓦
10025,218,5240,0,4418,210,20200610,367,8,0,0,Republic of Moldova,摩尔多瓦
10321,296,5240,0,4710,292,20200611,371,4,0,0,Republic of Moldova,摩尔多瓦
10727,406,5240,0,5112,402,20200612,375,4,0,0,Republic of Moldova,摩尔多瓦
11093,366,5240,0,5458,346,20200613,395,20,0,0,Republic of Moldova,摩尔多瓦
11459,366,5240,0,5820,362,20200614,399,4,0,0,Republic of Moldova,摩尔多瓦
11740,281,5240,0,6094,274,20200615,406,7,0,0,Republic of Moldova,摩尔多瓦
11879,139,5240,0,6222,128,20200616,417,11,0,0,Republic of Moldova,摩尔多瓦
