confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr,countryFullName,countryName
1,1,0,0,1,1,20200227,0,0,0,0,Romania,罗马尼亚
1,0,0,0,1,0,20200228,0,0,0,0,Romania,罗马尼亚
3,2,0,0,3,2,20200229,0,0,0,0,Romania,罗马尼亚
3,0,0,0,3,0,20200301,0,0,0,0,Romania,罗马尼亚
3,0,0,0,3,0,20200302,0,0,0,0,Romania,罗马尼亚
3,0,0,0,3,0,20200303,0,0,0,0,Romania,罗马尼亚
4,1,0,0,4,1,20200304,0,0,0,0,Romania,罗马尼亚
4,0,0,0,4,0,20200305,0,0,0,0,Romania,罗马尼亚
6,2,0,0,6,2,20200306,0,0,0,0,Romania,罗马尼亚
7,1,0,0,7,1,20200307,0,0,0,0,Romania,罗马尼亚
13,6,0,0,13,6,20200308,0,0,0,0,Romania,罗马尼亚
15,2,0,0,15,2,20200309,0,0,0,0,Romania,罗马尼亚
15,0,0,0,15,0,20200310,0,0,0,0,Romania,罗马尼亚
25,10,0,0,25,10,20200311,0,0,0,0,Romania,罗马尼亚
48,23,0,0,48,23,20200312,0,0,0,0,Romania,罗马尼亚
48,0,0,0,48,0,20200313,0,0,0,0,Romania,罗马尼亚
64,16,0,0,64,16,20200314,0,0,0,0,Romania,罗马尼亚
123,59,3,3,120,56,20200315,0,0,0,0,Romania,罗马尼亚
158,35,3,0,155,35,20200316,0,0,0,0,Romania,罗马尼亚
158,0,3,0,155,0,20200317,0,0,0,0,Romania,罗马尼亚
184,26,3,0,181,26,20200318,0,0,0,0,Romania,罗马尼亚
277,93,3,0,274,93,20200319,0,0,0,0,Romania,罗马尼亚
308,31,31,28,277,3,20200320,0,0,0,0,Romania,罗马尼亚
308,0,31,0,277,0,20200321,0,0,0,0,Romania,罗马尼亚
367,59,31,0,335,58,20200322,1,1,0,0,Romania,罗马尼亚
576,209,31,0,538,203,20200323,7,6,0,0,Romania,罗马尼亚
576,0,31,0,538,0,20200324,7,0,0,0,Romania,罗马尼亚
907,331,31,0,859,321,20200325,17,10,0,0,Romania,罗马尼亚
907,0,31,0,859,0,20200326,17,0,0,0,Romania,罗马尼亚
1292,385,115,84,1153,294,20200327,24,7,0,0,Romania,罗马尼亚
1292,0,115,0,1153,0,20200328,24,0,0,0,Romania,罗马尼亚
1760,468,169,54,1549,396,20200329,42,18,0,0,Romania,罗马尼亚
1952,192,206,37,1696,147,20200330,50,8,0,0,Romania,罗马尼亚
2245,293,220,14,1956,260,20200331,69,19,0,0,Romania,罗马尼亚
2245,0,220,0,1956,0,20200401,69,0,0,0,Romania,罗马尼亚
2460,215,220,0,2155,199,20200402,85,16,0,0,Romania,罗马尼亚
3183,723,220,0,2869,714,20200403,94,9,0,0,Romania,罗马尼亚
3613,430,329,109,3143,274,20200404,141,47,0,0,Romania,罗马尼亚
3864,251,374,45,3339,196,20200405,151,10,0,0,Romania,罗马尼亚
4057,193,374,0,3526,187,20200406,157,6,0,0,Romania,罗马尼亚
4057,0,374,0,3526,0,20200407,157,0,0,0,Romania,罗马尼亚
4761,704,528,154,4024,498,20200408,209,52,0,0,Romania,罗马尼亚
5202,441,647,119,4326,302,20200409,229,20,0,0,Romania,罗马尼亚
5467,265,729,82,4481,155,20200410,257,28,0,0,Romania,罗马尼亚
5990,523,758,29,4950,469,20200411,282,25,0,0,Romania,罗马尼亚
6300,310,852,94,5142,192,20200412,306,24,0,0,Romania,罗马尼亚
6633,333,914,62,5401,259,20200413,318,12,0,0,Romania,罗马尼亚
6633,0,914,0,5401,0,20200414,318,0,0,0,Romania,罗马尼亚
7216,583,1217,303,5627,226,20200415,372,54,0,0,Romania,罗马尼亚
7707,491,1357,140,5963,336,20200416,387,15,0,0,Romania,罗马尼亚
8067,360,1508,151,6148,185,20200417,411,24,0,0,Romania,罗马尼亚
8418,351,1730,222,6271,123,20200418,417,6,0,0,Romania,罗马尼亚
8746,328,1892,162,6403,132,20200419,451,34,0,0,Romania,罗马尼亚
8936,190,2017,125,6441,38,20200420,478,27,0,0,Romania,罗马尼亚
9242,306,2153,136,6607,166,20200421,482,4,0,0,Romania,罗马尼亚
9710,468,2406,253,6796,189,20200422,508,26,0,0,Romania,罗马尼亚
10096,386,2478,72,7091,295,20200423,527,19,0,0,Romania,罗马尼亚
10417,321,2817,339,7048,-43,20200424,552,25,0,0,Romania,罗马尼亚
10635,218,2890,73,7170,122,20200425,575,23,0,0,Romania,罗马尼亚
11036,401,3054,164,7374,204,20200426,608,33,0,0,Romania,罗马尼亚
11339,303,3141,87,7567,193,20200427,631,23,0,0,Romania,罗马尼亚
11616,277,3404,263,7562,-5,20200428,650,19,0,0,Romania,罗马尼亚
11978,362,3569,165,7734,172,20200429,675,25,0,0,Romania,罗马尼亚
11978,0,3569,0,7734,0,20200430,675,0,0,0,Romania,罗马尼亚
12567,589,4328,759,7513,-221,20200501,726,51,0,0,Romania,罗马尼亚
12765,198,4547,219,7463,-50,20200502,755,29,0,0,Romania,罗马尼亚
13163,398,4869,322,7514,51,20200503,780,25,0,0,Romania,罗马尼亚
13512,349,5269,400,7440,-74,20200504,803,23,0,0,Romania,罗马尼亚
13837,325,5454,185,7556,116,20200505,827,24,0,0,Romania,罗马尼亚
14107,270,5788,334,7461,-95,20200506,858,31,0,0,Romania,罗马尼亚
14499,392,6144,356,7479,18,20200507,876,18,0,0,Romania,罗马尼亚
14811,312,6423,279,7490,11,20200508,898,22,0,0,Romania,罗马尼亚
14811,0,6423,0,7490,0,20200509,898,0,0,0,Romania,罗马尼亚
15362,551,7051,628,7359,-131,20200510,952,54,0,0,Romania,罗马尼亚
15588,226,7245,194,7371,12,20200511,972,20,0,0,Romania,罗马尼亚
15588,0,7245,0,7371,0,20200512,972,0,0,0,Romania,罗马尼亚
15778,190,7961,716,6815,-556,20200513,1002,30,0,0,Romania,罗马尼亚
16002,224,7961,0,7025,210,20200514,1016,14,0,0,Romania,罗马尼亚
16437,435,9370,1409,6011,-1014,20200515,1056,40,0,0,Romania,罗马尼亚
16704,267,9574,204,6049,38,20200516,1081,25,0,0,Romania,罗马尼亚
16871,167,9890,316,5884,-165,20200517,1097,16,0,0,Romania,罗马尼亚
17036,165,9930,40,5999,115,20200518,1107,10,0,0,Romania,罗马尼亚
17191,155,10166,236,5899,-100,20200519,1126,19,0,0,Romania,罗马尼亚
17387,196,10356,190,5890,-9,20200520,1141,15,0,0,Romania,罗马尼亚
17387,0,10356,0,5890,0,20200521,1141,0,0,0,Romania,罗马尼亚
17585,198,10356,0,6078,188,20200522,1151,10,0,0,Romania,罗马尼亚
17857,272,11187,831,5500,-578,20200523,1170,19,0,0,Romania,罗马尼亚
18070,213,11399,212,5486,-14,20200524,1185,15,0,0,Romania,罗马尼亚
18283,213,11630,231,5460,-26,20200525,1193,8,0,0,Romania,罗马尼亚
18429,146,11630,0,5589,129,20200526,1210,17,0,0,Romania,罗马尼亚
18594,165,12162,532,5213,-376,20200527,1219,9,0,0,Romania,罗马尼亚
18791,197,12629,467,4933,-280,20200528,1229,10,0,0,Romania,罗马尼亚
18982,191,12829,200,4913,-20,20200529,1240,11,0,0,Romania,罗马尼亚
18982,0,12829,0,4913,0,20200530,1240,0,0,0,Romania,罗马尼亚
19133,151,12829,0,5051,138,20200531,1253,13,0,0,Romania,罗马尼亚
19257,124,12829,0,5166,115,20200601,1262,9,0,0,Romania,罗马尼亚
19517,260,13526,697,4712,-454,20200602,1279,17,0,0,Romania,罗马尼亚
19669,152,13800,274,4573,-139,20200603,1296,17,0,0,Romania,罗马尼亚
19907,238,13919,119,4689,116,20200604,1299,3,0,0,Romania,罗马尼亚
20103,196,14145,226,4650,-39,20200605,1308,9,0,0,Romania,罗马尼亚
20290,187,14419,274,4553,-97,20200606,1318,10,0,0,Romania,罗马尼亚
20479,189,14638,219,4515,-38,20200607,1326,8,0,0,Romania,罗马尼亚
20604,125,14826,188,4444,-71,20200608,1334,8,0,0,Romania,罗马尼亚
20749,145,14910,84,4494,50,20200609,1345,11,0,0,Romania,罗马尼亚
20945,196,15103,193,4482,-12,20200610,1360,15,0,0,Romania,罗马尼亚
20945,0,15103,0,4482,0,20200611,1360,0,0,0,Romania,罗马尼亚
