confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr,countryFullName,countryName
2,2,0,0,2,2,20200201,0,0,0,0,Russian Federation,俄罗斯
2,0,0,0,2,0,20200202,0,0,0,0,Russian Federation,俄罗斯
2,0,0,0,2,0,20200203,0,0,0,0,Russian Federation,俄罗斯
2,0,0,0,2,0,20200204,0,0,0,0,Russian Federation,俄罗斯
2,0,0,0,2,0,20200205,0,0,0,0,Russian Federation,俄罗斯
2,0,0,0,2,0,20200206,0,0,0,0,Russian Federation,俄罗斯
2,0,0,0,2,0,20200207,0,0,0,0,Russian Federation,俄罗斯
2,0,0,0,2,0,20200208,0,0,0,0,Russian Federation,俄罗斯
2,0,0,0,2,0,20200209,0,0,0,0,Russian Federation,俄罗斯
2,0,0,0,2,0,20200210,0,0,0,0,Russian Federation,俄罗斯
2,0,0,0,2,0,20200211,0,0,0,0,Russian Federation,俄罗斯
2,0,0,0,2,0,20200212,0,0,0,0,Russian Federation,俄罗斯
2,0,0,0,2,0,20200213,0,0,0,0,Russian Federation,俄罗斯
2,0,0,0,2,0,20200214,0,0,0,0,Russian Federation,俄罗斯
2,0,0,0,2,0,20200215,0,0,0,0,Russian Federation,俄罗斯
2,0,0,0,2,0,20200216,0,0,0,0,Russian Federation,俄罗斯
2,0,0,0,2,0,20200217,0,0,0,0,Russian Federation,俄罗斯
2,0,0,0,2,0,20200218,0,0,0,0,Russian Federation,俄罗斯
2,0,0,0,2,0,20200219,0,0,0,0,Russian Federation,俄罗斯
2,0,0,0,2,0,20200220,0,0,0,0,Russian Federation,俄罗斯
2,0,0,0,2,0,20200221,0,0,0,0,Russian Federation,俄罗斯
2,0,0,0,2,0,20200222,0,0,0,0,Russian Federation,俄罗斯
2,0,0,0,2,0,20200223,0,0,0,0,Russian Federation,俄罗斯
2,0,0,0,2,0,20200224,0,0,0,0,Russian Federation,俄罗斯
2,0,0,0,2,0,20200225,0,0,0,0,Russian Federation,俄罗斯
2,0,0,0,2,0,20200226,0,0,0,0,Russian Federation,俄罗斯
2,0,0,0,2,0,20200227,0,0,0,0,Russian Federation,俄罗斯
2,0,0,0,2,0,20200228,0,0,0,0,Russian Federation,俄罗斯
2,0,0,0,2,0,20200229,0,0,0,0,Russian Federation,俄罗斯
2,0,0,0,2,0,20200301,0,0,0,0,Russian Federation,俄罗斯
2,0,0,0,2,0,20200302,0,0,0,0,Russian Federation,俄罗斯
3,1,0,0,3,1,20200303,0,0,0,0,Russian Federation,俄罗斯
3,0,0,0,3,0,20200304,0,0,0,0,Russian Federation,俄罗斯
3,0,0,0,3,0,20200305,0,0,0,0,Russian Federation,俄罗斯
4,1,0,0,4,1,20200306,0,0,0,0,Russian Federation,俄罗斯
7,3,0,0,7,3,20200307,0,0,0,0,Russian Federation,俄罗斯
7,0,0,0,7,0,20200308,0,0,0,0,Russian Federation,俄罗斯
7,0,0,0,7,0,20200309,0,0,0,0,Russian Federation,俄罗斯
7,0,0,0,7,0,20200310,0,0,0,0,Russian Federation,俄罗斯
7,0,0,0,7,0,20200311,0,0,0,0,Russian Federation,俄罗斯
20,13,0,0,20,13,20200312,0,0,0,0,Russian Federation,俄罗斯
34,14,0,0,34,14,20200313,0,0,0,0,Russian Federation,俄罗斯
34,0,0,0,34,0,20200314,0,0,0,0,Russian Federation,俄罗斯
34,0,3,3,31,-3,20200315,0,0,0,0,Russian Federation,俄罗斯
63,29,3,0,60,29,20200316,0,0,0,0,Russian Federation,俄罗斯
93,30,3,0,90,30,20200317,0,0,0,0,Russian Federation,俄罗斯
93,0,5,2,88,-2,20200318,0,0,0,0,Russian Federation,俄罗斯
199,106,8,3,190,102,20200319,1,1,0,0,Russian Federation,俄罗斯
