confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr,countryFullName,countryName
5,5,0,0,5,5,20200316,0,0,0,0,Rwanda,卢旺达
7,2,0,0,7,2,20200317,0,0,0,0,Rwanda,卢旺达
7,0,0,0,7,0,20200318,0,0,0,0,Rwanda,卢旺达
11,4,0,0,11,4,20200319,0,0,0,0,Rwanda,卢旺达
17,6,0,0,17,6,20200320,0,0,0,0,Rwanda,卢旺达
17,0,0,0,17,0,20200321,0,0,0,0,Rwanda,卢旺达
17,0,0,0,17,0,20200322,0,0,0,0,Rwanda,卢旺达
17,0,0,0,17,0,20200323,0,0,0,0,Rwanda,卢旺达
40,23,0,0,40,23,20200324,0,0,0,0,Rwanda,卢旺达
41,1,0,0,41,1,20200325,0,0,0,0,Rwanda,卢旺达
50,9,0,0,50,9,20200326,0,0,0,0,Rwanda,卢旺达
54,4,0,0,54,4,20200327,0,0,0,0,Rwanda,卢旺达
60,6,0,0,60,6,20200328,0,0,0,0,Rwanda,卢旺达
60,0,0,0,60,0,20200329,0,0,0,0,Rwanda,卢旺达
70,10,0,0,70,10,20200330,0,0,0,0,Rwanda,卢旺达
75,5,0,0,75,5,20200331,0,0,0,0,Rwanda,卢旺达
82,7,0,0,82,7,20200401,0,0,0,0,Rwanda,卢旺达
84,2,0,0,84,2,20200402,0,0,0,0,Rwanda,卢旺达
89,5,0,0,89,5,20200403,0,0,0,0,Rwanda,卢旺达
102,13,0,0,102,13,20200404,0,0,0,0,Rwanda,卢旺达
104,2,4,4,100,-2,20200405,0,0,0,0,Rwanda,卢旺达
105,1,4,0,101,1,20200406,0,0,0,0,Rwanda,卢旺达
105,0,4,0,101,0,20200407,0,0,0,0,Rwanda,卢旺达
110,5,7,3,103,2,20200408,0,0,0,0,Rwanda,卢旺达
113,3,7,0,106,3,20200409,0,0,0,0,Rwanda,卢旺达
113,0,7,0,106,0,20200410,0,0,0,0,Rwanda,卢旺达
120,7,18,11,102,-4,20200411,0,0,0,0,Rwanda,卢旺达
126,6,25,7,101,-1,20200412,0,0,0,0,Rwanda,卢旺达
126,0,25,0,101,0,20200413,0,0,0,0,Rwanda,卢旺达
134,8,49,24,85,-16,20200414,0,0,0,0,Rwanda,卢旺达
134,0,49,0,85,0,20200415,0,0,0,0,Rwanda,卢旺达
138,4,60,11,78,-7,20200416,0,0,0,0,Rwanda,卢旺达
138,0,60,0,78,0,20200417,0,0,0,0,Rwanda,卢旺达
143,5,65,5,78,0,20200418,0,0,0,0,Rwanda,卢旺达
144,1,69,4,75,-3,20200419,0,0,0,0,Rwanda,卢旺达
147,3,76,7,71,-4,20200420,0,0,0,0,Rwanda,卢旺达
150,3,84,8,66,-5,20200421,0,0,0,0,Rwanda,卢旺达
150,0,84,0,66,0,20200422,0,0,0,0,Rwanda,卢旺达
153,3,84,0,69,3,20200423,0,0,0,0,Rwanda,卢旺达
154,1,84,0,70,1,20200424,0,0,0,0,Rwanda,卢旺达
176,22,87,3,89,19,20200425,0,0,0,0,Rwanda,卢旺达
183,7,88,1,95,6,20200426,0,0,0,0,Rwanda,卢旺达
191,8,92,4,99,4,20200427,0,0,0,0,Rwanda,卢旺达
207,16,93,1,114,15,20200428,0,0,0,0,Rwanda,卢旺达
212,5,95,2,117,3,20200429,0,0,0,0,Rwanda,卢旺达
225,13,98,3,127,10,20200430,0,0,0,0,Rwanda,卢旺达
243,18,104,6,139,12,20200501,0,0,0,0,Rwanda,卢旺达
249,6,109,5,140,1,20200502,0,0,0,0,Rwanda,卢旺达
255,6,109,0,146,6,20200503,0,0,0,0,Rwanda,卢旺达
259,4,124,15,135,-11,20200504,0,0,0,0,Rwanda,卢旺达
261,2,128,4,133,-2,20200505,0,0,0,0,Rwanda,卢旺达
261,0,129,1,132,-1,20200506,0,0,0,0,Rwanda,卢旺达
268,7,130,1,138,6,20200507,0,0,0,0,Rwanda,卢旺达
271,3,133,3,138,0,20200508,0,0,0,0,Rwanda,卢旺达
273,2,133,0,140,2,20200509,0,0,0,0,Rwanda,卢旺达
280,7,133,0,147,7,20200510,0,0,0,0,Rwanda,卢旺达
284,4,140,7,144,-3,20200511,0,0,0,0,Rwanda,卢旺达
285,1,150,10,135,-9,20200512,0,0,0,0,Rwanda,卢旺达
286,1,153,3,133,-2,20200513,0,0,0,0,Rwanda,卢旺达
287,1,153,0,134,1,20200514,0,0,0,0,Rwanda,卢旺达
287,0,153,0,134,0,20200515,0,0,0,0,Rwanda,卢旺达
289,2,178,25,111,-23,20200516,0,0,0,0,Rwanda,卢旺达
289,0,178,0,111,0,20200517,0,0,0,0,Rwanda,卢旺达
292,3,178,0,114,3,20200518,0,0,0,0,Rwanda,卢旺达
297,5,178,0,119,5,20200519,0,0,0,0,Rwanda,卢旺达
308,11,178,0,130,11,20200520,0,0,0,0,Rwanda,卢旺达
314,6,178,0,136,6,20200521,0,0,0,0,Rwanda,卢旺达
320,6,178,0,142,6,20200522,0,0,0,0,Rwanda,卢旺达
321,1,178,0,143,1,20200523,0,0,0,0,Rwanda,卢旺达
