confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr,countryFullName,countryName
3,3,0,0,3,3,20200313,0,0,0,0,Réunion,留尼旺
5,2,0,0,5,2,20200314,0,0,0,0,Réunion,留尼旺
6,1,0,0,6,1,20200315,0,0,0,0,Réunion,留尼旺
9,3,0,0,9,3,20200316,0,0,0,0,Réunion,留尼旺
9,0,0,0,9,0,20200317,0,0,0,0,Réunion,留尼旺
9,0,0,0,9,0,20200318,0,0,0,0,Réunion,留尼旺
9,0,0,0,9,0,20200319,0,0,0,0,Réunion,留尼旺
15,6,0,0,15,6,20200320,0,0,0,0,Réunion,留尼旺
28,13,0,0,28,13,20200321,0,0,0,0,Réunion,留尼旺
47,19,0,0,47,19,20200322,0,0,0,0,Réunion,留尼旺
64,17,0,0,64,17,20200323,0,0,0,0,Réunion,留尼旺
71,7,0,0,71,7,20200324,0,0,0,0,Réunion,留尼旺
83,12,0,0,83,12,20200325,0,0,0,0,Réunion,留尼旺
94,11,0,0,94,11,20200326,0,0,0,0,Réunion,留尼旺
135,41,0,0,135,41,20200327,0,0,0,0,Réunion,留尼旺
135,0,0,0,135,0,20200328,0,0,0,0,Réunion,留尼旺
143,8,0,0,143,8,20200329,0,0,0,0,Réunion,留尼旺
207,64,0,0,207,64,20200330,0,0,0,0,Réunion,留尼旺
207,0,0,0,207,0,20200331,0,0,0,0,Réunion,留尼旺
247,40,0,0,247,40,20200401,0,0,0,0,Réunion,留尼旺
281,34,0,0,281,34,20200402,0,0,0,0,Réunion,留尼旺
308,27,0,0,308,27,20200403,0,0,0,0,Réunion,留尼旺
321,13,0,0,321,13,20200404,0,0,0,0,Réunion,留尼旺
334,13,0,0,334,13,20200405,0,0,0,0,Réunion,留尼旺
344,10,0,0,344,10,20200406,0,0,0,0,Réunion,留尼旺
349,5,0,0,349,5,20200407,0,0,0,0,Réunion,留尼旺
358,9,0,0,358,9,20200408,0,0,0,0,Réunion,留尼旺
362,4,0,0,362,4,20200409,0,0,0,0,Réunion,留尼旺
376,14,0,0,376,14,20200410,0,0,0,0,Réunion,留尼旺
382,6,0,0,382,6,20200411,0,0,0,0,Réunion,留尼旺
388,6,0,0,388,6,20200412,0,0,0,0,Réunion,留尼旺
389,1,0,0,389,1,20200413,0,0,0,0,Réunion,留尼旺
391,2,0,0,391,2,20200414,0,0,0,0,Réunion,留尼旺
391,0,0,0,391,0,20200415,0,0,0,0,Réunion,留尼旺
391,0,0,0,391,0,20200416,0,0,0,0,Réunion,留尼旺
394,3,0,0,394,3,20200417,0,0,0,0,Réunion,留尼旺
402,8,0,0,402,8,20200418,0,0,0,0,Réunion,留尼旺
407,5,0,0,407,5,20200419,0,0,0,0,Réunion,留尼旺
408,1,0,0,408,1,20200420,0,0,0,0,Réunion,留尼旺
408,0,0,0,408,0,20200421,0,0,0,0,Réunion,留尼旺
410,2,0,0,410,2,20200422,0,0,0,0,Réunion,留尼旺
410,0,0,0,410,0,20200423,0,0,0,0,Réunion,留尼旺
412,2,0,0,412,2,20200424,0,0,0,0,Réunion,留尼旺
412,0,0,0,412,0,20200425,0,0,0,0,Réunion,留尼旺
412,0,0,0,412,0,20200426,0,0,0,0,Réunion,留尼旺
417,5,0,0,417,5,20200427,0,0,0,0,Réunion,留尼旺
418,1,0,0,418,1,20200428,0,0,0,0,Réunion,留尼旺
418,0,0,0,418,0,20200429,0,0,0,0,Réunion,留尼旺
420,2,0,0,420,2,20200430,0,0,0,0,Réunion,留尼旺
420,0,0,0,420,0,20200501,0,0,0,0,Réunion,留尼旺
420,0,0,0,420,0,20200502,0,0,0,0,Réunion,留尼旺
420,0,0,0,420,0,20200503,0,0,0,0,Réunion,留尼旺
423,3,0,0,423,3,20200504,0,0,0,0,Réunion,留尼旺
424,1,0,0,424,1,20200505,0,0,0,0,Réunion,留尼旺
425,1,0,0,425,1,20200506,0,0,0,0,Réunion,留尼旺
425,0,0,0,425,0,20200507,0,0,0,0,Réunion,留尼旺
427,2,0,0,427,2,20200508,0,0,0,0,Réunion,留尼旺
430,3,0,0,430,3,20200509,0,0,0,0,Réunion,留尼旺
430,0,0,0,430,0,20200510,0,0,0,0,Réunion,留尼旺
436,6,0,0,436,6,20200511,0,0,0,0,Réunion,留尼旺
436,0,0,0,436,0,20200512,0,0,0,0,Réunion,留尼旺
437,1,0,0,437,1,20200513,0,0,0,0,Réunion,留尼旺
439,2,0,0,439,2,20200514,0,0,0,0,Réunion,留尼旺
440,1,0,0,440,1,20200515,0,0,0,0,Réunion,留尼旺
441,1,0,0,441,1,20200516,0,0,0,0,Réunion,留尼旺
443,2,0,0,443,2,20200517,0,0,0,0,Réunion,留尼旺
443,0,0,0,443,0,20200518,0,0,0,0,Réunion,留尼旺
446,3,0,0,446,3,20200519,0,0,0,0,Réunion,留尼旺
446,0,0,0,446,0,20200520,0,0,0,0,Réunion,留尼旺
447,1,0,0,446,0,20200521,1,1,0,0,Réunion,留尼旺
449,2,0,0,448,2,20200522,1,0,0,0,Réunion,留尼旺
449,0,0,0,448,0,20200523,1,0,0,0,Réunion,留尼旺
452,3,0,0,451,3,20200524,1,0,0,0,Réunion,留尼旺
452,0,0,0,451,0,20200525,1,0,0,0,Réunion,留尼旺
456,4,0,0,455,4,20200526,1,0,0,0,Réunion,留尼旺
459,3,0,0,458,3,20200527,1,0,0,0,Réunion,留尼旺
460,1,0,0,459,1,20200528,1,0,0,0,Réunion,留尼旺
465,5,0,0,464,5,20200529,1,0,0,0,Réunion,留尼旺
470,5,0,0,469,5,20200530,1,0,0,0,Réunion,留尼旺
471,1,0,0,470,1,20200531,1,0,0,0,Réunion,留尼旺
471,0,0,0,470,0,20200601,1,0,0,0,Réunion,留尼旺
473,2,0,0,472,2,20200602,1,0,0,0,Réunion,留尼旺
477,4,0,0,476,4,20200603,1,0,0,0,Réunion,留尼旺
478,1,0,0,477,1,20200604,1,0,0,0,Réunion,留尼旺
479,1,0,0,478,1,20200605,1,0,0,0,Réunion,留尼旺
480,1,0,0,479,1,20200606,1,0,0,0,Réunion,留尼旺
480,0,0,0,479,0,20200607,1,0,0,0,Réunion,留尼旺
480,0,0,0,479,0,20200608,1,0,0,0,Réunion,留尼旺
481,1,0,0,480,1,20200609,1,0,0,0,Réunion,留尼旺
481,0,0,0,480,0,20200610,1,0,0,0,Réunion,留尼旺
486,5,0,0,485,5,20200611,1,0,0,0,Réunion,留尼旺
487,1,0,0,486,1,20200612,1,0,0,0,Réunion,留尼旺
488,1,0,0,487,1,20200613,1,0,0,0,Réunion,留尼旺
489,1,0,0,488,1,20200614,1,0,0,0,Réunion,留尼旺
495,6,0,0,494,6,20200615,1,0,0,0,Réunion,留尼旺
496,1,0,0,495,1,20200616,1,0,0,0,Réunion,留尼旺
496,0,0,0,495,0,20200617,1,0,0,0,Réunion,留尼旺
497,1,0,0,496,1,20200618,1,0,0,0,Réunion,留尼旺
502,5,0,0,501,5,20200619,1,0,0,0,Réunion,留尼旺
504,2,0,0,503,2,20200620,1,0,0,0,Réunion,留尼旺
505,1,0,0,504,1,20200621,1,0,0,0,Réunion,留尼旺
506,1,0,0,505,1,20200622,1,0,0,0,Réunion,留尼旺
507,1,0,0,506,1,20200623,1,0,0,0,Réunion,留尼旺
507,0,0,0,506,0,20200624,1,0,0,0,Réunion,留尼旺
508,1,0,0,506,0,20200625,2,1,0,0,Réunion,留尼旺
