confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr,countryFullName,countryName
1,1,0,0,1,1,20200229,0,0,0,0,San Marino,圣马力诺
1,0,0,0,1,0,20200301,0,0,0,0,San Marino,圣马力诺
1,0,0,0,1,0,20200302,0,0,0,0,San Marino,圣马力诺
8,7,0,0,8,7,20200303,0,0,0,0,San Marino,圣马力诺
8,0,0,0,8,0,20200304,0,0,0,0,San Marino,圣马力诺
16,8,0,0,16,8,20200305,0,0,0,0,San Marino,圣马力诺
21,5,0,0,21,5,20200306,0,0,0,0,San Marino,圣马力诺
24,3,0,0,24,3,20200307,0,0,0,0,San Marino,圣马力诺
27,3,0,0,26,2,20200308,1,1,0,0,San Marino,圣马力诺
37,10,0,0,36,10,20200309,1,0,0,0,San Marino,圣马力诺
49,12,0,0,47,11,20200310,2,1,0,0,San Marino,圣马力诺
63,14,0,0,61,14,20200311,2,0,0,0,San Marino,圣马力诺
63,0,0,0,61,0,20200312,2,0,0,0,San Marino,圣马力诺
63,0,0,0,61,0,20200313,2,0,0,0,San Marino,圣马力诺
66,3,0,0,64,3,20200314,2,0,0,0,San Marino,圣马力诺
92,26,2,2,85,21,20200315,5,3,0,0,San Marino,圣马力诺
92,0,2,0,85,0,20200316,5,0,0,0,San Marino,圣马力诺
102,10,2,0,91,6,20200317,9,4,0,0,San Marino,圣马力诺
104,2,2,0,91,0,20200318,11,2,0,0,San Marino,圣马力诺
109,5,2,0,93,2,20200319,14,3,0,0,San Marino,圣马力诺
126,17,2,0,110,17,20200320,14,0,0,0,San Marino,圣马力诺
151,25,2,0,135,25,20200321,14,0,0,0,San Marino,圣马力诺
151,0,2,0,129,-6,20200322,20,6,0,0,San Marino,圣马力诺
151,0,2,0,129,0,20200323,20,0,0,0,San Marino,圣马力诺
187,36,2,0,165,36,20200324,20,0,0,0,San Marino,圣马力诺
187,0,2,0,164,-1,20200325,21,1,0,0,San Marino,圣马力诺
208,21,2,0,185,21,20200326,21,0,0,0,San Marino,圣马力诺
218,10,2,0,195,10,20200327,21,0,0,0,San Marino,圣马力诺
