confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr,countryFullName,countryName
1,1,0,0,1,1,20200303,0,0,0,0,Saudi Arabia,沙特阿拉伯
1,0,0,0,1,0,20200304,0,0,0,0,Saudi Arabia,沙特阿拉伯
2,1,0,0,2,1,20200305,0,0,0,0,Saudi Arabia,沙特阿拉伯
8,6,0,0,8,6,20200306,0,0,0,0,Saudi Arabia,沙特阿拉伯
8,0,0,0,8,0,20200307,0,0,0,0,Saudi Arabia,沙特阿拉伯
7,-1,0,0,7,-1,20200308,0,0,0,0,Saudi Arabia,沙特阿拉伯
15,8,0,0,15,8,20200309,0,0,0,0,Saudi Arabia,沙特阿拉伯
15,0,0,0,15,0,20200310,0,0,0,0,Saudi Arabia,沙特阿拉伯
20,5,0,0,20,5,20200311,0,0,0,0,Saudi Arabia,沙特阿拉伯
21,1,0,0,21,1,20200312,0,0,0,0,Saudi Arabia,沙特阿拉伯
21,0,0,0,21,0,20200313,0,0,0,0,Saudi Arabia,沙特阿拉伯
62,41,0,0,62,41,20200314,0,0,0,0,Saudi Arabia,沙特阿拉伯
103,41,1,1,102,40,20200315,0,0,0,0,Saudi Arabia,沙特阿拉伯
103,0,1,0,102,0,20200316,0,0,0,0,Saudi Arabia,沙特阿拉伯
133,30,6,5,127,25,20200317,0,0,0,0,Saudi Arabia,沙特阿拉伯
171,38,6,0,165,38,20200318,0,0,0,0,Saudi Arabia,沙特阿拉伯
274,103,6,0,268,103,20200319,0,0,0,0,Saudi Arabia,沙特阿拉伯
344,70,8,2,336,68,20200320,0,0,0,0,Saudi Arabia,沙特阿拉伯
392,48,16,8,376,40,20200321,0,0,0,0,Saudi Arabia,沙特阿拉伯
511,119,16,0,495,119,20200322,0,0,0,0,Saudi Arabia,沙特阿拉伯
562,51,16,0,546,51,20200323,0,0,0,0,Saudi Arabia,沙特阿拉伯
767,205,28,12,738,192,20200324,1,1,0,0,Saudi Arabia,沙特阿拉伯
900,133,29,1,869,131,20200325,2,1,0,0,Saudi Arabia,沙特阿拉伯
1012,112,29,0,980,111,20200326,3,1,0,0,Saudi Arabia,沙特阿拉伯
1104,92,29,0,1072,92,20200327,3,0,0,0,Saudi Arabia,沙特阿拉伯
1203,99,37,8,1162,90,20200328,4,1,0,0,Saudi Arabia,沙特阿拉伯
1299,96,66,29,1225,63,20200329,8,4,0,0,Saudi Arabia,沙特阿拉伯
1453,154,115,49,1330,105,20200330,8,0,0,0,Saudi Arabia,沙特阿拉伯
1563,110,165,50,1388,58,20200331,10,2,0,0,Saudi Arabia,沙特阿拉伯
1720,157,264,99,1440,52,20200401,16,6,0,0,Saudi Arabia,沙特阿拉伯
1885,165,328,64,1536,96,20200402,21,5,0,0,Saudi Arabia,沙特阿拉伯
1885,0,328,0,1536,0,20200403,21,0,0,0,Saudi Arabia,沙特阿拉伯
2039,154,328,0,1686,150,20200404,25,4,0,0,Saudi Arabia,沙特阿拉伯
2402,363,488,160,1880,194,20200405,34,9,0,0,Saudi Arabia,沙特阿拉伯
2605,203,551,63,2016,136,20200406,38,4,0,0,Saudi Arabia,沙特阿拉伯
2795,190,615,64,2139,123,20200407,41,3,0,0,Saudi Arabia,沙特阿拉伯
2932,137,631,16,2260,121,20200408,41,0,0,0,Saudi Arabia,沙特阿拉伯
2932,0,631,0,2260,0,20200409,41,0,0,0,Saudi Arabia,沙特阿拉伯
3651,719,685,54,2919,659,20200410,47,6,0,0,Saudi Arabia,沙特阿拉伯
4033,382,720,35,3261,342,20200411,52,5,0,0,Saudi Arabia,沙特阿拉伯
4462,429,761,41,3642,381,20200412,59,7,0,0,Saudi Arabia,沙特阿拉伯
4934,472,805,44,4064,422,20200413,65,6,0,0,Saudi Arabia,沙特阿拉伯
5369,435,889,84,4407,343,20200414,73,8,0,0,Saudi Arabia,沙特阿拉伯
5862,493,931,42,4852,445,20200415,79,6,0,0,Saudi Arabia,沙特阿拉伯
6380,518,990,59,5307,455,20200416,83,4,0,0,Saudi Arabia,沙特阿拉伯
7142,762,1049,59,6006,699,20200417,87,4,0,0,Saudi Arabia,沙特阿拉伯
8274,1132,1329,280,6853,847,20200418,92,5,0,0,Saudi Arabia,沙特阿拉伯
9362,1088,1398,69,7867,1014,20200419,97,5,0,0,Saudi Arabia,沙特阿拉伯
10484,1122,1490,92,8891,1024,20200420,103,6,0,0,Saudi Arabia,沙特阿拉伯
11631,1147,1640,150,9882,991,20200421,109,6,0,0,Saudi Arabia,沙特阿拉伯
12772,1141,1812,172,10851,969,20200422,109,0,0,0,Saudi Arabia,沙特阿拉伯
13930,1158,1925,113,11884,1033,20200423,121,12,0,0,Saudi Arabia,沙特阿拉伯
15102,1172,2049,124,12926,1042,20200424,127,6,0,0,Saudi Arabia,沙特阿拉伯
16299,1197,2215,166,13948,1022,20200425,136,9,0,0,Saudi Arabia,沙特阿拉伯
17522,1223,2357,142,15026,1078,20200426,139,3,0,0,Saudi Arabia,沙特阿拉伯
18811,1289,2531,174,16136,1110,20200427,144,5,0,0,Saudi Arabia,沙特阿拉伯
20077,1266,2784,253,17141,1005,20200428,152,8,0,0,Saudi Arabia,沙特阿拉伯
21402,1325,2953,169,18292,1151,20200429,157,5,0,0,Saudi Arabia,沙特阿拉伯
22753,1351,3163,210,19428,1136,20200430,162,5,0,0,Saudi Arabia,沙特阿拉伯
24097,1344,3555,392,20373,945,20200501,169,7,0,0,Saudi Arabia,沙特阿拉伯
25459,1362,3765,210,21518,1145,20200502,176,7,0,0,Saudi Arabia,沙特阿拉伯
27011,1552,4134,369,22693,1175,20200503,184,8,0,0,Saudi Arabia,沙特阿拉伯
28656,1645,4476,342,23989,1296,20200504,191,7,0,0,Saudi Arabia,沙特阿拉伯
30251,1595,5431,955,24620,631,20200505,200,9,0,0,Saudi Arabia,沙特阿拉伯
31938,1687,6783,1352,24946,326,20200506,209,9,0,0,Saudi Arabia,沙特阿拉伯
33731,1793,7798,1015,25714,768,20200507,219,10,0,0,Saudi Arabia,沙特阿拉伯
35432,1701,9120,1322,26083,369,20200508,229,10,0,0,Saudi Arabia,沙特阿拉伯
37136,1704,10144,1024,26753,670,20200509,239,10,0,0,Saudi Arabia,沙特阿拉伯
39048,1912,11457,1313,27345,592,20200510,246,7,0,0,Saudi Arabia,沙特阿拉伯
41014,1966,12737,1280,28022,677,20200511,255,9,0,0,Saudi Arabia,沙特阿拉伯
42925,1911,15257,2520,27404,-618,20200512,264,9,0,0,Saudi Arabia,沙特阿拉伯
44830,1905,17622,2365,26935,-469,20200513,273,9,0,0,Saudi Arabia,沙特阿拉伯
46869,2039,19051,1429,27535,600,20200514,283,10,0,0,Saudi Arabia,沙特阿拉伯
49176,2307,21869,2818,27015,-520,20200515,292,9,0,0,Saudi Arabia,沙特阿拉伯
52016,2840,23666,1797,28048,1033,20200516,302,10,0,0,Saudi Arabia,沙特阿拉伯
54752,2736,25722,2056,28718,670,20200517,312,10,0,0,Saudi Arabia,沙特阿拉伯
57345,2593,28748,3026,28277,-441,20200518,320,8,0,0,Saudi Arabia,沙特阿拉伯
59854,2509,31634,2886,27891,-386,20200519,329,9,0,0,Saudi Arabia,沙特阿拉伯
62545,2691,33478,1844,28728,837,20200520,339,10,0,0,Saudi Arabia,沙特阿拉伯
65077,2532,36040,2562,28686,-42,20200521,351,12,0,0,Saudi Arabia,沙特阿拉伯
67719,2642,39003,2963,28352,-334,20200522,364,13,0,0,Saudi Arabia,沙特阿拉伯
70161,2442,41236,2233,28546,194,20200523,379,15,0,0,Saudi Arabia,沙特阿拉伯
72560,2399,43520,2284,28650,104,20200524,390,11,0,0,Saudi Arabia,沙特阿拉伯
74795,2235,45668,2148,28728,78,20200525,399,9,0,0,Saudi Arabia,沙特阿拉伯
76726,1931,48450,2782,27865,-863,20200526,411,12,0,0,Saudi Arabia,沙特阿拉伯
78541,1815,51022,2572,27094,-771,20200527,425,14,0,0,Saudi Arabia,沙特阿拉伯
80185,1644,54553,3531,25191,-1903,20200528,441,16,0,0,Saudi Arabia,沙特阿拉伯
81766,1581,57013,2460,24295,-896,20200529,458,17,0,0,Saudi Arabia,沙特阿拉伯
83384,1618,58883,1870,24021,-274,20200530,480,22,0,0,Saudi Arabia,沙特阿拉伯
85261,1877,62442,3559,22316,-1705,20200531,503,23,0,0,Saudi Arabia,沙特阿拉伯
87142,1881,64306,1864,22311,-5,20200601,525,22,0,0,Saudi Arabia,沙特阿拉伯
89011,1869,65790,1484,22672,361,20200602,549,24,0,0,Saudi Arabia,沙特阿拉伯
91182,2171,68159,2369,22444,-228,20200603,579,30,0,0,Saudi Arabia,沙特阿拉伯
93157,1975,68965,806,23581,1137,20200604,611,32,0,0,Saudi Arabia,沙特阿拉伯
95748,2591,70616,1651,24490,909,20200605,642,31,0,0,Saudi Arabia,沙特阿拉伯
98869,3121,71791,1175,26402,1912,20200606,676,34,0,0,Saudi Arabia,沙特阿拉伯
101914,3045,72817,1026,28385,1983,20200607,712,36,0,0,Saudi Arabia,沙特阿拉伯
105283,3369,74524,1707,30013,1628,20200608,746,34,0,0,Saudi Arabia,沙特阿拉伯
108571,3288,76339,1815,31449,1436,20200609,783,37,0,0,Saudi Arabia,沙特阿拉伯
112288,3717,77954,1615,33515,2066,20200610,819,36,0,0,Saudi Arabia,沙特阿拉伯
116021,3733,80019,2065,35145,1630,20200611,857,38,0,0,Saudi Arabia,沙特阿拉伯
119942,3921,81029,1010,38020,2875,20200612,893,36,0,0,Saudi Arabia,沙特阿拉伯
123308,3366,82548,1519,39828,1808,20200613,932,39,0,0,Saudi Arabia,沙特阿拉伯
127541,4233,84720,2172,41849,2021,20200614,972,40,0,0,Saudi Arabia,沙特阿拉伯
132048,4507,87890,3170,43147,1298,20200615,1011,39,0,0,Saudi Arabia,沙特阿拉伯
136315,4267,89540,1650,45723,2576,20200616,1052,41,0,0,Saudi Arabia,沙特阿拉伯
141234,4919,91662,2122,48481,2758,20200617,1091,39,0,0,Saudi Arabia,沙特阿拉伯
145991,4757,93915,2253,50937,2456,20200618,1139,48,0,0,Saudi Arabia,沙特阿拉伯
150292,4301,95764,1849,53344,2407,20200619,1184,45,0,0,Saudi Arabia,沙特阿拉伯
154233,3941,98917,3153,54086,742,20200620,1230,46,0,0,Saudi Arabia,沙特阿拉伯
157612,3379,101130,2213,55215,1129,20200621,1267,37,0,0,Saudi Arabia,沙特阿拉伯
161005,3393,105175,4045,54523,-692,20200622,1307,40,0,0,Saudi Arabia,沙特阿拉伯
164144,3139,109885,4710,52913,-1610,20200623,1346,39,0,0,Saudi Arabia,沙特阿拉伯
167267,3123,112797,2912,53083,170,20200624,1387,41,0,0,Saudi Arabia,沙特阿拉伯
170639,3372,117882,5085,51329,-1754,20200625,1428,41,0,0,Saudi Arabia,沙特阿拉伯
174577,3938,120471,2589,52632,1303,20200626,1474,46,0,0,Saudi Arabia,沙特阿拉伯
