confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr,countryFullName,countryName
1,1,0,0,1,1,20200303,0,0,0,0,Senegal,塞内加尔
1,0,0,0,1,0,20200304,0,0,0,0,Senegal,塞内加尔
4,3,0,0,4,3,20200305,0,0,0,0,Senegal,塞内加尔
4,0,0,0,4,0,20200306,0,0,0,0,Senegal,塞内加尔
4,0,0,0,4,0,20200307,0,0,0,0,Senegal,塞内加尔
4,0,0,0,4,0,20200308,0,0,0,0,Senegal,塞内加尔
4,0,0,0,4,0,20200309,0,0,0,0,Senegal,塞内加尔
4,0,0,0,4,0,20200310,0,0,0,0,Senegal,塞内加尔
4,0,0,0,4,0,20200311,0,0,0,0,Senegal,塞内加尔
4,0,0,0,4,0,20200312,0,0,0,0,Senegal,塞内加尔
10,6,0,0,10,6,20200313,0,0,0,0,Senegal,塞内加尔
10,0,0,0,10,0,20200314,0,0,0,0,Senegal,塞内加尔
21,11,2,2,19,9,20200315,0,0,0,0,Senegal,塞内加尔
26,5,2,0,24,5,20200316,0,0,0,0,Senegal,塞内加尔
27,1,2,0,25,1,20200317,0,0,0,0,Senegal,塞内加尔
27,0,2,0,25,0,20200318,0,0,0,0,Senegal,塞内加尔
38,11,2,0,36,11,20200319,0,0,0,0,Senegal,塞内加尔
47,9,5,3,42,6,20200320,0,0,0,0,Senegal,塞内加尔
56,9,5,0,51,9,20200321,0,0,0,0,Senegal,塞内加尔
67,11,5,0,62,11,20200322,0,0,0,0,Senegal,塞内加尔
79,12,8,3,71,9,20200323,0,0,0,0,Senegal,塞内加尔
86,7,8,0,78,7,20200324,0,0,0,0,Senegal,塞内加尔
86,0,8,0,78,0,20200325,0,0,0,0,Senegal,塞内加尔
105,19,9,1,96,18,20200326,0,0,0,0,Senegal,塞内加尔
119,14,11,2,108,12,20200327,0,0,0,0,Senegal,塞内加尔
130,11,18,7,112,4,20200328,0,0,0,0,Senegal,塞内加尔
142,12,27,9,115,3,20200329,0,0,0,0,Senegal,塞内加尔
162,20,27,0,135,20,20200330,0,0,0,0,Senegal,塞内加尔
175,13,40,13,135,0,20200331,0,0,0,0,Senegal,塞内加尔
190,15,45,5,144,9,20200401,1,1,0,0,Senegal,塞内加尔
195,5,55,10,139,-5,20200402,1,0,0,0,Senegal,塞内加尔
207,12,66,11,140,1,20200403,1,0,0,0,Senegal,塞内加尔
219,12,72,6,145,5,20200404,2,1,0,0,Senegal,塞内加尔
222,3,82,10,138,-7,20200405,2,0,0,0,Senegal,塞内加尔
226,4,92,10,132,-6,20200406,2,0,0,0,Senegal,塞内加尔
237,11,105,13,130,-2,20200407,2,0,0,0,Senegal,塞内加尔
244,7,113,8,129,-1,20200408,2,0,0,0,Senegal,塞内加尔
250,6,123,10,125,-4,20200409,2,0,0,0,Senegal,塞内加尔
265,15,137,14,126,1,20200410,2,0,0,0,Senegal,塞内加尔
278,13,152,15,124,-2,20200411,2,0,0,0,Senegal,塞内加尔
280,2,171,19,107,-17,20200412,2,0,0,0,Senegal,塞内加尔
291,11,178,7,111,4,20200413,2,0,0,0,Senegal,塞内加尔
299,8,183,5,114,3,20200414,2,0,0,0,Senegal,塞内加尔
314,15,190,7,122,8,20200415,2,0,0,0,Senegal,塞内加尔
335,21,194,4,139,17,20200416,2,0,0,0,Senegal,塞内加尔
342,7,198,4,142,3,20200417,2,0,0,0,Senegal,塞内加尔
350,8,211,13,136,-6,20200418,3,1,0,0,Senegal,塞内加尔
367,17,220,9,144,8,20200419,3,0,0,0,Senegal,塞内加尔
377,10,235,15,137,-7,20200420,5,2,0,0,Senegal,塞内加尔
412,35,242,7,165,28,20200421,5,0,0,0,Senegal,塞内加尔
442,30,253,11,183,18,20200422,6,1,0,0,Senegal,塞内加尔
479,37,257,4,216,33,20200423,6,0,0,0,Senegal,塞内加尔
545,66,262,5,277,61,20200424,6,0,0,0,Senegal,塞内加尔
614,69,276,14,331,54,20200425,7,1,0,0,Senegal,塞内加尔
671,57,283,7,380,49,20200426,8,1,0,0,Senegal,塞内加尔
736,65,284,1,443,63,20200427,9,1,0,0,Senegal,塞内加尔
823,87,296,12,518,75,20200428,9,0,0,0,Senegal,塞内加尔
882,59,315,19,558,40,20200429,9,0,0,0,Senegal,塞内加尔
993,111,334,19,650,92,20200430,9,0,0,0,Senegal,塞内加尔
1024,31,356,22,659,9,20200501,9,0,0,0,Senegal,塞内加尔
1115,91,368,12,738,79,20200502,9,0,0,0,Senegal,塞内加尔
1182,67,372,4,801,63,20200503,9,0,0,0,Senegal,塞内加尔
1273,91,415,43,848,47,20200504,10,1,0,0,Senegal,塞内加尔
1329,56,470,55,848,0,20200505,11,1,0,0,Senegal,塞内加尔
1433,104,493,23,928,80,20200506,12,1,0,0,Senegal,塞内加尔
1492,59,562,69,917,-11,20200507,13,1,0,0,Senegal,塞内加尔
1551,59,611,49,927,10,20200508,13,0,0,0,Senegal,塞内加尔
1634,83,643,32,976,49,20200509,15,2,0,0,Senegal,塞内加尔
1709,75,650,7,1041,65,20200510,18,3,0,0,Senegal,塞内加尔
1886,177,715,65,1152,111,20200511,19,1,0,0,Senegal,塞内加尔
1995,109,742,27,1234,82,20200512,19,0,0,0,Senegal,塞内加尔
2105,110,782,40,1302,68,20200513,21,2,0,0,Senegal,塞内加尔
2105,0,782,0,1301,-1,20200514,22,1,0,0,Senegal,塞内加尔
2310,205,890,108,1395,94,20200515,25,3,0,0,Senegal,塞内加尔
2420,110,949,59,1446,51,20200516,25,0,0,0,Senegal,塞内加尔
2480,60,973,24,1482,36,20200517,25,0,0,0,Senegal,塞内加尔
2544,64,1076,103,1442,-40,20200518,26,1,0,0,Senegal,塞内加尔
2617,73,1133,57,1454,12,20200519,30,4,0,0,Senegal,塞内加尔
2714,97,1186,53,1498,44,20200520,30,0,0,0,Senegal,塞内加尔
2812,98,1251,65,1531,33,20200521,30,0,0,0,Senegal,塞内加尔
2909,97,1311,60,1565,34,20200522,33,3,0,0,Senegal,塞内加尔
2976,67,1416,105,1526,-39,20200523,34,1,0,0,Senegal,塞内加尔
3047,71,1456,40,1556,30,20200524,35,1,0,0,Senegal,塞内加尔
3130,83,1515,59,1580,24,20200525,35,0,0,0,Senegal,塞内加尔
