confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr,countryFullName,countryName
1,1,0,0,1,1,20200306,0,0,0,0,Serbia,塞尔维亚
1,0,0,0,1,0,20200307,0,0,0,0,Serbia,塞尔维亚
1,0,0,0,1,0,20200308,0,0,0,0,Serbia,塞尔维亚
1,0,0,0,1,0,20200309,0,0,0,0,Serbia,塞尔维亚
1,0,0,0,1,0,20200310,0,0,0,0,Serbia,塞尔维亚
12,11,0,0,12,11,20200311,0,0,0,0,Serbia,塞尔维亚
19,7,0,0,19,7,20200312,0,0,0,0,Serbia,塞尔维亚
19,0,0,0,19,0,20200313,0,0,0,0,Serbia,塞尔维亚
31,12,0,0,31,12,20200314,0,0,0,0,Serbia,塞尔维亚
41,10,0,0,41,10,20200315,0,0,0,0,Serbia,塞尔维亚
41,0,0,0,41,0,20200316,0,0,0,0,Serbia,塞尔维亚
70,29,0,0,70,29,20200317,0,0,0,0,Serbia,塞尔维亚
85,15,0,0,85,15,20200318,0,0,0,0,Serbia,塞尔维亚
103,18,0,0,103,18,20200319,0,0,0,0,Serbia,塞尔维亚
135,32,0,0,134,31,20200320,1,1,0,0,Serbia,塞尔维亚
171,36,0,0,170,36,20200321,1,0,0,0,Serbia,塞尔维亚
222,51,0,0,220,50,20200322,2,1,0,0,Serbia,塞尔维亚
249,27,0,0,246,26,20200323,3,1,0,0,Serbia,塞尔维亚
310,61,0,0,306,60,20200324,4,1,0,0,Serbia,塞尔维亚
384,74,0,0,380,74,20200325,4,0,0,0,Serbia,塞尔维亚
457,73,0,0,451,71,20200326,6,2,0,0,Serbia,塞尔维亚
536,79,0,0,528,77,20200327,8,2,0,0,Serbia,塞尔维亚
659,123,0,0,649,121,20200328,10,2,0,0,Serbia,塞尔维亚
750,91,0,0,737,88,20200329,13,3,0,0,Serbia,塞尔维亚
835,85,0,0,819,82,20200330,16,3,0,0,Serbia,塞尔维亚
900,65,0,0,877,58,20200331,23,7,0,0,Serbia,塞尔维亚
1060,160,0,0,1037,160,20200401,23,0,0,0,Serbia,塞尔维亚
1185,125,0,0,1154,117,20200402,31,8,0,0,Serbia,塞尔维亚
1476,291,0,0,1445,291,20200403,31,0,0,0,Serbia,塞尔维亚
1608,132,0,0,1568,123,20200404,40,9,0,0,Serbia,塞尔维亚
1980,372,0,0,1929,361,20200405,51,11,0,0,Serbia,塞尔维亚
2200,220,0,0,2142,213,20200406,58,7,0,0,Serbia,塞尔维亚
2365,165,0,0,2304,162,20200407,61,3,0,0,Serbia,塞尔维亚
2666,301,0,0,2600,296,20200408,66,5,0,0,Serbia,塞尔维亚
2890,224,118,118,2701,101,20200409,71,5,0,0,Serbia,塞尔维亚
3105,215,118,0,2915,214,20200410,72,1,0,0,Serbia,塞尔维亚
3380,275,118,0,3184,269,20200411,78,6,0,0,Serbia,塞尔维亚
3663,283,118,0,3464,280,20200412,81,3,0,0,Serbia,塞尔维亚
4054,391,118,0,3849,385,20200413,87,6,0,0,Serbia,塞尔维亚
4465,411,118,0,4253,404,20200414,94,7,0,0,Serbia,塞尔维亚
4867,402,118,0,4647,394,20200415,102,8,0,0,Serbia,塞尔维亚
5318,451,443,325,4767,120,20200416,108,6,0,0,Serbia,塞尔维亚
5767,449,534,91,5119,352,20200417,114,6,0,0,Serbia,塞尔维亚
6170,403,637,103,5411,292,20200418,122,8,0,0,Serbia,塞尔维亚
6504,334,753,116,5622,211,20200419,129,7,0,0,Serbia,塞尔维亚
6853,349,870,117,5849,227,20200420,134,5,0,0,Serbia,塞尔维亚
7202,349,977,107,6088,239,20200421,137,3,0,0,Serbia,塞尔维亚
7718,516,1153,176,6413,325,20200422,152,15,0,0,Serbia,塞尔维亚
7906,188,1201,48,6547,134,20200423,158,6,0,0,Serbia,塞尔维亚
8152,246,1253,52,6736,189,20200424,163,5,0,0,Serbia,塞尔维亚
8482,330,1314,61,6998,262,20200425,170,7,0,0,Serbia,塞尔维亚
8510,28,1314,0,7025,27,20200426,171,1,0,0,Serbia,塞尔维亚
8805,295,1314,0,7314,289,20200427,177,6,0,0,Serbia,塞尔维亚
9055,250,1314,0,7557,243,20200428,184,7,0,0,Serbia,塞尔维亚
9287,232,1314,0,7783,226,20200429,190,6,0,0,Serbia,塞尔维亚
9808,521,1592,278,8015,232,20200430,201,11,0,0,Serbia,塞尔维亚
10011,203,1668,76,8136,121,20200501,207,6,0,0,Serbia,塞尔维亚
10175,164,1715,47,8249,113,20200502,211,4,0,0,Serbia,塞尔维亚
10287,112,1932,217,8140,-109,20200503,215,4,0,0,Serbia,塞尔维亚
10408,121,1955,23,8234,94,20200504,219,4,0,0,Serbia,塞尔维亚
10408,0,1955,0,8233,-1,20200505,220,1,0,0,Serbia,塞尔维亚
10533,125,1971,16,8335,102,20200506,227,7,0,0,Serbia,塞尔维亚
10533,0,1971,0,8335,0,20200507,227,0,0,0,Serbia,塞尔维亚
10804,271,2453,482,8114,-221,20200508,237,10,0,0,Serbia,塞尔维亚
10894,90,2732,279,7921,-193,20200509,241,4,0,0,Serbia,塞尔维亚
10902,8,3659,927,7002,-919,20200510,241,0,0,0,Serbia,塞尔维亚
11060,158,3943,284,6871,-131,20200511,246,5,0,0,Serbia,塞尔维亚
11138,78,4257,314,6633,-238,20200512,248,2,0,0,Serbia,塞尔维亚
11204,66,4257,0,6696,63,20200513,251,3,0,0,Serbia,塞尔维亚
11293,89,4755,498,6285,-411,20200514,253,2,0,0,Serbia,塞尔维亚
11382,89,4991,236,6137,-148,20200515,254,1,0,0,Serbia,塞尔维亚
11382,0,4991,0,6137,0,20200516,254,0,0,0,Serbia,塞尔维亚
11565,183,5404,413,5902,-235,20200517,259,5,0,0,Serbia,塞尔维亚
11565,0,5404,0,5902,0,20200518,259,0,0,0,Serbia,塞尔维亚
11688,123,5595,191,5830,-72,20200519,263,4,0,0,Serbia,塞尔维亚
11822,134,5836,241,5722,-108,20200520,264,1,0,0,Serbia,塞尔维亚
11822,0,5836,0,5722,0,20200521,264,0,0,0,Serbia,塞尔维亚
11922,100,5836,0,5820,98,20200522,266,2,0,0,Serbia,塞尔维亚
12117,195,5836,0,6014,194,20200523,267,1,0,0,Serbia,塞尔维亚
12184,67,5857,21,6060,46,20200524,267,0,0,0,Serbia,塞尔维亚
12191,7,5857,0,6067,7,20200525,267,0,0,0,Serbia,塞尔维亚
12265,74,6858,1001,5138,-929,20200526,269,2,0,0,Serbia,塞尔维亚
12322,57,6858,0,5194,56,20200527,270,1,0,0,Serbia,塞尔维亚
12348,26,6858,0,5219,25,20200528,271,1,0,0,Serbia,塞尔维亚
12402,54,7055,197,5075,-144,20200529,272,1,0,0,Serbia,塞尔维亚
12445,43,7055,0,5118,43,20200530,272,0,0,0,Serbia,塞尔维亚
12476,31,7527,472,4676,-442,20200531,273,1,0,0,Serbia,塞尔维亚
12476,0,7527,0,4676,0,20200601,273,0,0,0,Serbia,塞尔维亚
12497,21,7527,0,4696,20,20200602,274,1,0,0,Serbia,塞尔维亚
12534,37,7527,0,4732,36,20200603,275,1,0,0,Serbia,塞尔维亚
12713,179,7781,254,4656,-76,20200604,276,1,0,0,Serbia,塞尔维亚
12713,0,7781,0,4656,0,20200605,276,0,0,0,Serbia,塞尔维亚
12883,170,11927,4146,678,-3978,20200606,278,2,0,0,Serbia,塞尔维亚
12892,9,11927,0,687,9,20200607,278,0,0,0,Serbia,塞尔维亚
13130,238,11927,0,922,235,20200608,281,3,0,0,Serbia,塞尔维亚
13228,98,12260,333,687,-235,20200609,281,0,0,0,Serbia,塞尔维亚
13300,72,12260,0,758,71,20200610,282,1,0,0,Serbia,塞尔维亚
13400,100,12260,0,857,99,20200611,283,1,0,0,Serbia,塞尔维亚
13428,28,12260,0,885,28,20200612,283,0,0,0,Serbia,塞尔维亚
13577,149,12260,0,1033,148,20200613,284,1,0,0,Serbia,塞尔维亚
13688,111,12260,0,1143,110,20200614,285,1,0,0,Serbia,塞尔维亚
13853,165,12260,0,1305,162,20200615,288,3,0,0,Serbia,塞尔维亚
14041,188,12311,51,1441,136,20200616,289,1,0,0,Serbia,塞尔维亚
14041,0,12311,0,1440,-1,20200617,290,1,0,0,Serbia,塞尔维亚
14449,408,12316,5,1841,401,20200618,292,2,0,0,Serbia,塞尔维亚
14489,40,12316,0,1881,40,20200619,292,0,0,0,Serbia,塞尔维亚
14801,312,12316,0,2191,310,20200620,294,2,0,0,Serbia,塞尔维亚
14833,32,12316,0,2223,32,20200621,294,0,0,0,Serbia,塞尔维亚
