confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr,countryFullName,countryName
1,1,0,0,1,1,20200331,0,0,0,0,Sierra Leone,塞拉利昂
2,1,0,0,2,1,20200401,0,0,0,0,Sierra Leone,塞拉利昂
2,0,0,0,2,0,20200402,0,0,0,0,Sierra Leone,塞拉利昂
2,0,0,0,2,0,20200403,0,0,0,0,Sierra Leone,塞拉利昂
4,2,0,0,4,2,20200404,0,0,0,0,Sierra Leone,塞拉利昂
4,0,0,0,4,0,20200405,0,0,0,0,Sierra Leone,塞拉利昂
6,2,0,0,6,2,20200406,0,0,0,0,Sierra Leone,塞拉利昂
6,0,0,0,6,0,20200407,0,0,0,0,Sierra Leone,塞拉利昂
6,0,0,0,6,0,20200408,0,0,0,0,Sierra Leone,塞拉利昂
7,1,0,0,7,1,20200409,0,0,0,0,Sierra Leone,塞拉利昂
8,1,0,0,8,1,20200410,0,0,0,0,Sierra Leone,塞拉利昂
10,2,0,0,10,2,20200411,0,0,0,0,Sierra Leone,塞拉利昂
10,0,0,0,10,0,20200412,0,0,0,0,Sierra Leone,塞拉利昂
10,0,0,0,10,0,20200413,0,0,0,0,Sierra Leone,塞拉利昂
10,0,0,0,10,0,20200414,0,0,0,0,Sierra Leone,塞拉利昂
13,3,0,0,13,3,20200415,0,0,0,0,Sierra Leone,塞拉利昂
15,2,0,0,15,2,20200416,0,0,0,0,Sierra Leone,塞拉利昂
26,11,0,0,26,11,20200417,0,0,0,0,Sierra Leone,塞拉利昂
30,4,0,0,30,4,20200418,0,0,0,0,Sierra Leone,塞拉利昂
35,5,0,0,35,5,20200419,0,0,0,0,Sierra Leone,塞拉利昂
43,8,6,6,37,2,20200420,0,0,0,0,Sierra Leone,塞拉利昂
50,7,6,0,44,7,20200421,0,0,0,0,Sierra Leone,塞拉利昂
61,11,6,0,55,11,20200422,0,0,0,0,Sierra Leone,塞拉利昂
64,3,10,4,53,-2,20200423,1,1,0,0,Sierra Leone,塞拉利昂
82,18,10,0,69,16,20200424,3,2,0,0,Sierra Leone,塞拉利昂
86,4,10,0,73,4,20200425,3,0,0,0,Sierra Leone,塞拉利昂
86,0,10,0,73,0,20200426,3,0,0,0,Sierra Leone,塞拉利昂
99,13,10,0,85,12,20200427,4,1,0,0,Sierra Leone,塞拉利昂
