confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr,countryFullName,countryName
1,1,0,0,1,1,20200124,0,0,0,0,Singapore,新加坡
3,2,0,0,3,2,20200125,0,0,0,0,Singapore,新加坡
3,0,0,0,3,0,20200126,0,0,0,0,Singapore,新加坡
4,1,0,0,4,1,20200127,0,0,0,0,Singapore,新加坡
7,3,0,0,7,3,20200128,0,0,0,0,Singapore,新加坡
7,0,0,0,7,0,20200129,0,0,0,0,Singapore,新加坡
10,3,0,0,10,3,20200130,0,0,0,0,Singapore,新加坡
13,3,0,0,13,3,20200131,0,0,0,0,Singapore,新加坡
16,3,0,0,16,3,20200201,0,0,0,0,Singapore,新加坡
18,2,0,0,18,2,20200202,0,0,0,0,Singapore,新加坡
18,0,0,0,18,0,20200203,0,0,0,0,Singapore,新加坡
18,0,0,0,18,0,20200204,0,0,0,0,Singapore,新加坡
24,6,0,0,24,6,20200205,0,0,0,0,Singapore,新加坡
28,4,0,0,28,4,20200206,0,0,0,0,Singapore,新加坡
30,2,0,0,30,2,20200207,0,0,0,0,Singapore,新加坡
33,3,0,0,33,3,20200208,0,0,0,0,Singapore,新加坡
40,7,0,0,40,7,20200209,0,0,0,0,Singapore,新加坡
43,3,0,0,43,3,20200210,0,0,0,0,Singapore,新加坡
45,2,0,0,45,2,20200211,0,0,0,0,Singapore,新加坡
47,2,0,0,47,2,20200212,0,0,0,0,Singapore,新加坡
50,3,0,0,50,3,20200213,0,0,0,0,Singapore,新加坡
58,8,0,0,58,8,20200214,0,0,0,0,Singapore,新加坡
67,9,0,0,67,9,20200215,0,0,0,0,Singapore,新加坡
72,5,0,0,72,5,20200216,0,0,0,0,Singapore,新加坡
75,3,0,0,75,3,20200217,0,0,0,0,Singapore,新加坡
77,2,0,0,77,2,20200218,0,0,0,0,Singapore,新加坡
81,4,0,0,81,4,20200219,0,0,0,0,Singapore,新加坡
84,3,0,0,84,3,20200220,0,0,0,0,Singapore,新加坡
85,1,0,0,85,1,20200221,0,0,0,0,Singapore,新加坡
86,1,0,0,86,1,20200222,0,0,0,0,Singapore,新加坡
89,3,0,0,89,3,20200223,0,0,0,0,Singapore,新加坡
89,0,0,0,89,0,20200224,0,0,0,0,Singapore,新加坡
90,1,0,0,90,1,20200225,0,0,0,0,Singapore,新加坡
91,1,0,0,91,1,20200226,0,0,0,0,Singapore,新加坡
93,2,0,0,93,2,20200227,0,0,0,0,Singapore,新加坡
96,3,0,0,96,3,20200228,0,0,0,0,Singapore,新加坡
98,2,0,0,98,2,20200229,0,0,0,0,Singapore,新加坡
102,4,0,0,102,4,20200301,0,0,0,0,Singapore,新加坡
106,4,0,0,106,4,20200302,0,0,0,0,Singapore,新加坡
108,2,0,0,108,2,20200303,0,0,0,0,Singapore,新加坡
110,2,0,0,110,2,20200304,0,0,0,0,Singapore,新加坡
110,0,0,0,110,0,20200305,0,0,0,0,Singapore,新加坡
117,7,0,0,117,7,20200306,0,0,0,0,Singapore,新加坡
130,13,0,0,130,13,20200307,0,0,0,0,Singapore,新加坡
138,8,0,0,138,8,20200308,0,0,0,0,Singapore,新加坡
150,12,0,0,150,12,20200309,0,0,0,0,Singapore,新加坡
160,10,0,0,160,10,20200310,0,0,0,0,Singapore,新加坡
166,6,0,0,166,6,20200311,0,0,0,0,Singapore,新加坡
178,12,0,0,178,12,20200312,0,0,0,0,Singapore,新加坡
187,9,0,0,187,9,20200313,0,0,0,0,Singapore,新加坡
200,13,0,0,200,13,20200314,0,0,0,0,Singapore,新加坡
212,12,105,105,107,-93,20200315,0,0,0,0,Singapore,新加坡
243,31,105,0,138,31,20200316,0,0,0,0,Singapore,新加坡
243,0,105,0,138,0,20200317,0,0,0,0,Singapore,新加坡
266,23,105,0,161,23,20200318,0,0,0,0,Singapore,新加坡
345,79,124,19,221,60,20200319,0,0,0,0,Singapore,新加坡
385,40,124,0,261,40,20200320,0,0,0,0,Singapore,新加坡
432,47,140,16,290,29,20200321,2,2,0,0,Singapore,新加坡
455,23,140,0,313,23,20200322,2,0,0,0,Singapore,新加坡
509,54,152,12,355,42,20200323,2,0,0,0,Singapore,新加坡
558,49,152,0,404,49,20200324,2,0,0,0,Singapore,新加坡
631,73,152,0,477,73,20200325,2,0,0,0,Singapore,新加坡
683,52,152,0,529,52,20200326,2,0,0,0,Singapore,新加坡
732,49,172,20,558,29,20200327,2,0,0,0,Singapore,新加坡
802,70,183,11,617,59,20200328,2,0,0,0,Singapore,新加坡
844,42,183,0,658,41,20200329,3,1,0,0,Singapore,新加坡
879,35,183,0,693,35,20200330,3,0,0,0,Singapore,新加坡
926,47,183,0,740,47,20200331,3,0,0,0,Singapore,新加坡
1000,74,183,0,814,74,20200401,3,0,0,0,Singapore,新加坡
1049,49,266,83,780,-34,20200402,3,0,0,0,Singapore,新加坡
1114,65,266,0,843,63,20200403,5,2,0,0,Singapore,新加坡
1189,75,266,0,917,74,20200404,6,1,0,0,Singapore,新加坡
1309,120,266,0,1037,120,20200405,6,0,0,0,Singapore,新加坡
1375,66,344,78,1025,-12,20200406,6,0,0,0,Singapore,新加坡
1481,106,377,33,1098,73,20200407,6,0,0,0,Singapore,新加坡
1623,142,406,29,1210,112,20200408,7,1,0,0,Singapore,新加坡
1910,287,406,0,1497,287,20200409,7,0,0,0,Singapore,新加坡
2108,198,406,0,1695,198,20200410,7,0,0,0,Singapore,新加坡
2299,191,406,0,1886,191,20200411,7,0,0,0,Singapore,新加坡
2532,233,560,154,1964,78,20200412,8,1,0,0,Singapore,新加坡
2918,386,560,0,2349,385,20200413,9,1,0,0,Singapore,新加坡
3252,334,560,0,2683,334,20200414,9,0,0,0,Singapore,新加坡
3699,447,652,92,3037,354,20200415,10,1,0,0,Singapore,新加坡
4427,728,683,31,3734,697,20200416,10,0,0,0,Singapore,新加坡
5050,623,683,0,4357,623,20200417,10,0,0,0,Singapore,新加坡
5992,942,683,0,5298,941,20200418,11,1,0,0,Singapore,新加坡
6588,596,683,0,5894,596,20200419,11,0,0,0,Singapore,新加坡
8014,1426,683,0,7320,1426,20200420,11,0,0,0,Singapore,新加坡
9125,1111,683,0,8431,1111,20200421,11,0,0,0,Singapore,新加坡
10141,1016,683,0,9447,1016,20200422,11,0,0,0,Singapore,新加坡
11178,1037,683,0,10483,1036,20200423,12,1,0,0,Singapore,新加坡
12075,897,683,0,11380,897,20200424,12,0,0,0,Singapore,新加坡
12693,618,683,0,11998,618,20200425,12,0,0,0,Singapore,新加坡
13624,931,683,0,12929,931,20200426,12,0,0,0,Singapore,新加坡
14423,799,683,0,13728,799,20200427,12,0,0,0,Singapore,新加坡
14951,528,1095,412,13842,114,20200428,14,2,0,0,Singapore,新加坡
15641,690,1095,0,14532,690,20200429,14,0,0,0,Singapore,新加坡
16169,528,1244,149,14910,378,20200430,15,1,0,0,Singapore,新加坡
17101,932,1244,0,15842,932,20200501,15,0,0,0,Singapore,新加坡
17548,447,1268,24,16264,422,20200502,16,1,0,0,Singapore,新加坡
18205,657,1347,79,16841,577,20200503,17,1,0,0,Singapore,新加坡
18778,573,1408,61,17352,511,20200504,18,1,0,0,Singapore,新加坡
19410,632,1408,0,17984,632,20200505,18,0,0,0,Singapore,新加坡
20198,788,1408,0,18772,788,20200506,18,0,0,0,Singapore,新加坡
20939,741,1408,0,19511,739,20200507,20,2,0,0,Singapore,新加坡
21707,768,1408,0,20279,768,20200508,20,0,0,0,Singapore,新加坡
22460,753,1408,0,21032,753,20200509,20,0,0,0,Singapore,新加坡
22460,0,1408,0,21032,0,20200510,20,0,0,0,Singapore,新加坡
23822,1362,1408,0,22394,1362,20200511,20,0,0,0,Singapore,新加坡
24671,849,1408,0,23242,848,20200512,21,1,0,0,Singapore,新加坡
