confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr,countryFullName,countryName
1,1,0,0,1,1,20200307,0,0,0,0,Slovakia,斯洛伐克
3,2,0,0,3,2,20200308,0,0,0,0,Slovakia,斯洛伐克
5,2,0,0,5,2,20200309,0,0,0,0,Slovakia,斯洛伐克
7,2,0,0,7,2,20200310,0,0,0,0,Slovakia,斯洛伐克
7,0,0,0,7,0,20200311,0,0,0,0,Slovakia,斯洛伐克
10,3,0,0,10,3,20200312,0,0,0,0,Slovakia,斯洛伐克
21,11,0,0,21,11,20200313,0,0,0,0,Slovakia,斯洛伐克
30,9,0,0,30,9,20200314,0,0,0,0,Slovakia,斯洛伐克
44,14,0,0,44,14,20200315,0,0,0,0,Slovakia,斯洛伐克
61,17,0,0,61,17,20200316,0,0,0,0,Slovakia,斯洛伐克
72,11,0,0,72,11,20200317,0,0,0,0,Slovakia,斯洛伐克
97,25,0,0,97,25,20200318,0,0,0,0,Slovakia,斯洛伐克
123,26,0,0,122,25,20200319,1,1,0,0,Slovakia,斯洛伐克
137,14,0,0,136,14,20200320,1,0,0,0,Slovakia,斯洛伐克
178,41,0,0,177,41,20200321,1,0,0,0,Slovakia,斯洛伐克
185,7,0,0,184,7,20200322,1,0,0,0,Slovakia,斯洛伐克
186,1,7,7,178,-6,20200323,1,0,0,0,Slovakia,斯洛伐克
204,18,7,0,196,18,20200324,1,0,0,0,Slovakia,斯洛伐克
216,12,7,0,209,13,20200325,0,-1,0,0,Slovakia,斯洛伐克
226,10,7,0,219,10,20200326,0,0,0,0,Slovakia,斯洛伐克
269,43,7,0,262,43,20200327,0,0,0,0,Slovakia,斯洛伐克
295,26,7,0,288,26,20200328,0,0,0,0,Slovakia,斯洛伐克
314,19,7,0,307,19,20200329,0,0,0,0,Slovakia,斯洛伐克
336,22,7,0,329,22,20200330,0,0,0,0,Slovakia,斯洛伐克
363,27,3,-4,359,30,20200331,1,1,0,0,Slovakia,斯洛伐克
400,37,3,0,396,37,20200401,1,0,0,0,Slovakia,斯洛伐克
426,26,3,0,422,26,20200402,1,0,0,0,Slovakia,斯洛伐克
450,24,8,5,441,19,20200403,1,0,0,0,Slovakia,斯洛伐克
471,21,8,0,462,21,20200404,1,0,0,0,Slovakia,斯洛伐克
485,14,8,0,476,14,20200405,1,0,0,0,Slovakia,斯洛伐克
534,49,8,0,525,49,20200406,1,0,0,0,Slovakia,斯洛伐克
581,47,8,0,571,46,20200407,2,1,0,0,Slovakia,斯洛伐克
682,101,13,5,667,96,20200408,2,0,0,0,Slovakia,斯洛伐克
701,19,16,3,683,16,20200409,2,0,0,0,Slovakia,斯洛伐克
715,14,23,7,690,7,20200410,2,0,0,0,Slovakia,斯洛伐克
728,13,23,0,703,13,20200411,2,0,0,0,Slovakia,斯洛伐克
742,14,23,0,717,14,20200412,2,0,0,0,Slovakia,斯洛伐克
769,27,107,84,660,-57,20200413,2,0,0,0,Slovakia,斯洛伐克
835,66,113,6,720,60,20200414,2,0,0,0,Slovakia,斯洛伐克
863,28,151,38,710,-10,20200415,2,0,0,0,Slovakia,斯洛伐克
977,114,167,16,802,92,20200416,8,6,0,0,Slovakia,斯洛伐克
1049,72,167,0,873,71,20200417,9,1,0,0,Slovakia,斯洛伐克
1089,40,213,46,865,-8,20200418,11,2,0,0,Slovakia,斯洛伐克
1161,72,229,16,920,55,20200419,12,1,0,0,Slovakia,斯洛伐克
1173,12,251,22,909,-11,20200420,13,1,0,0,Slovakia,斯洛伐克
1199,26,258,7,927,18,20200421,14,1,0,0,Slovakia,斯洛伐克
1244,45,284,26,946,19,20200422,14,0,0,0,Slovakia,斯洛伐克
1325,81,288,4,1022,76,20200423,15,1,0,0,Slovakia,斯洛伐克
1360,35,355,67,988,-34,20200424,17,2,0,0,Slovakia,斯洛伐克
1373,13,386,31,970,-18,20200425,17,0,0,0,Slovakia,斯洛伐克
1379,6,394,8,967,-3,20200426,18,1,0,0,Slovakia,斯洛伐克
1379,0,394,0,967,0,20200427,18,0,0,0,Slovakia,斯洛伐克
1384,5,423,29,941,-26,20200428,20,2,0,0,Slovakia,斯洛伐克
1391,7,484,61,885,-56,20200429,22,2,0,0,Slovakia,斯洛伐克
1396,5,524,40,849,-36,20200430,23,1,0,0,Slovakia,斯洛伐克
1403,7,558,34,822,-27,20200501,23,0,0,0,Slovakia,斯洛伐克
1407,4,608,50,775,-47,20200502,24,1,0,0,Slovakia,斯洛伐克
1407,0,608,0,775,0,20200503,24,0,0,0,Slovakia,斯洛伐克
1408,1,608,0,776,1,20200504,24,0,0,0,Slovakia,斯洛伐克
1421,13,741,133,655,-121,20200505,25,1,0,0,Slovakia,斯洛伐克
1429,8,762,21,642,-13,20200506,25,0,0,0,Slovakia,斯洛伐克
1445,16,806,44,613,-29,20200507,26,1,0,0,Slovakia,斯洛伐克
1445,0,806,0,613,0,20200508,26,0,0,0,Slovakia,斯洛伐克
1455,10,806,0,623,10,20200509,26,0,0,0,Slovakia,斯洛伐克
