confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr,countryFullName,countryName
1,1,0,0,1,1,20200305,0,0,0,0,Slovenia,斯洛文尼亚
6,5,0,0,6,5,20200306,0,0,0,0,Slovenia,斯洛文尼亚
9,3,0,0,9,3,20200307,0,0,0,0,Slovenia,斯洛文尼亚
12,3,0,0,12,3,20200308,0,0,0,0,Slovenia,斯洛文尼亚
16,4,0,0,16,4,20200309,0,0,0,0,Slovenia,斯洛文尼亚
23,7,0,0,23,7,20200310,0,0,0,0,Slovenia,斯洛文尼亚
31,8,0,0,31,8,20200311,0,0,0,0,Slovenia,斯洛文尼亚
57,26,0,0,57,26,20200312,0,0,0,0,Slovenia,斯洛文尼亚
57,0,0,0,57,0,20200313,0,0,0,0,Slovenia,斯洛文尼亚
141,84,0,0,141,84,20200314,0,0,0,0,Slovenia,斯洛文尼亚
141,0,0,0,141,0,20200315,0,0,0,0,Slovenia,斯洛文尼亚
219,78,0,0,219,78,20200316,0,0,0,0,Slovenia,斯洛文尼亚
253,34,0,0,253,34,20200317,0,0,0,0,Slovenia,斯洛文尼亚
275,22,0,0,274,21,20200318,1,1,0,0,Slovenia,斯洛文尼亚
275,0,0,0,274,0,20200319,1,0,0,0,Slovenia,斯洛文尼亚
341,66,0,0,340,66,20200320,1,0,0,0,Slovenia,斯洛文尼亚
341,0,0,0,340,0,20200321,1,0,0,0,Slovenia,斯洛文尼亚
414,73,0,0,412,72,20200322,2,1,0,0,Slovenia,斯洛文尼亚
442,28,0,0,439,27,20200323,3,1,0,0,Slovenia,斯洛文尼亚
442,0,0,0,439,0,20200324,3,0,0,0,Slovenia,斯洛文尼亚
526,84,0,0,521,82,20200325,5,2,0,0,Slovenia,斯洛文尼亚
528,2,0,0,523,2,20200326,5,0,0,0,Slovenia,斯洛文尼亚
632,104,0,0,623,100,20200327,9,4,0,0,Slovenia,斯洛文尼亚
632,0,0,0,623,0,20200328,9,0,0,0,Slovenia,斯洛文尼亚
691,59,0,0,682,59,20200329,9,0,0,0,Slovenia,斯洛文尼亚
756,65,0,0,745,63,20200330,11,2,0,0,Slovenia,斯洛文尼亚
802,46,0,0,787,42,20200331,15,4,0,0,Slovenia,斯洛文尼亚
814,12,0,0,799,12,20200401,15,0,0,0,Slovenia,斯洛文尼亚
841,27,0,0,826,27,20200402,15,0,0,0,Slovenia,斯洛文尼亚
934,93,0,0,918,92,20200403,16,1,0,0,Slovenia,斯洛文尼亚
977,43,0,0,955,37,20200404,22,6,0,0,Slovenia,斯洛文尼亚
997,20,0,0,969,14,20200405,28,6,0,0,Slovenia,斯洛文尼亚
1021,24,0,0,991,22,20200406,30,2,0,0,Slovenia,斯洛文尼亚
1021,0,0,0,991,0,20200407,30,0,0,0,Slovenia,斯洛文尼亚
1091,70,0,0,1051,60,20200408,40,10,0,0,Slovenia,斯洛文尼亚
1124,33,128,128,953,-98,20200409,43,3,0,0,Slovenia,斯洛文尼亚
1160,36,137,9,978,25,20200410,45,2,0,0,Slovenia,斯洛文尼亚
1188,28,148,11,990,12,20200411,50,5,0,0,Slovenia,斯洛文尼亚
1205,17,150,2,1002,12,20200412,53,3,0,0,Slovenia,斯洛文尼亚
1212,7,152,2,1005,3,20200413,55,2,0,0,Slovenia,斯洛文尼亚
1220,8,152,0,1012,7,20200414,56,1,0,0,Slovenia,斯洛文尼亚
1248,28,165,13,1022,10,20200415,61,5,0,0,Slovenia,斯洛文尼亚
1269,21,174,9,1034,12,20200416,61,0,0,0,Slovenia,斯洛文尼亚
1304,35,174,0,1064,30,20200417,66,5,0,0,Slovenia,斯洛文尼亚
1317,13,190,16,1057,-7,20200418,70,4,0,0,Slovenia,斯洛文尼亚
1330,13,192,2,1064,7,20200419,74,4,0,0,Slovenia,斯洛文尼亚
1335,5,193,1,1065,1,20200420,77,3,0,0,Slovenia,斯洛文尼亚
1344,9,197,4,1070,5,20200421,77,0,0,0,Slovenia,斯洛文尼亚
1353,9,197,0,1077,7,20200422,79,2,0,0,Slovenia,斯洛文尼亚
1366,13,211,14,1076,-1,20200423,79,0,0,0,Slovenia,斯洛文尼亚
1373,7,215,4,1078,2,20200424,80,1,0,0,Slovenia,斯洛文尼亚
1388,15,219,4,1088,10,20200425,81,1,0,0,Slovenia,斯洛文尼亚
1388,0,219,0,1088,0,20200426,81,0,0,0,Slovenia,斯洛文尼亚
1402,14,221,2,1098,10,20200427,83,2,0,0,Slovenia,斯洛文尼亚
1408,6,223,2,1099,1,20200428,86,3,0,0,Slovenia,斯洛文尼亚
1418,10,230,7,1099,0,20200429,89,3,0,0,Slovenia,斯洛文尼亚
1418,0,230,0,1099,0,20200430,89,0,0,0,Slovenia,斯洛文尼亚
1434,16,233,3,1108,9,20200501,93,4,0,0,Slovenia,斯洛文尼亚
1434,0,233,0,1108,0,20200502,93,0,0,0,Slovenia,斯洛文尼亚
1439,5,233,0,1112,4,20200503,94,1,0,0,Slovenia,斯洛文尼亚
1439,0,233,0,1112,0,20200504,94,0,0,0,Slovenia,斯洛文尼亚
1439,0,233,0,1109,-3,20200505,97,3,0,0,Slovenia,斯洛文尼亚
1445,6,233,0,1114,5,20200506,98,1,0,0,Slovenia,斯洛文尼亚
1449,4,247,14,1103,-11,20200507,99,1,0,0,Slovenia,斯洛文尼亚
1449,0,247,0,1103,0,20200508,99,0,0,0,Slovenia,斯洛文尼亚
1450,1,247,0,1103,0,20200509,100,1,0,0,Slovenia,斯洛文尼亚
1454,4,247,0,1106,3,20200510,101,1,0,0,Slovenia,斯洛文尼亚
1460,6,256,9,1102,-4,20200511,102,1,0,0,Slovenia,斯洛文尼亚
1461,1,259,3,1100,-2,20200512,102,0,0,0,Slovenia,斯洛文尼亚
1461,0,259,0,1100,0,20200513,102,0,0,0,Slovenia,斯洛文尼亚
1463,2,259,0,1101,1,20200514,103,1,0,0,Slovenia,斯洛文尼亚
1465,2,270,11,1092,-9,20200515,103,0,0,0,Slovenia,斯洛文尼亚
1465,0,270,0,1092,0,20200516,103,0,0,0,Slovenia,斯洛文尼亚
1465,0,270,0,1092,0,20200517,103,0,0,0,Slovenia,斯洛文尼亚
1466,1,270,0,1092,0,20200518,104,1,0,0,Slovenia,斯洛文尼亚
1467,1,1335,1065,28,-1064,20200519,104,0,0,0,Slovenia,斯洛文尼亚
1467,0,1335,0,28,0,20200520,104,0,0,0,Slovenia,斯洛文尼亚
1468,1,1335,0,28,0,20200521,105,1,0,0,Slovenia,斯洛文尼亚
1468,0,1335,0,27,-1,20200522,106,1,0,0,Slovenia,斯洛文尼亚
1478,10,1335,0,37,10,20200523,106,0,0,0,Slovenia,斯洛文尼亚
1478,0,1335,0,37,0,20200524,106,0,0,0,Slovenia,斯洛文尼亚
1509,31,1335,0,67,30,20200525,107,1,0,0,Slovenia,斯洛文尼亚
1509,0,1335,0,67,0,20200526,107,0,0,0,Slovenia,斯洛文尼亚
1509,0,1335,0,67,0,20200527,107,0,0,0,Slovenia,斯洛文尼亚
1509,0,1335,0,67,0,20200528,107,0,0,0,Slovenia,斯洛文尼亚
1509,0,1335,0,66,-1,20200529,108,1,0,0,Slovenia,斯洛文尼亚
1509,0,1335,0,66,0,20200530,108,0,0,0,Slovenia,斯洛文尼亚
1509,0,1335,0,66,0,20200531,108,0,0,0,Slovenia,斯洛文尼亚
1509,0,1335,0,66,0,20200601,108,0,0,0,Slovenia,斯洛文尼亚
1509,0,1335,0,66,0,20200602,108,0,0,0,Slovenia,斯洛文尼亚
1509,0,1335,0,66,0,20200603,108,0,0,0,Slovenia,斯洛文尼亚
1509,0,1335,0,66,0,20200604,108,0,0,0,Slovenia,斯洛文尼亚
1509,0,1335,0,66,0,20200605,108,0,0,0,Slovenia,斯洛文尼亚
1509,0,1335,0,66,0,20200606,108,0,0,0,Slovenia,斯洛文尼亚
1509,0,1335,0,66,0,20200607,108,0,0,0,Slovenia,斯洛文尼亚
1509,0,1335,0,66,0,20200608,108,0,0,0,Slovenia,斯洛文尼亚
1509,0,1335,0,66,0,20200609,108,0,0,0,Slovenia,斯洛文尼亚
1509,0,1335,0,66,0,20200610,108,0,0,0,Slovenia,斯洛文尼亚
1509,0,1335,0,65,-1,20200611,109,1,0,0,Slovenia,斯洛文尼亚
1509,0,1335,0,65,0,20200612,109,0,0,0,Slovenia,斯洛文尼亚
1509,0,1335,0,65,0,20200613,109,0,0,0,Slovenia,斯洛文尼亚
1509,0,1335,0,65,0,20200614,109,0,0,0,Slovenia,斯洛文尼亚
1509,0,1335,0,65,0,20200615,109,0,0,0,Slovenia,斯洛文尼亚
1509,0,1335,0,65,0,20200616,109,0,0,0,Slovenia,斯洛文尼亚
