confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr,countryFullName,countryName
1,1,0,0,1,1,20200317,0,0,0,0,Somalia,索马里
1,0,0,0,1,0,20200318,0,0,0,0,Somalia,索马里
1,0,0,0,1,0,20200319,0,0,0,0,Somalia,索马里
1,0,0,0,1,0,20200320,0,0,0,0,Somalia,索马里
1,0,0,0,1,0,20200321,0,0,0,0,Somalia,索马里
1,0,0,0,1,0,20200322,0,0,0,0,Somalia,索马里
1,0,0,0,1,0,20200323,0,0,0,0,Somalia,索马里
1,0,0,0,1,0,20200324,0,0,0,0,Somalia,索马里
1,0,0,0,1,0,20200325,0,0,0,0,Somalia,索马里
2,1,0,0,2,1,20200326,0,0,0,0,Somalia,索马里
3,1,0,0,3,1,20200327,0,0,0,0,Somalia,索马里
3,0,0,0,3,0,20200328,0,0,0,0,Somalia,索马里
3,0,0,0,3,0,20200329,0,0,0,0,Somalia,索马里
3,0,0,0,3,0,20200330,0,0,0,0,Somalia,索马里
5,2,0,0,5,2,20200331,0,0,0,0,Somalia,索马里
5,0,0,0,5,0,20200401,0,0,0,0,Somalia,索马里
5,0,0,0,5,0,20200402,0,0,0,0,Somalia,索马里
7,2,0,0,7,2,20200403,0,0,0,0,Somalia,索马里
7,0,1,1,6,-1,20200404,0,0,0,0,Somalia,索马里
7,0,1,0,6,0,20200405,0,0,0,0,Somalia,索马里
7,0,1,0,6,0,20200406,0,0,0,0,Somalia,索马里
8,1,1,0,7,1,20200407,0,0,0,0,Somalia,索马里
12,4,1,0,10,3,20200408,1,1,0,0,Somalia,索马里
12,0,1,0,10,0,20200409,1,0,0,0,Somalia,索马里
12,0,1,0,10,0,20200410,1,0,0,0,Somalia,索马里
21,9,1,0,19,9,20200411,1,0,0,0,Somalia,索马里
21,0,1,0,19,0,20200412,1,0,0,0,Somalia,索马里
25,4,1,0,22,3,20200413,2,1,0,0,Somalia,索马里
60,35,1,0,57,35,20200414,2,0,0,0,Somalia,索马里
80,20,2,1,73,16,20200415,5,3,0,0,Somalia,索马里
80,0,2,0,73,0,20200416,5,0,0,0,Somalia,索马里
80,0,2,0,73,0,20200417,5,0,0,0,Somalia,索马里
116,36,2,0,109,36,20200418,5,0,0,0,Somalia,索马里
135,19,2,0,126,17,20200419,7,2,0,0,Somalia,索马里
