confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr,countryFullName,countryName
1,1,0,0,1,1,20200306,0,0,0,0,South Africa,南非
1,0,0,0,1,0,20200307,0,0,0,0,South Africa,南非
2,1,0,0,2,1,20200308,0,0,0,0,South Africa,南非
3,1,0,0,3,1,20200309,0,0,0,0,South Africa,南非
7,4,0,0,7,4,20200310,0,0,0,0,South Africa,南非
7,0,0,0,7,0,20200311,0,0,0,0,South Africa,南非
13,6,0,0,13,6,20200312,0,0,0,0,South Africa,南非
17,4,0,0,17,4,20200313,0,0,0,0,South Africa,南非
17,0,0,0,17,0,20200314,0,0,0,0,South Africa,南非
38,21,0,0,38,21,20200315,0,0,0,0,South Africa,南非
51,13,0,0,51,13,20200316,0,0,0,0,South Africa,南非
62,11,0,0,62,11,20200317,0,0,0,0,South Africa,南非
62,0,0,0,62,0,20200318,0,0,0,0,South Africa,南非
150,88,0,0,150,88,20200319,0,0,0,0,South Africa,南非
202,52,0,0,202,52,20200320,0,0,0,0,South Africa,南非
240,38,0,0,240,38,20200321,0,0,0,0,South Africa,南非
274,34,0,0,274,34,20200322,0,0,0,0,South Africa,南非
402,128,0,0,402,128,20200323,0,0,0,0,South Africa,南非
554,152,0,0,554,152,20200324,0,0,0,0,South Africa,南非
709,155,0,0,709,155,20200325,0,0,0,0,South Africa,南非
927,218,0,0,927,218,20200326,0,0,0,0,South Africa,南非
1170,243,1,1,1168,241,20200327,1,1,0,0,South Africa,南非
1187,17,1,0,1184,16,20200328,2,1,0,0,South Africa,南非
1280,93,1,0,1277,93,20200329,2,0,0,0,South Africa,南非
1326,46,1,0,1322,45,20200330,3,1,0,0,South Africa,南非
1353,27,1,0,1347,25,20200331,5,2,0,0,South Africa,南非
1380,27,1,0,1374,27,20200401,5,0,0,0,South Africa,南非
1462,82,45,44,1412,38,20200402,5,0,0,0,South Africa,南非
1505,43,45,0,1455,43,20200403,5,0,0,0,South Africa,南非
1585,80,45,0,1531,76,20200404,9,4,0,0,South Africa,南非
1655,70,45,0,1599,68,20200405,11,2,0,0,South Africa,南非
1686,31,45,0,1630,31,20200406,11,0,0,0,South Africa,南非
1686,0,45,0,1629,-1,20200407,12,1,0,0,South Africa,南非
1845,159,45,0,1782,153,20200408,18,6,0,0,South Africa,南非
1934,89,45,0,1871,89,20200409,18,0,0,0,South Africa,南非
2003,69,45,0,1934,63,20200410,24,6,0,0,South Africa,南非
2028,25,45,0,1958,24,20200411,25,1,0,0,South Africa,南非
2173,145,45,0,2103,145,20200412,25,0,0,0,South Africa,南非
2272,99,45,0,2200,97,20200413,27,2,0,0,South Africa,南非
2415,143,45,0,2343,143,20200414,27,0,0,0,South Africa,南非
2506,91,45,0,2427,84,20200415,34,7,0,0,South Africa,南非
2605,99,903,858,1654,-773,20200416,48,14,0,0,South Africa,南非
2783,178,903,0,1830,176,20200417,50,2,0,0,South Africa,南非
3034,251,903,0,2079,249,20200418,52,2,0,0,South Africa,南非
3158,124,903,0,2201,122,20200419,54,2,0,0,South Africa,南非
3300,142,1055,152,2187,-14,20200420,58,4,0,0,South Africa,南非
3465,165,1055,0,2352,165,20200421,58,0,0,0,South Africa,南非
3635,170,1055,0,2515,163,20200422,65,7,0,0,South Africa,南非
3953,318,1473,418,2405,-110,20200423,75,10,0,0,South Africa,南非
4220,267,1473,0,2668,263,20200424,79,4,0,0,South Africa,南非
4361,141,1473,0,2802,134,20200425,86,7,0,0,South Africa,南非
4546,185,1473,0,2986,184,20200426,87,1,0,0,South Africa,南非
4793,247,1473,0,3230,244,20200427,90,3,0,0,South Africa,南非
4996,203,1473,0,3430,200,20200428,93,3,0,0,South Africa,南非
5350,354,1473,0,3774,344,20200429,103,10,0,0,South Africa,南非
5647,297,2073,600,3471,-303,20200430,103,0,0,0,South Africa,南非
5951,304,2382,309,3453,-18,20200501,116,13,0,0,South Africa,南非
6336,385,2549,167,3664,211,20200502,123,7,0,0,South Africa,南非
6783,447,2549,0,4103,439,20200503,131,8,0,0,South Africa,南非
7220,437,2746,197,4336,233,20200504,138,7,0,0,South Africa,南非
7572,352,2746,0,4678,342,20200505,148,10,0,0,South Africa,南非
7808,236,3153,407,4502,-176,20200506,153,5,0,0,South Africa,南非
8232,424,3153,0,4918,416,20200507,161,8,0,0,South Africa,南非
8895,663,3153,0,5564,646,20200508,178,17,0,0,South Africa,南非
9420,525,3153,0,6081,517,20200509,186,8,0,0,South Africa,南非
10015,595,3153,0,6668,587,20200510,194,8,0,0,South Africa,南非
10652,637,4357,1204,6089,-579,20200511,206,12,0,0,South Africa,南非
11350,698,4357,0,6787,698,20200512,206,0,0,0,South Africa,南非
12074,724,4745,388,7110,323,20200513,219,13,0,0,South Africa,南非
12739,665,5676,931,6825,-285,20200514,238,19,0,0,South Africa,南非
13524,785,6083,407,7194,369,20200515,247,9,0,0,South Africa,南非
14355,831,6478,395,7616,422,20200516,261,14,0,0,South Africa,南非
15515,1160,7006,528,8245,629,20200517,264,3,0,0,South Africa,南非
16433,918,7298,292,8849,604,20200518,286,22,0,0,South Africa,南非
16433,0,7298,0,8849,0,20200519,286,0,0,0,South Africa,南非
18003,1570,8950,1652,8714,-135,20200520,339,53,0,0,South Africa,南非
19137,1134,8950,0,9818,1104,20200521,369,30,0,0,South Africa,南非
20125,988,10104,1154,9624,-194,20200522,397,28,0,0,South Africa,南非
21343,1218,10104,0,10832,1208,20200523,407,10,0,0,South Africa,南非
22583,1240,11100,996,11054,222,20200524,429,22,0,0,South Africa,南非
23615,1032,11917,817,11217,163,20200525,481,52,0,0,South Africa,南非
24264,649,12741,824,10999,-218,20200526,524,43,0,0,South Africa,南非
25937,1673,13451,710,11934,935,20200527,552,28,0,0,South Africa,南非
25937,0,13451,0,11934,0,20200528,552,0,0,0,South Africa,南非
