confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr,countryFullName,countryName
1,1,0,0,1,1,20200405,0,0,0,0,South Sudan,南苏丹
1,0,0,0,1,0,20200406,0,0,0,0,South Sudan,南苏丹
2,1,0,0,2,1,20200407,0,0,0,0,South Sudan,南苏丹
2,0,0,0,2,0,20200408,0,0,0,0,South Sudan,南苏丹
3,1,0,0,3,1,20200409,0,0,0,0,South Sudan,南苏丹
3,0,0,0,3,0,20200410,0,0,0,0,South Sudan,南苏丹
4,1,0,0,4,1,20200411,0,0,0,0,South Sudan,南苏丹
4,0,0,0,4,0,20200412,0,0,0,0,South Sudan,南苏丹
4,0,0,0,4,0,20200413,0,0,0,0,South Sudan,南苏丹
4,0,0,0,4,0,20200414,0,0,0,0,South Sudan,南苏丹
4,0,0,0,4,0,20200415,0,0,0,0,South Sudan,南苏丹
4,0,0,0,4,0,20200416,0,0,0,0,South Sudan,南苏丹
4,0,0,0,4,0,20200417,0,0,0,0,South Sudan,南苏丹
4,0,0,0,4,0,20200418,0,0,0,0,South Sudan,南苏丹
4,0,0,0,4,0,20200419,0,0,0,0,South Sudan,南苏丹
4,0,0,0,4,0,20200420,0,0,0,0,South Sudan,南苏丹
4,0,0,0,4,0,20200421,0,0,0,0,South Sudan,南苏丹
4,0,0,0,4,0,20200422,0,0,0,0,South Sudan,南苏丹
4,0,0,0,4,0,20200423,0,0,0,0,South Sudan,南苏丹
4,0,0,0,4,0,20200424,0,0,0,0,South Sudan,南苏丹
6,2,0,0,6,2,20200425,0,0,0,0,South Sudan,南苏丹
6,0,0,0,6,0,20200426,0,0,0,0,South Sudan,南苏丹
6,0,0,0,6,0,20200427,0,0,0,0,South Sudan,南苏丹
6,0,0,0,6,0,20200428,0,0,0,0,South Sudan,南苏丹
34,28,0,0,34,28,20200429,0,0,0,0,South Sudan,南苏丹
34,0,0,0,34,0,20200430,0,0,0,0,South Sudan,南苏丹
45,11,0,0,45,11,20200501,0,0,0,0,South Sudan,南苏丹
45,0,0,0,45,0,20200502,0,0,0,0,South Sudan,南苏丹
45,0,0,0,45,0,20200503,0,0,0,0,South Sudan,南苏丹
46,1,0,0,46,1,20200504,0,0,0,0,South Sudan,南苏丹
49,3,0,0,49,3,20200505,0,0,0,0,South Sudan,南苏丹
49,0,0,0,49,0,20200506,0,0,0,0,South Sudan,南苏丹
90,41,2,2,88,39,20200507,0,0,0,0,South Sudan,南苏丹
90,0,2,0,88,0,20200508,0,0,0,0,South Sudan,南苏丹
120,30,2,0,118,30,20200509,0,0,0,0,South Sudan,南苏丹
120,0,2,0,118,0,20200510,0,0,0,0,South Sudan,南苏丹
174,54,2,0,172,54,20200511,0,0,0,0,South Sudan,南苏丹
194,20,2,0,192,20,20200512,0,0,0,0,South Sudan,南苏丹
194,0,2,0,192,0,20200513,0,0,0,0,South Sudan,南苏丹
194,0,2,0,192,0,20200514,0,0,0,0,South Sudan,南苏丹
231,37,2,0,228,36,20200515,1,1,0,0,South Sudan,南苏丹
290,59,4,2,282,54,20200516,4,3,0,0,South Sudan,南苏丹
290,0,4,0,282,0,20200517,4,0,0,0,South Sudan,南苏丹
290,0,4,0,282,0,20200518,4,0,0,0,South Sudan,南苏丹
290,0,4,0,282,0,20200519,4,0,0,0,South Sudan,南苏丹
481,191,6,2,469,187,20200520,6,2,0,0,South Sudan,南苏丹
481,0,6,0,469,0,20200521,6,0,0,0,South Sudan,南苏丹
481,0,6,0,469,0,20200522,6,0,0,0,South Sudan,南苏丹
481,0,6,0,469,0,20200523,6,0,0,0,South Sudan,南苏丹
563,82,6,0,551,82,20200524,6,0,0,0,South Sudan,南苏丹
655,92,6,0,641,90,20200525,8,2,0,0,South Sudan,南苏丹
655,0,6,0,641,0,20200526,8,0,0,0,South Sudan,南苏丹
806,151,6,0,792,151,20200527,8,0,0,0,South Sudan,南苏丹
806,0,6,0,792,0,20200528,8,0,0,0,South Sudan,南苏丹
994,188,6,0,978,186,20200529,10,2,0,0,South Sudan,南苏丹
994,0,6,0,978,0,20200530,10,0,0,0,South Sudan,南苏丹
994,0,6,0,978,0,20200531,10,0,0,0,South Sudan,南苏丹
994,0,6,0,978,0,20200601,10,0,0,0,South Sudan,南苏丹
1317,323,6,0,1297,319,20200602,14,4,0,0,South Sudan,南苏丹
1317,0,6,0,1297,0,20200603,14,0,0,0,South Sudan,南苏丹
1317,0,6,0,1297,0,20200604,14,0,0,0,South Sudan,南苏丹
1317,0,6,0,1297,0,20200605,14,0,0,0,South Sudan,南苏丹
1317,0,6,0,1297,0,20200606,14,0,0,0,South Sudan,南苏丹
1604,287,15,9,1575,278,20200607,14,0,0,0,South Sudan,南苏丹
1604,0,15,0,1575,0,20200608,14,0,0,0,South Sudan,南苏丹
1604,0,15,0,1570,-5,20200609,19,5,0,0,South Sudan,南苏丹
1606,2,15,0,1571,1,20200610,20,1,0,0,South Sudan,南苏丹
