confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr,countryFullName,countryName
1,1,0,0,1,1,20200201,0,0,0,0,Spain,西班牙
1,0,0,0,1,0,20200202,0,0,0,0,Spain,西班牙
1,0,0,0,1,0,20200203,0,0,0,0,Spain,西班牙
1,0,0,0,1,0,20200204,0,0,0,0,Spain,西班牙
1,0,0,0,1,0,20200205,0,0,0,0,Spain,西班牙
1,0,0,0,1,0,20200206,0,0,0,0,Spain,西班牙
1,0,0,0,1,0,20200207,0,0,0,0,Spain,西班牙
1,0,0,0,1,0,20200208,0,0,0,0,Spain,西班牙
1,0,0,0,1,0,20200209,0,0,0,0,Spain,西班牙
2,1,0,0,2,1,20200210,0,0,0,0,Spain,西班牙
2,0,0,0,2,0,20200211,0,0,0,0,Spain,西班牙
2,0,0,0,2,0,20200212,0,0,0,0,Spain,西班牙
2,0,0,0,2,0,20200213,0,0,0,0,Spain,西班牙
2,0,0,0,2,0,20200214,0,0,0,0,Spain,西班牙
2,0,0,0,2,0,20200215,0,0,0,0,Spain,西班牙
2,0,0,0,2,0,20200216,0,0,0,0,Spain,西班牙
2,0,0,0,2,0,20200217,0,0,0,0,Spain,西班牙
2,0,0,0,2,0,20200218,0,0,0,0,Spain,西班牙
2,0,0,0,2,0,20200219,0,0,0,0,Spain,西班牙
2,0,0,0,2,0,20200220,0,0,0,0,Spain,西班牙
2,0,0,0,2,0,20200221,0,0,0,0,Spain,西班牙
2,0,0,0,2,0,20200222,0,0,0,0,Spain,西班牙
2,0,0,0,2,0,20200223,0,0,0,0,Spain,西班牙
2,0,0,0,2,0,20200224,0,0,0,0,Spain,西班牙
2,0,0,0,2,0,20200225,0,0,0,0,Spain,西班牙
2,0,0,0,2,0,20200226,0,0,0,0,Spain,西班牙
12,10,0,0,12,10,20200227,0,0,0,0,Spain,西班牙
25,13,0,0,25,13,20200228,0,0,0,0,Spain,西班牙
32,7,0,0,32,7,20200229,0,0,0,0,Spain,西班牙
45,13,0,0,45,13,20200301,0,0,0,0,Spain,西班牙
45,0,0,0,45,0,20200302,0,0,0,0,Spain,西班牙
114,69,0,0,114,69,20200303,0,0,0,0,Spain,西班牙
151,37,0,0,151,37,20200304,0,0,0,0,Spain,西班牙
198,47,0,0,197,46,20200305,1,1,0,0,Spain,西班牙
257,59,0,0,254,57,20200306,3,2,0,0,Spain,西班牙
374,117,0,0,369,115,20200307,5,2,0,0,Spain,西班牙
430,56,0,0,425,56,20200308,5,0,0,0,Spain,西班牙
589,159,0,0,579,154,20200309,10,5,0,0,Spain,西班牙
1024,435,0,0,996,417,20200310,28,18,0,0,Spain,西班牙
1639,615,0,0,1603,607,20200311,36,8,0,0,Spain,西班牙
2140,501,0,0,2092,489,20200312,48,12,0,0,Spain,西班牙
2965,825,0,0,2881,789,20200313,84,36,0,0,Spain,西班牙
4231,1266,0,0,4111,1230,20200314,120,36,0,0,Spain,西班牙
5753,1522,571,571,5046,935,20200315,136,16,0,0,Spain,西班牙
7753,2000,571,0,6894,1848,20200316,288,152,0,0,Spain,西班牙
9191,1438,1028,457,7854,960,20200317,309,21,0,0,Spain,西班牙
11178,1987,1081,53,9606,1752,20200318,491,182,0,0,Spain,西班牙
17147,5969,1081,0,15299,5693,20200319,767,276,0,0,Spain,西班牙
19980,2833,1588,507,17390,2091,20200320,1002,235,0,0,Spain,西班牙
24926,4946,2125,537,21475,4085,20200321,1326,324,0,0,Spain,西班牙
28572,3646,2575,450,24277,2802,20200322,1720,394,0,0,Spain,西班牙
33089,4517,3355,780,27552,3275,20200323,2182,462,0,0,Spain,西班牙
42058,8969,3794,439,35273,7721,20200324,2991,809,0,0,Spain,西班牙
47610,5552,5367,1573,38809,3536,20200325,3434,443,0,0,Spain,西班牙
56188,8578,7015,1648,45084,6275,20200326,4089,655,0,0,Spain,西班牙
64059,7871,7015,0,52186,7102,20200327,4858,769,0,0,Spain,西班牙
72248,8189,12285,5270,54273,2087,20200328,5690,832,0,0,Spain,西班牙
78797,6549,12285,0,59984,5711,20200329,6528,838,0,0,Spain,西班牙
85195,6398,14709,2424,63146,3162,20200330,7340,812,0,0,Spain,西班牙
94417,9222,14709,0,71519,8373,20200331,8189,849,0,0,Spain,西班牙
102136,7719,22647,7938,70436,-1083,20200401,9053,864,0,0,Spain,西班牙
110238,8102,26743,4096,73492,3056,20200402,10003,950,0,0,Spain,西班牙
117710,7472,30513,3770,76262,2770,20200403,10935,932,0,0,Spain,西班牙
124736,7026,34219,3706,78773,2511,20200404,11744,809,0,0,Spain,西班牙
130759,6023,38080,3861,80261,1488,20200405,12418,674,0,0,Spain,西班牙
135032,4273,38080,0,83897,3636,20200406,13055,637,0,0,Spain,西班牙
140510,5478,43208,5128,83504,-393,20200407,13798,743,0,0,Spain,西班牙
146690,6180,48021,4813,84114,610,20200408,14555,757,0,0,Spain,西班牙
152446,5756,52165,4144,85043,929,20200409,15238,683,0,0,Spain,西班牙
157022,4576,55668,3503,85511,468,20200410,15843,605,0,0,Spain,西班牙
161852,4830,59109,3441,86390,879,20200411,16353,510,0,0,Spain,西班牙
166019,4167,62391,3282,86656,266,20200412,16972,619,0,0,Spain,西班牙
169496,3477,64727,2336,87280,624,20200413,17489,517,0,0,Spain,西班牙
172541,3045,67504,2777,86981,-299,20200414,18056,567,0,0,Spain,西班牙
177633,5092,70853,3349,88201,1220,20200415,18579,523,0,0,Spain,西班牙
182816,5183,74797,3944,88889,688,20200416,19130,551,0,0,Spain,西班牙
188068,5252,74797,0,93793,4904,20200417,19478,348,0,0,Spain,西班牙
191726,3658,74662,-135,97021,3228,20200418,20043,565,0,0,Spain,西班牙
195944,4218,77357,2695,98134,1113,20200419,20453,410,0,0,Spain,西班牙
200210,4266,80587,3230,98771,637,20200420,20852,399,0,0,Spain,西班牙
204178,3968,82514,1927,100382,1611,20200421,21282,430,0,0,Spain,西班牙
208389,4211,85915,3401,100757,375,20200422,21717,435,0,0,Spain,西班牙
213024,4635,89250,3335,101617,860,20200423,22157,440,0,0,Spain,西班牙
219764,6740,92355,3105,104885,3268,20200424,22524,367,0,0,Spain,西班牙
223759,3995,95708,3353,105149,264,20200425,22902,378,0,0,Spain,西班牙
207634,-16125,98732,3024,85712,-19437,20200426,23190,288,0,0,Spain,西班牙
209465,1831,100875,2143,85069,-643,20200427,23521,331,0,0,Spain,西班牙
210773,1308,102548,1673,84403,-666,20200428,23822,301,0,0,Spain,西班牙
212917,2144,108947,6399,79695,-4708,20200429,24275,453,0,0,Spain,西班牙
213435,518,112050,3103,76842,-2853,20200430,24543,268,0,0,Spain,西班牙
215216,1781,114678,2628,75714,-1128,20200501,24824,281,0,0,Spain,西班牙
216582,1366,117248,2570,74234,-1480,20200502,25100,276,0,0,Spain,西班牙
217466,884,118902,1654,73300,-934,20200503,25264,164,0,0,Spain,西班牙
218011,545,121343,2441,71240,-2060,20200504,25428,164,0,0,Spain,西班牙
219329,1318,123486,2143,70230,-1010,20200505,25613,185,0,0,Spain,西班牙
220325,996,126002,2516,68466,-1764,20200506,25857,244,0,0,Spain,西班牙
221447,1122,128511,2509,66866,-1600,20200507,26070,213,0,0,Spain,西班牙
222857,1410,130843,2332,65763,-1103,20200508,26251,181,0,0,Spain,西班牙
223578,721,133952,3109,63148,-2615,20200509,26478,227,0,0,Spain,西班牙
224390,812,136166,2214,61603,-1545,20200510,26621,143,0,0,Spain,西班牙
227436,3046,137139,973,63553,1950,20200511,26744,123,0,0,Spain,西班牙
228030,594,138980,1841,62130,-1423,20200512,26920,176,0,0,Spain,西班牙
228691,661,140823,1843,60764,-1366,20200513,27104,184,0,0,Spain,西班牙
229540,849,143374,2551,58845,-1919,20200514,27321,217,0,0,Spain,西班牙
230183,643,144783,1409,57941,-904,20200515,27459,138,0,0,Spain,西班牙
230698,515,144783,0,58352,411,20200516,27563,104,0,0,Spain,西班牙
231350,652,149576,4793,54124,-4228,20200517,27650,87,0,0,Spain,西班牙
231606,256,150376,800,53521,-603,20200518,27709,59,0,0,Spain,西班牙
232037,431,150376,0,53883,362,20200519,27778,69,0,0,Spain,西班牙
232555,518,150376,0,54291,408,20200520,27888,110,0,0,Spain,西班牙
233037,482,150376,0,54721,430,20200521,27940,52,0,0,Spain,西班牙
234824,1787,151294,918,54902,181,20200522,28628,688,0,0,Spain,西班牙
235290,466,151294,0,55318,416,20200523,28678,50,0,0,Spain,西班牙
235772,482,151294,0,55726,408,20200524,28752,74,0,0,Spain,西班牙
235400,-372,150376,-918,58190,2464,20200525,26834,-1918,0,0,Spain,西班牙
236259,859,150376,0,58766,576,20200526,27117,283,0,0,Spain,西班牙
236769,510,150376,0,59275,509,20200527,27118,1,0,0,Spain,西班牙
237906,1137,150376,0,60411,1136,20200528,27119,1,0,0,Spain,西班牙
238564,658,150376,0,61067,656,20200529,27121,2,0,0,Spain,西班牙
239228,664,150376,0,61727,660,20200530,27125,4,0,0,Spain,西班牙
239600,372,150376,0,60181,-1546,20200531,29043,1918,0,0,Spain,西班牙
239638,38,150376,0,62135,1954,20200601,27127,-1916,0,0,Spain,西班牙
239932,294,150376,0,62429,294,20200602,27127,0,0,0,Spain,西班牙
240326,394,150376,0,62822,393,20200603,27128,1,0,0,Spain,西班牙
240660,334,150376,0,63151,329,20200604,27133,5,0,0,Spain,西班牙
240978,318,150376,0,63468,317,20200605,27134,1,0,0,Spain,西班牙
241310,332,150376,0,63799,331,20200606,27135,1,0,0,Spain,西班牙
241550,240,150376,0,64038,239,20200607,27136,1,0,0,Spain,西班牙
241717,167,150376,0,64205,167,20200608,27136,0,0,0,Spain,西班牙
241966,249,150376,0,64454,249,20200609,27136,0,0,0,Spain,西班牙
242280,314,150376,0,64768,314,20200610,27136,0,0,0,Spain,西班牙
242707,427,150376,0,65195,427,20200611,27136,0,0,0,Spain,西班牙
243209,502,150376,0,65697,502,20200612,27136,0,0,0,Spain,西班牙
243605,396,150376,0,66093,396,20200613,27136,0,0,0,Spain,西班牙
243928,323,150376,0,66416,323,20200614,27136,0,0,0,Spain,西班牙
244109,181,150376,0,66597,181,20200615,27136,0,0,0,Spain,西班牙
244328,219,150376,0,66816,219,20200616,27136,0,0,0,Spain,西班牙
244683,355,150376,0,67171,355,20200617,27136,0,0,0,Spain,西班牙
245268,585,150376,0,67756,585,20200618,27136,0,0,0,Spain,西班牙
245575,307,150376,0,66884,-872,20200619,28315,1179,0,0,Spain,西班牙
245938,363,150376,0,67240,356,20200620,28322,7,0,0,Spain,西班牙
246272,334,150376,0,67573,333,20200621,28323,1,0,0,Spain,西班牙
246504,232,150376,0,67804,231,20200622,28324,1,0,0,Spain,西班牙
246752,248,150376,0,68051,247,20200623,28325,1,0,0,Spain,西班牙
247086,334,150376,0,68383,332,20200624,28327,2,0,0,Spain,西班牙
247486,400,150376,0,68780,397,20200625,28330,3,0,0,Spain,西班牙
247905,419,150376,0,69191,411,20200626,28338,8,0,0,Spain,西班牙
248469,564,150376,0,69752,561,20200627,28341,3,0,0,Spain,西班牙
