confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr,countryFullName,countryName
1,1,0,0,1,1,20200314,0,0,0,0,Sudan,苏丹
1,0,0,0,1,0,20200315,0,0,0,0,Sudan,苏丹
1,0,0,0,0,-1,20200316,1,1,0,0,Sudan,苏丹
2,1,0,0,1,1,20200317,1,0,0,0,Sudan,苏丹
1,-1,0,0,0,-1,20200318,1,0,0,0,Sudan,苏丹
2,1,0,0,1,1,20200319,1,0,0,0,Sudan,苏丹
2,0,0,0,1,0,20200320,1,0,0,0,Sudan,苏丹
2,0,0,0,1,0,20200321,1,0,0,0,Sudan,苏丹
2,0,0,0,1,0,20200322,1,0,0,0,Sudan,苏丹
2,0,0,0,1,0,20200323,1,0,0,0,Sudan,苏丹
3,1,0,0,2,1,20200324,1,0,0,0,Sudan,苏丹
3,0,0,0,2,0,20200325,1,0,0,0,Sudan,苏丹
3,0,0,0,2,0,20200326,1,0,0,0,Sudan,苏丹
3,0,0,0,2,0,20200327,1,0,0,0,Sudan,苏丹
5,2,0,0,4,2,20200328,1,0,0,0,Sudan,苏丹
5,0,0,0,4,0,20200329,1,0,0,0,Sudan,苏丹
6,1,0,0,4,0,20200330,2,1,0,0,Sudan,苏丹
7,1,0,0,5,1,20200331,2,0,0,0,Sudan,苏丹
7,0,0,0,5,0,20200401,2,0,0,0,Sudan,苏丹
8,1,0,0,6,1,20200402,2,0,0,0,Sudan,苏丹
10,2,0,0,8,2,20200403,2,0,0,0,Sudan,苏丹
10,0,0,0,8,0,20200404,2,0,0,0,Sudan,苏丹
12,2,2,2,8,0,20200405,2,0,0,0,Sudan,苏丹
12,0,2,0,8,0,20200406,2,0,0,0,Sudan,苏丹
14,2,2,0,10,2,20200407,2,0,0,0,Sudan,苏丹
14,0,2,0,10,0,20200408,2,0,0,0,Sudan,苏丹
15,1,2,0,11,1,20200409,2,0,0,0,Sudan,苏丹
15,0,2,0,11,0,20200410,2,0,0,0,Sudan,苏丹
19,4,2,0,15,4,20200411,2,0,0,0,Sudan,苏丹
19,0,2,0,15,0,20200412,2,0,0,0,Sudan,苏丹
29,10,2,0,23,8,20200413,4,2,0,0,Sudan,苏丹
32,3,2,0,25,2,20200414,5,1,0,0,Sudan,苏丹
32,0,2,0,25,0,20200415,5,0,0,0,Sudan,苏丹
32,0,2,0,25,0,20200416,5,0,0,0,Sudan,苏丹
35,3,2,0,27,2,20200417,6,1,0,0,Sudan,苏丹
66,31,2,0,54,27,20200418,10,4,0,0,Sudan,苏丹
66,0,2,0,54,0,20200419,10,0,0,0,Sudan,苏丹
92,26,2,0,78,24,20200420,12,2,0,0,Sudan,苏丹
107,15,2,0,93,15,20200421,12,0,0,0,Sudan,苏丹
144,37,2,0,129,36,20200422,13,1,0,0,Sudan,苏丹
162,18,14,12,135,6,20200423,13,0,0,0,Sudan,苏丹
174,12,14,0,144,9,20200424,16,3,0,0,Sudan,苏丹
213,39,19,5,177,33,20200425,17,1,0,0,Sudan,苏丹
213,0,19,0,177,0,20200426,17,0,0,0,Sudan,苏丹
275,62,21,2,232,55,20200427,22,5,0,0,Sudan,苏丹
318,43,31,10,262,30,20200428,25,3,0,0,Sudan,苏丹
375,57,32,1,315,53,20200429,28,3,0,0,Sudan,苏丹
442,67,39,7,372,57,20200430,31,3,0,0,Sudan,苏丹
534,92,39,0,462,90,20200501,33,2,0,0,Sudan,苏丹
592,58,52,13,499,37,20200502,41,8,0,0,Sudan,苏丹
592,0,52,0,499,0,20200503,41,0,0,0,Sudan,苏丹
678,86,61,9,576,77,20200504,41,0,0,0,Sudan,苏丹
678,0,61,0,576,0,20200505,41,0,0,0,Sudan,苏丹
852,174,80,19,723,147,20200506,49,8,0,0,Sudan,苏丹
930,78,92,12,786,63,20200507,52,3,0,0,Sudan,苏丹
1111,181,102,10,950,164,20200508,59,7,0,0,Sudan,苏丹
1164,53,119,17,981,31,20200509,64,5,0,0,Sudan,苏丹
1164,0,119,0,981,0,20200510,64,0,0,0,Sudan,苏丹
1526,362,161,42,1291,310,20200511,74,10,0,0,Sudan,苏丹
1661,135,173,12,1408,117,20200512,80,6,0,0,Sudan,苏丹
1818,157,198,25,1530,122,20200513,90,10,0,0,Sudan,苏丹
1818,0,198,0,1530,0,20200514,90,0,0,0,Sudan,苏丹
1964,146,205,7,1668,138,20200515,91,1,0,0,Sudan,苏丹
2289,325,222,17,1970,302,20200516,97,6,0,0,Sudan,苏丹
2289,0,222,0,1970,0,20200517,97,0,0,0,Sudan,苏丹
2591,302,247,25,2239,269,20200518,105,8,0,0,Sudan,苏丹
2591,0,247,0,2239,0,20200519,105,0,0,0,Sudan,苏丹
2728,137,286,39,2331,92,20200520,111,6,0,0,Sudan,苏丹
3138,410,309,23,2708,377,20200521,121,10,0,0,Sudan,苏丹
3378,240,372,63,2869,161,20200522,137,16,0,0,Sudan,苏丹
3378,0,372,0,2869,0,20200523,137,0,0,0,Sudan,苏丹
3634,256,424,52,3064,195,20200524,146,9,0,0,Sudan,苏丹
3826,192,458,34,3203,139,20200525,165,19,0,0,Sudan,苏丹
3976,150,503,45,3303,100,20200526,170,5,0,0,Sudan,苏丹
4146,170,588,85,3374,71,20200527,184,14,0,0,Sudan,苏丹
4346,200,749,161,3402,28,20200528,195,11,0,0,Sudan,苏丹
4521,175,816,67,3472,70,20200529,233,38,0,0,Sudan,苏丹
4800,279,1272,456,3266,-206,20200530,262,29,0,0,Sudan,苏丹
5026,226,1423,151,3317,51,20200531,286,24,0,0,Sudan,苏丹
5026,0,1423,0,3317,0,20200601,286,0,0,0,Sudan,苏丹
5173,147,1423,0,3452,135,20200602,298,12,0,0,Sudan,苏丹
5499,326,1711,288,3474,22,20200603,314,16,0,0,Sudan,苏丹
5714,215,1825,114,3556,82,20200604,333,19,0,0,Sudan,苏丹
5714,0,1825,0,3556,0,20200605,333,0,0,0,Sudan,苏丹
5865,151,1924,99,3594,38,20200606,347,14,0,0,Sudan,苏丹
6081,216,2014,90,3708,114,20200607,359,12,0,0,Sudan,苏丹
6242,161,2059,45,3811,103,20200608,372,13,0,0,Sudan,苏丹
6427,185,2127,68,3911,100,20200609,389,17,0,0,Sudan,苏丹
6427,0,2127,0,3911,0,20200610,389,0,0,0,Sudan,苏丹
6582,155,2202,75,3979,68,20200611,401,12,0,0,Sudan,苏丹
6879,297,2416,214,4030,51,20200612,433,32,0,0,Sudan,苏丹
7007,128,2556,140,4004,-26,20200613,447,14,0,0,Sudan,苏丹
7007,0,2556,0,4004,0,20200614,447,0,0,0,Sudan,苏丹
7435,428,2720,164,4247,243,20200615,468,21,0,0,Sudan,苏丹
7435,0,2720,0,4247,0,20200616,468,0,0,0,Sudan,苏丹
8020,585,2966,246,4567,320,20200617,487,19,0,0,Sudan,苏丹
8020,0,2966,0,4567,0,20200618,487,0,0,0,Sudan,苏丹
8316,296,3086,120,4724,157,20200619,506,19,0,0,Sudan,苏丹
8416,100,3204,118,4699,-25,20200620,513,7,0,0,Sudan,苏丹
8580,164,3325,121,4734,35,20200621,521,8,0,0,Sudan,苏丹
8698,118,3460,135,4705,-29,20200622,533,12,0,0,Sudan,苏丹
