confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr,countryFullName,countryName
1,1,0,0,1,1,20200315,0,0,0,0,Swaziland,斯威士兰
1,0,0,0,1,0,20200316,0,0,0,0,Swaziland,斯威士兰
1,0,0,0,1,0,20200317,0,0,0,0,Swaziland,斯威士兰
1,0,0,0,1,0,20200318,0,0,0,0,Swaziland,斯威士兰
1,0,0,0,1,0,20200319,0,0,0,0,Swaziland,斯威士兰
1,0,0,0,1,0,20200320,0,0,0,0,Swaziland,斯威士兰
4,3,0,0,4,3,20200321,0,0,0,0,Swaziland,斯威士兰
4,0,0,0,4,0,20200322,0,0,0,0,Swaziland,斯威士兰
5,1,0,0,5,1,20200323,0,0,0,0,Swaziland,斯威士兰
5,0,0,0,5,0,20200324,0,0,0,0,Swaziland,斯威士兰
5,0,0,0,5,0,20200325,0,0,0,0,Swaziland,斯威士兰
8,3,0,0,8,3,20200326,0,0,0,0,Swaziland,斯威士兰
8,0,0,0,8,0,20200327,0,0,0,0,Swaziland,斯威士兰
9,1,0,0,9,1,20200328,0,0,0,0,Swaziland,斯威士兰
9,0,0,0,9,0,20200329,0,0,0,0,Swaziland,斯威士兰
9,0,0,0,9,0,20200330,0,0,0,0,Swaziland,斯威士兰
9,0,0,0,9,0,20200331,0,0,0,0,Swaziland,斯威士兰
9,0,0,0,9,0,20200401,0,0,0,0,Swaziland,斯威士兰
9,0,0,0,9,0,20200402,0,0,0,0,Swaziland,斯威士兰
9,0,0,0,9,0,20200403,0,0,0,0,Swaziland,斯威士兰
9,0,0,0,9,0,20200404,0,0,0,0,Swaziland,斯威士兰
9,0,0,0,9,0,20200405,0,0,0,0,Swaziland,斯威士兰
10,1,3,3,7,-2,20200406,0,0,0,0,Swaziland,斯威士兰
10,0,3,0,7,0,20200407,0,0,0,0,Swaziland,斯威士兰
12,2,7,4,5,-2,20200408,0,0,0,0,Swaziland,斯威士兰
12,0,7,0,5,0,20200409,0,0,0,0,Swaziland,斯威士兰
12,0,7,0,5,0,20200410,0,0,0,0,Swaziland,斯威士兰
14,2,7,0,7,2,20200411,0,0,0,0,Swaziland,斯威士兰
14,0,7,0,7,0,20200412,0,0,0,0,Swaziland,斯威士兰
15,1,8,1,7,0,20200413,0,0,0,0,Swaziland,斯威士兰
15,0,8,0,7,0,20200414,0,0,0,0,Swaziland,斯威士兰
16,1,8,0,8,1,20200415,0,0,0,0,Swaziland,斯威士兰
17,1,8,0,8,0,20200416,1,1,0,0,Swaziland,斯威士兰
19,2,8,0,10,2,20200417,1,0,0,0,Swaziland,斯威士兰
22,3,8,0,13,3,20200418,1,0,0,0,Swaziland,斯威士兰
22,0,8,0,13,0,20200419,1,0,0,0,Swaziland,斯威士兰
24,2,8,0,15,2,20200420,1,0,0,0,Swaziland,斯威士兰
31,7,10,2,20,5,20200421,1,0,0,0,Swaziland,斯威士兰
31,0,10,0,20,0,20200422,1,0,0,0,Swaziland,斯威士兰
36,5,10,0,25,5,20200423,1,0,0,0,Swaziland,斯威士兰
40,4,10,0,29,4,20200424,1,0,0,0,Swaziland,斯威士兰
56,16,10,0,45,16,20200425,1,0,0,0,Swaziland,斯威士兰
56,0,10,0,45,0,20200426,1,0,0,0,Swaziland,斯威士兰
59,3,10,0,48,3,20200427,1,0,0,0,Swaziland,斯威士兰
65,6,10,0,54,6,20200428,1,0,0,0,Swaziland,斯威士兰
91,26,10,0,80,26,20200429,1,0,0,0,Swaziland,斯威士兰
100,9,12,2,87,7,20200430,1,0,0,0,Swaziland,斯威士兰
106,6,12,0,93,6,20200501,1,0,0,0,Swaziland,斯威士兰
106,0,12,0,93,0,20200502,1,0,0,0,Swaziland,斯威士兰
108,2,12,0,95,2,20200503,1,0,0,0,Swaziland,斯威士兰
112,4,12,0,99,4,20200504,1,0,0,0,Swaziland,斯威士兰
119,7,12,0,106,7,20200505,1,0,0,0,Swaziland,斯威士兰
123,4,13,1,108,2,20200506,2,1,0,0,Swaziland,斯威士兰
123,0,13,0,108,0,20200507,2,0,0,0,Swaziland,斯威士兰
153,30,13,0,138,30,20200508,2,0,0,0,Swaziland,斯威士兰
159,6,13,0,144,6,20200509,2,0,0,0,Swaziland,斯威士兰
163,4,13,0,148,4,20200510,2,0,0,0,Swaziland,斯威士兰
172,9,13,0,157,9,20200511,2,0,0,0,Swaziland,斯威士兰
175,3,13,0,160,3,20200512,2,0,0,0,Swaziland,斯威士兰
184,9,13,0,169,9,20200513,2,0,0,0,Swaziland,斯威士兰
187,3,13,0,172,3,20200514,2,0,0,0,Swaziland,斯威士兰
187,0,13,0,172,0,20200515,2,0,0,0,Swaziland,斯威士兰
190,3,13,0,175,3,20200516,2,0,0,0,Swaziland,斯威士兰
202,12,13,0,187,12,20200517,2,0,0,0,Swaziland,斯威士兰
203,1,13,0,188,1,20200518,2,0,0,0,Swaziland,斯威士兰
205,2,13,0,190,2,20200519,2,0,0,0,Swaziland,斯威士兰
208,3,13,0,193,3,20200520,2,0,0,0,Swaziland,斯威士兰
217,9,13,0,202,9,20200521,2,0,0,0,Swaziland,斯威士兰
220,3,13,0,205,3,20200522,2,0,0,0,Swaziland,斯威士兰
225,5,13,0,210,5,20200523,2,0,0,0,Swaziland,斯威士兰
238,13,13,0,223,13,20200524,2,0,0,0,Swaziland,斯威士兰
250,12,13,0,235,12,20200525,2,0,0,0,Swaziland,斯威士兰
256,6,13,0,241,6,20200526,2,0,0,0,Swaziland,斯威士兰
261,5,13,0,246,5,20200527,2,0,0,0,Swaziland,斯威士兰
272,11,13,0,257,11,20200528,2,0,0,0,Swaziland,斯威士兰
279,7,13,0,264,7,20200529,2,0,0,0,Swaziland,斯威士兰
279,0,13,0,264,0,20200530,2,0,0,0,Swaziland,斯威士兰
283,4,13,0,268,4,20200531,2,0,0,0,Swaziland,斯威士兰
285,2,13,0,270,2,20200601,2,0,0,0,Swaziland,斯威士兰
293,8,13,0,277,7,20200602,3,1,0,0,Swaziland,斯威士兰
294,1,13,0,278,1,20200603,3,0,0,0,Swaziland,斯威士兰
295,1,13,0,279,1,20200604,3,0,0,0,Swaziland,斯威士兰
300,5,13,0,284,5,20200605,3,0,0,0,Swaziland,斯威士兰
305,5,13,0,289,5,20200606,3,0,0,0,Swaziland,斯威士兰
322,17,13,0,306,17,20200607,3,0,0,0,Swaziland,斯威士兰
333,11,13,0,317,11,20200608,3,0,0,0,Swaziland,斯威士兰
371,38,232,219,136,-181,20200609,3,0,0,0,Swaziland,斯威士兰
398,27,236,4,159,23,20200610,3,0,0,0,Swaziland,斯威士兰
398,0,236,0,159,0,20200611,3,0,0,0,Swaziland,斯威士兰
449,51,236,0,210,51,20200612,3,0,0,0,Swaziland,斯威士兰
472,23,236,0,233,23,20200613,3,0,0,0,Swaziland,斯威士兰
486,14,236,0,247,14,20200614,3,0,0,0,Swaziland,斯威士兰
490,4,236,0,250,3,20200615,4,1,0,0,Swaziland,斯威士兰
506,16,236,0,266,16,20200616,4,0,0,0,Swaziland,斯威士兰
506,0,236,0,266,0,20200617,4,0,0,0,Swaziland,斯威士兰
563,57,236,0,323,57,20200618,4,0,0,0,Swaziland,斯威士兰
586,23,236,0,346,23,20200619,4,0,0,0,Swaziland,斯威士兰
623,37,236,0,383,37,20200620,4,0,0,0,Swaziland,斯威士兰
627,4,236,0,386,3,20200621,5,1,0,0,Swaziland,斯威士兰
635,8,236,0,394,8,20200622,5,0,0,0,Swaziland,斯威士兰
643,8,236,0,401,7,20200623,6,1,0,0,Swaziland,斯威士兰
674,31,236,0,431,30,20200624,7,1,0,0,Swaziland,斯威士兰
706,32,347,111,351,-80,20200625,8,1,0,0,Swaziland,斯威士兰
706,0,347,0,351,0,20200626,8,0,0,0,Swaziland,斯威士兰
731,25,347,0,376,25,20200627,8,0,0,0,Swaziland,斯威士兰
745,14,347,0,390,14,20200628,8,0,0,0,Swaziland,斯威士兰
781,36,347,0,423,33,20200629,11,3,0,0,Swaziland,斯威士兰
795,14,347,0,437,14,20200630,11,0,0,0,Swaziland,斯威士兰
812,17,347,0,454,17,20200701,11,0,0,0,Swaziland,斯威士兰
840,28,347,0,482,28,20200702,11,0,0,0,Swaziland,斯威士兰
873,33,347,0,515,33,20200703,11,0,0,0,Swaziland,斯威士兰
909,36,347,0,549,34,20200704,13,2,0,0,Swaziland,斯威士兰
954,45,347,0,594,45,20200705,13,0,0,0,Swaziland,斯威士兰
988,34,347,0,628,34,20200706,13,0,0,0,Swaziland,斯威士兰
1011,23,347,0,651,23,20200707,13,0,0,0,Swaziland,斯威士兰
1056,45,347,0,695,44,20200708,14,1,0,0,Swaziland,斯威士兰
