confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr,countryFullName,countryName
1,1,0,0,1,1,20200201,0,0,0,0,Sweden,瑞典
1,0,0,0,1,0,20200202,0,0,0,0,Sweden,瑞典
1,0,0,0,1,0,20200203,0,0,0,0,Sweden,瑞典
1,0,0,0,1,0,20200204,0,0,0,0,Sweden,瑞典
1,0,0,0,1,0,20200205,0,0,0,0,Sweden,瑞典
1,0,0,0,1,0,20200206,0,0,0,0,Sweden,瑞典
1,0,0,0,1,0,20200207,0,0,0,0,Sweden,瑞典
1,0,0,0,1,0,20200208,0,0,0,0,Sweden,瑞典
1,0,0,0,1,0,20200209,0,0,0,0,Sweden,瑞典
1,0,0,0,1,0,20200210,0,0,0,0,Sweden,瑞典
1,0,0,0,1,0,20200211,0,0,0,0,Sweden,瑞典
1,0,0,0,1,0,20200212,0,0,0,0,Sweden,瑞典
1,0,0,0,1,0,20200213,0,0,0,0,Sweden,瑞典
1,0,0,0,1,0,20200214,0,0,0,0,Sweden,瑞典
1,0,0,0,1,0,20200215,0,0,0,0,Sweden,瑞典
1,0,0,0,1,0,20200216,0,0,0,0,Sweden,瑞典
1,0,0,0,1,0,20200217,0,0,0,0,Sweden,瑞典
1,0,0,0,1,0,20200218,0,0,0,0,Sweden,瑞典
1,0,0,0,1,0,20200219,0,0,0,0,Sweden,瑞典
1,0,0,0,1,0,20200220,0,0,0,0,Sweden,瑞典
1,0,0,0,1,0,20200221,0,0,0,0,Sweden,瑞典
1,0,0,0,1,0,20200222,0,0,0,0,Sweden,瑞典
1,0,0,0,1,0,20200223,0,0,0,0,Sweden,瑞典
1,0,0,0,1,0,20200224,0,0,0,0,Sweden,瑞典
1,0,0,0,1,0,20200225,0,0,0,0,Sweden,瑞典
1,0,0,0,1,0,20200226,0,0,0,0,Sweden,瑞典
2,1,0,0,2,1,20200227,0,0,0,0,Sweden,瑞典
7,5,0,0,7,5,20200228,0,0,0,0,Sweden,瑞典
12,5,0,0,12,5,20200229,0,0,0,0,Sweden,瑞典
13,1,0,0,13,1,20200301,0,0,0,0,Sweden,瑞典
14,1,0,0,14,1,20200302,0,0,0,0,Sweden,瑞典
15,1,0,0,15,1,20200303,0,0,0,0,Sweden,瑞典
24,9,0,0,24,9,20200304,0,0,0,0,Sweden,瑞典
35,11,0,0,35,11,20200305,0,0,0,0,Sweden,瑞典
61,26,0,0,61,26,20200306,0,0,0,0,Sweden,瑞典
137,76,0,0,137,76,20200307,0,0,0,0,Sweden,瑞典
161,24,0,0,161,24,20200308,0,0,0,0,Sweden,瑞典
203,42,0,0,203,42,20200309,0,0,0,0,Sweden,瑞典
248,45,0,0,248,45,20200310,0,0,0,0,Sweden,瑞典
326,78,0,0,326,78,20200311,0,0,0,0,Sweden,瑞典
461,135,0,0,461,135,20200312,0,0,0,0,Sweden,瑞典
620,159,0,0,620,159,20200313,0,0,0,0,Sweden,瑞典
775,155,0,0,775,155,20200314,0,0,0,0,Sweden,瑞典
924,149,0,0,924,149,20200315,0,0,0,0,Sweden,瑞典
992,68,0,0,989,65,20200316,3,3,0,0,Sweden,瑞典
1059,67,0,0,1056,67,20200317,3,0,0,0,Sweden,瑞典
1167,108,1,1,1163,107,20200318,3,0,0,0,Sweden,瑞典
1423,256,1,0,1411,248,20200319,11,8,0,0,Sweden,瑞典
1623,200,1,0,1611,200,20200320,11,0,0,0,Sweden,瑞典
1746,123,17,16,1709,98,20200321,20,9,0,0,Sweden,瑞典
1929,183,17,0,1889,180,20200322,23,3,0,0,Sweden,瑞典
2016,87,17,0,1974,85,20200323,25,2,0,0,Sweden,瑞典
2272,256,17,0,2219,245,20200324,36,11,0,0,Sweden,瑞典
2510,238,17,0,2451,232,20200325,42,6,0,0,Sweden,瑞典
2806,296,17,0,2723,272,20200326,66,24,0,0,Sweden,瑞典
3046,240,17,0,2937,214,20200327,92,26,0,0,Sweden,瑞典
3447,401,17,0,3328,391,20200328,102,10,0,0,Sweden,瑞典
3700,253,17,0,3573,245,20200329,110,8,0,0,Sweden,瑞典
4028,328,17,0,3865,292,20200330,146,36,0,0,Sweden,瑞典
4028,0,17,0,3865,0,20200331,146,0,0,0,Sweden,瑞典
4947,919,17,0,4691,826,20200401,239,93,0,0,Sweden,瑞典
5565,618,17,0,5241,550,20200402,307,68,0,0,Sweden,瑞典
6078,513,17,0,5754,513,20200403,307,0,0,0,Sweden,瑞典
6443,365,17,0,6053,299,20200404,373,66,0,0,Sweden,瑞典
6830,387,17,0,6412,359,20200405,401,28,0,0,Sweden,瑞典
7206,376,17,0,6712,300,20200406,477,76,0,0,Sweden,瑞典
7693,487,17,0,7085,373,20200407,591,114,0,0,Sweden,瑞典
8419,726,17,0,7715,630,20200408,687,96,0,0,Sweden,瑞典
9141,722,17,0,8331,616,20200409,793,106,0,0,Sweden,瑞典
9685,544,17,0,8798,467,20200410,870,77,0,0,Sweden,瑞典
10151,466,17,0,9247,449,20200411,887,17,0,0,Sweden,瑞典
10483,332,17,0,9567,320,20200412,899,12,0,0,Sweden,瑞典
10948,465,17,0,10012,445,20200413,919,20,0,0,Sweden,瑞典
11445,497,17,0,10395,383,20200414,1033,114,0,0,Sweden,瑞典
12031,586,17,0,10791,396,20200415,1223,190,0,0,Sweden,瑞典
12540,509,17,0,11190,399,20200416,1333,110,0,0,Sweden,瑞典
13329,789,17,0,11870,680,20200417,1442,109,0,0,Sweden,瑞典
13967,638,17,0,12404,534,20200418,1546,104,0,0,Sweden,瑞典
14500,533,17,0,12905,501,20200419,1578,32,0,0,Sweden,瑞典
14874,374,537,520,12704,-201,20200420,1633,55,0,0,Sweden,瑞典
15384,510,537,0,13052,348,20200421,1795,162,0,0,Sweden,瑞典
16004,620,550,13,13517,465,20200422,1937,142,0,0,Sweden,瑞典
16755,751,550,0,14184,667,20200423,2021,84,0,0,Sweden,瑞典
17678,923,541,-9,14978,794,20200424,2159,138,0,0,Sweden,瑞典
18177,499,541,0,15444,466,20200425,2192,33,0,0,Sweden,瑞典
18640,463,556,15,15882,438,20200426,2202,10,0,0,Sweden,瑞典
19020,380,1005,449,15728,-154,20200427,2287,85,0,0,Sweden,瑞典
19743,723,1005,0,16358,630,20200428,2380,93,0,0,Sweden,瑞典
20382,639,1435,430,16474,116,20200429,2473,93,0,0,Sweden,瑞典
21177,795,1435,0,17138,664,20200430,2604,131,0,0,Sweden,瑞典
21635,458,1435,0,17533,395,20200501,2667,63,0,0,Sweden,瑞典
22174,539,1435,0,18053,520,20200502,2686,19,0,0,Sweden,瑞典
22416,242,1543,108,18175,122,20200503,2698,12,0,0,Sweden,瑞典
22454,38,1543,0,18201,26,20200504,2710,12,0,0,Sweden,瑞典
23334,880,1543,0,18914,713,20200505,2877,167,0,0,Sweden,瑞典
24018,684,1543,0,19516,602,20200506,2959,82,0,0,Sweden,瑞典
24713,695,1543,0,20114,598,20200507,3056,97,0,0,Sweden,瑞典
25265,552,1543,0,20547,433,20200508,3175,119,0,0,Sweden,瑞典
25921,656,1543,0,21158,611,20200509,3220,45,0,0,Sweden,瑞典
26385,464,4971,3428,18175,-2983,20200510,3239,19,0,0,Sweden,瑞典
26794,409,4971,0,18544,369,20200511,3279,40,0,0,Sweden,瑞典
26794,0,4971,0,18544,0,20200512,3279,0,0,0,Sweden,瑞典
27909,1115,4971,0,19478,934,20200513,3460,181,0,0,Sweden,瑞典
28693,784,4971,0,20172,694,20200514,3550,90,0,0,Sweden,瑞典
28693,0,4971,0,20172,0,20200515,3550,0,0,0,Sweden,瑞典
29677,984,4971,0,21017,845,20200516,3689,139,0,0,Sweden,瑞典
30143,466,4971,0,21493,476,20200517,3679,-10,0,0,Sweden,瑞典
30377,234,4971,0,21708,215,20200518,3698,19,0,0,Sweden,瑞典
30799,422,4971,0,22085,377,20200519,3743,45,0,0,Sweden,瑞典
30799,0,4971,0,22085,0,20200520,3743,0,0,0,Sweden,瑞典
32252,1453,4971,0,23386,1301,20200521,3895,152,0,0,Sweden,瑞典
32809,557,4971,0,23913,527,20200522,3925,30,0,0,Sweden,瑞典
33286,477,4971,0,24288,375,20200523,4027,102,0,0,Sweden,瑞典
33537,251,4971,0,24534,246,20200524,4032,5,0,0,Sweden,瑞典
33843,306,4971,0,24840,306,20200525,4032,0,0,0,Sweden,瑞典
34604,761,4971,0,25487,647,20200526,4146,114,0,0,Sweden,瑞典
35088,484,4971,0,25897,410,20200527,4220,74,0,0,Sweden,瑞典
35727,639,4971,0,26490,593,20200528,4266,46,0,0,Sweden,瑞典
36476,749,4971,0,27155,665,20200529,4350,84,0,0,Sweden,瑞典
37113,637,4971,0,27747,592,20200530,4395,45,0,0,Sweden,瑞典
37542,429,4971,0,28176,429,20200531,4395,0,0,0,Sweden,瑞典
37814,272,4971,0,28440,264,20200601,4403,8,0,0,Sweden,瑞典
38589,775,4971,0,29150,710,20200602,4468,65,0,0,Sweden,瑞典
40803,2214,4971,0,31290,2140,20200603,4542,74,0,0,Sweden,瑞典
41883,1080,4971,0,32350,1060,20200604,4562,20,0,0,Sweden,瑞典
42939,1056,4971,0,33329,979,20200605,4639,77,0,0,Sweden,瑞典
43887,948,4971,0,34260,931,20200606,4656,17,0,0,Sweden,瑞典
44845,958,4971,0,35185,925,20200607,4689,33,0,0,Sweden,瑞典
45133,288,4971,0,35468,283,20200608,4694,5,0,0,Sweden,瑞典
45924,791,4971,0,36236,768,20200609,4717,23,0,0,Sweden,瑞典
46814,890,4971,0,37048,812,20200610,4795,78,0,0,Sweden,瑞典
48288,1474,4971,0,38503,1455,20200611,4814,19,0,0,Sweden,瑞典
49684,1396,4971,0,39859,1356,20200612,4854,40,0,0,Sweden,瑞典
50931,1247,4971,0,41086,1227,20200613,4874,20,0,0,Sweden,瑞典
51614,683,4971,0,41769,683,20200614,4874,0,0,0,Sweden,瑞典
52383,769,4971,0,42521,752,20200615,4891,17,0,0,Sweden,瑞典
53323,940,4971,0,43400,879,20200616,4952,61,0,0,Sweden,瑞典
54562,1239,4971,0,44550,1150,20200617,5041,89,0,0,Sweden,瑞典
56043,1481,4971,0,46019,1469,20200618,5053,12,0,0,Sweden,瑞典
56043,0,4971,0,46019,0,20200619,5053,0,0,0,Sweden,瑞典
56360,317,4971,0,46311,292,20200620,5078,25,0,0,Sweden,瑞典
56360,0,4971,0,46311,0,20200621,5078,0,0,0,Sweden,瑞典
58932,2572,4971,0,48839,2528,20200622,5122,44,0,0,Sweden,瑞典
60837,1905,4971,0,50705,1866,20200623,5161,39,0,0,Sweden,瑞典
62324,1487,4971,0,52144,1439,20200624,5209,48,0,0,Sweden,瑞典
63890,1566,4971,0,53689,1545,20200625,5230,21,0,0,Sweden,瑞典
65137,1247,4971,0,54886,1197,20200626,5280,50,0,0,Sweden,瑞典
65137,0,4971,0,54886,0,20200627,5280,0,0,0,Sweden,瑞典
65484,347,4971,0,55209,323,20200628,5304,24,0,0,Sweden,瑞典
67667,2183,4971,0,57386,2177,20200629,5310,6,0,0,Sweden,瑞典
68451,784,4971,0,58147,761,20200630,5333,23,0,0,Sweden,瑞典
69692,1241,4971,0,59351,1204,20200701,5370,37,0,0,Sweden,瑞典
70639,947,4971,0,60257,906,20200702,5411,41,0,0,Sweden,瑞典
71486,847,4971,0,61074,817,20200703,5441,30,0,0,Sweden,瑞典
71486,0,4971,0,61074,0,20200704,5441,0,0,0,Sweden,瑞典
71725,239,4971,0,61307,233,20200705,5447,6,0,0,Sweden,瑞典
73061,1336,4971,0,62643,1336,20200706,5447,0,0,0,Sweden,瑞典
73061,0,4971,0,62643,0,20200707,5447,0,0,0,Sweden,瑞典
73858,797,4971,0,63405,762,20200708,5482,35,0,0,Sweden,瑞典
