confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr,countryFullName,countryName
1,1,0,0,1,1,20200226,0,0,0,0,Switzerland,瑞士
1,0,0,0,1,0,20200227,0,0,0,0,Switzerland,瑞士
6,5,0,0,6,5,20200228,0,0,0,0,Switzerland,瑞士
10,4,0,0,10,4,20200229,0,0,0,0,Switzerland,瑞士
18,8,0,0,18,8,20200301,0,0,0,0,Switzerland,瑞士
24,6,0,0,24,6,20200302,0,0,0,0,Switzerland,瑞士
30,6,0,0,30,6,20200303,0,0,0,0,Switzerland,瑞士
37,7,0,0,37,7,20200304,0,0,0,0,Switzerland,瑞士
56,19,0,0,56,19,20200305,0,0,0,0,Switzerland,瑞士
86,30,0,0,85,29,20200306,1,1,0,0,Switzerland,瑞士
209,123,0,0,208,123,20200307,1,0,0,0,Switzerland,瑞士
264,55,0,0,262,54,20200308,2,1,0,0,Switzerland,瑞士
332,68,0,0,330,68,20200309,2,0,0,0,Switzerland,瑞士
332,0,0,0,330,0,20200310,2,0,0,0,Switzerland,瑞士
491,159,0,0,488,158,20200311,3,1,0,0,Switzerland,瑞士
645,154,0,0,641,153,20200312,4,1,0,0,Switzerland,瑞士
858,213,0,0,852,211,20200313,6,2,0,0,Switzerland,瑞士
1125,267,0,0,1119,267,20200314,6,0,0,0,Switzerland,瑞士
1359,234,3,3,1345,226,20200315,11,5,0,0,Switzerland,瑞士
2200,841,3,0,2184,839,20200316,13,2,0,0,Switzerland,瑞士
2200,0,3,0,2183,-1,20200317,14,1,0,0,Switzerland,瑞士
2650,450,3,0,2633,450,20200318,14,0,0,0,Switzerland,瑞士
3438,788,3,0,3396,763,20200319,39,25,0,0,Switzerland,瑞士
4176,738,3,0,4130,734,20200320,43,4,0,0,Switzerland,瑞士
6113,1937,3,0,6054,1924,20200321,56,13,0,0,Switzerland,瑞士
7014,901,3,0,6951,897,20200322,60,4,0,0,Switzerland,瑞士
8060,1046,3,0,7991,1040,20200323,66,6,0,0,Switzerland,瑞士
8836,776,3,0,8747,756,20200324,86,20,0,0,Switzerland,瑞士
9765,929,3,0,9659,912,20200325,103,17,0,0,Switzerland,瑞士
