confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr,countryFullName,countryName
1,1,0,0,1,1,20200323,0,0,0,0,Syrian ArabRepublic,叙利亚
1,0,0,0,1,0,20200324,0,0,0,0,Syrian ArabRepublic,叙利亚
5,4,0,0,5,4,20200325,0,0,0,0,Syrian ArabRepublic,叙利亚
5,0,0,0,5,0,20200326,0,0,0,0,Syrian ArabRepublic,叙利亚
5,0,0,0,5,0,20200327,0,0,0,0,Syrian ArabRepublic,叙利亚
5,0,0,0,5,0,20200328,0,0,0,0,Syrian ArabRepublic,叙利亚
6,1,0,0,5,0,20200329,1,1,0,0,Syrian ArabRepublic,叙利亚
10,4,0,0,9,4,20200330,1,0,0,0,Syrian ArabRepublic,叙利亚
10,0,0,0,8,-1,20200331,2,1,0,0,Syrian ArabRepublic,叙利亚
10,0,0,0,8,0,20200401,2,0,0,0,Syrian ArabRepublic,叙利亚
16,6,0,0,13,5,20200402,3,1,0,0,Syrian ArabRepublic,叙利亚
16,0,0,0,13,0,20200403,3,0,0,0,Syrian ArabRepublic,叙利亚
16,0,0,0,13,0,20200404,3,0,0,0,Syrian ArabRepublic,叙利亚
19,3,2,2,14,1,20200405,3,0,0,0,Syrian ArabRepublic,叙利亚
19,0,2,0,14,0,20200406,3,0,0,0,Syrian ArabRepublic,叙利亚
19,0,2,0,14,0,20200407,3,0,0,0,Syrian ArabRepublic,叙利亚
19,0,2,0,14,0,20200408,3,0,0,0,Syrian ArabRepublic,叙利亚
19,0,2,0,14,0,20200409,3,0,0,0,Syrian ArabRepublic,叙利亚
19,0,2,0,14,0,20200410,3,0,0,0,Syrian ArabRepublic,叙利亚
25,6,4,2,19,5,20200411,2,-1,0,0,Syrian ArabRepublic,叙利亚
25,0,4,0,19,0,20200412,2,0,0,0,Syrian ArabRepublic,叙利亚
25,0,4,0,19,0,20200413,2,0,0,0,Syrian ArabRepublic,叙利亚
29,4,5,1,22,3,20200414,2,0,0,0,Syrian ArabRepublic,叙利亚
33,4,5,0,26,4,20200415,2,0,0,0,Syrian ArabRepublic,叙利亚
33,0,5,0,26,0,20200416,2,0,0,0,Syrian ArabRepublic,叙利亚
38,5,5,0,31,5,20200417,2,0,0,0,Syrian ArabRepublic,叙利亚
38,0,5,0,31,0,20200418,2,0,0,0,Syrian ArabRepublic,叙利亚
39,1,5,0,31,0,20200419,3,1,0,0,Syrian ArabRepublic,叙利亚
39,0,5,0,31,0,20200420,3,0,0,0,Syrian ArabRepublic,叙利亚
42,3,6,1,33,2,20200421,3,0,0,0,Syrian ArabRepublic,叙利亚
42,0,6,0,33,0,20200422,3,0,0,0,Syrian ArabRepublic,叙利亚
42,0,6,0,33,0,20200423,3,0,0,0,Syrian ArabRepublic,叙利亚
42,0,6,0,33,0,20200424,3,0,0,0,Syrian ArabRepublic,叙利亚
42,0,6,0,33,0,20200425,3,0,0,0,Syrian ArabRepublic,叙利亚
42,0,6,0,33,0,20200426,3,0,0,0,Syrian ArabRepublic,叙利亚
43,1,14,8,26,-7,20200427,3,0,0,0,Syrian ArabRepublic,叙利亚
43,0,14,0,26,0,20200428,3,0,0,0,Syrian ArabRepublic,叙利亚
43,0,14,0,26,0,20200429,3,0,0,0,Syrian ArabRepublic,叙利亚
43,0,14,0,26,0,20200430,3,0,0,0,Syrian ArabRepublic,叙利亚
44,1,27,13,14,-12,20200501,3,0,0,0,Syrian ArabRepublic,叙利亚
44,0,27,0,14,0,20200502,3,0,0,0,Syrian ArabRepublic,叙利亚
44,0,27,0,14,0,20200503,3,0,0,0,Syrian ArabRepublic,叙利亚
44,0,27,0,14,0,20200504,3,0,0,0,Syrian ArabRepublic,叙利亚
44,0,27,0,14,0,20200505,3,0,0,0,Syrian ArabRepublic,叙利亚
45,1,27,0,15,1,20200506,3,0,0,0,Syrian ArabRepublic,叙利亚
45,0,27,0,15,0,20200507,3,0,0,0,Syrian ArabRepublic,叙利亚
45,0,27,0,15,0,20200508,3,0,0,0,Syrian ArabRepublic,叙利亚
47,2,27,0,17,2,20200509,3,0,0,0,Syrian ArabRepublic,叙利亚
47,0,27,0,17,0,20200510,3,0,0,0,Syrian ArabRepublic,叙利亚
47,0,27,0,17,0,20200511,3,0,0,0,Syrian ArabRepublic,叙利亚
47,0,27,0,17,0,20200512,3,0,0,0,Syrian ArabRepublic,叙利亚
48,1,27,0,18,1,20200513,3,0,0,0,Syrian ArabRepublic,叙利亚
48,0,27,0,18,0,20200514,3,0,0,0,Syrian ArabRepublic,叙利亚
48,0,27,0,18,0,20200515,3,0,0,0,Syrian ArabRepublic,叙利亚
50,2,27,0,20,2,20200516,3,0,0,0,Syrian ArabRepublic,叙利亚
51,1,27,0,21,1,20200517,3,0,0,0,Syrian ArabRepublic,叙利亚
58,7,27,0,28,7,20200518,3,0,0,0,Syrian ArabRepublic,叙利亚
58,0,27,0,28,0,20200519,3,0,0,0,Syrian ArabRepublic,叙利亚
58,0,27,0,28,0,20200520,3,0,0,0,Syrian ArabRepublic,叙利亚
58,0,27,0,28,0,20200521,3,0,0,0,Syrian ArabRepublic,叙利亚
58,0,27,0,28,0,20200522,3,0,0,0,Syrian ArabRepublic,叙利亚
59,1,27,0,28,0,20200523,4,1,0,0,Syrian ArabRepublic,叙利亚
86,27,41,14,41,13,20200524,4,0,0,0,Syrian ArabRepublic,叙利亚
86,0,41,0,41,0,20200525,4,0,0,0,Syrian ArabRepublic,叙利亚
106,20,41,0,61,20,20200526,4,0,0,0,Syrian ArabRepublic,叙利亚
121,15,41,0,76,15,20200527,4,0,0,0,Syrian ArabRepublic,叙利亚
121,0,41,0,76,0,20200528,4,0,0,0,Syrian ArabRepublic,叙利亚
122,1,41,0,77,1,20200529,4,0,0,0,Syrian ArabRepublic,叙利亚
122,0,41,0,77,0,20200530,4,0,0,0,Syrian ArabRepublic,叙利亚
122,0,41,0,77,0,20200531,4,0,0,0,Syrian ArabRepublic,叙利亚
122,0,41,0,76,-1,20200601,5,1,0,0,Syrian ArabRepublic,叙利亚
123,1,41,0,77,1,20200602,5,0,0,0,Syrian ArabRepublic,叙利亚
123,0,41,0,76,-1,20200603,6,1,0,0,Syrian ArabRepublic,叙利亚
123,0,41,0,76,0,20200604,6,0,0,0,Syrian ArabRepublic,叙利亚
124,1,41,0,77,1,20200605,6,0,0,0,Syrian ArabRepublic,叙利亚
124,0,41,0,77,0,20200606,6,0,0,0,Syrian ArabRepublic,叙利亚
125,1,41,0,78,1,20200607,6,0,0,0,Syrian ArabRepublic,叙利亚
141,16,41,0,94,16,20200608,6,0,0,0,Syrian ArabRepublic,叙利亚
144,3,41,0,97,3,20200609,6,0,0,0,Syrian ArabRepublic,叙利亚
146,2,41,0,99,2,20200610,6,0,0,0,Syrian ArabRepublic,叙利亚
152,6,41,0,105,6,20200611,6,0,0,0,Syrian ArabRepublic,叙利亚
164,12,41,0,117,12,20200612,6,0,0,0,Syrian ArabRepublic,叙利亚
