confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr,countryFullName,countryName
4,4,0,0,4,4,20200406,0,0,0,0,São Tomé and Príncipe,圣多美和普林西比
4,0,0,0,4,0,20200407,0,0,0,0,São Tomé and Príncipe,圣多美和普林西比
4,0,0,0,4,0,20200408,0,0,0,0,São Tomé and Príncipe,圣多美和普林西比
4,0,0,0,4,0,20200409,0,0,0,0,São Tomé and Príncipe,圣多美和普林西比
4,0,0,0,4,0,20200410,0,0,0,0,São Tomé and Príncipe,圣多美和普林西比
4,0,0,0,4,0,20200411,0,0,0,0,São Tomé and Príncipe,圣多美和普林西比
4,0,0,0,4,0,20200412,0,0,0,0,São Tomé and Príncipe,圣多美和普林西比
4,0,0,0,4,0,20200413,0,0,0,0,São Tomé and Príncipe,圣多美和普林西比
4,0,0,0,4,0,20200414,0,0,0,0,São Tomé and Príncipe,圣多美和普林西比
4,0,0,0,4,0,20200415,0,0,0,0,São Tomé and Príncipe,圣多美和普林西比
4,0,0,0,4,0,20200416,0,0,0,0,São Tomé and Príncipe,圣多美和普林西比
4,0,0,0,4,0,20200417,0,0,0,0,São Tomé and Príncipe,圣多美和普林西比
4,0,0,0,4,0,20200418,0,0,0,0,São Tomé and Príncipe,圣多美和普林西比
4,0,0,0,4,0,20200419,0,0,0,0,São Tomé and Príncipe,圣多美和普林西比
4,0,0,0,4,0,20200420,0,0,0,0,São Tomé and Príncipe,圣多美和普林西比
4,0,0,0,4,0,20200421,0,0,0,0,São Tomé and Príncipe,圣多美和普林西比
4,0,0,0,4,0,20200422,0,0,0,0,São Tomé and Príncipe,圣多美和普林西比
7,3,0,0,7,3,20200423,0,0,0,0,São Tomé and Príncipe,圣多美和普林西比
8,1,0,0,8,1,20200424,0,0,0,0,São Tomé and Príncipe,圣多美和普林西比
8,0,0,0,8,0,20200425,0,0,0,0,São Tomé and Príncipe,圣多美和普林西比
8,0,0,0,8,0,20200426,0,0,0,0,São Tomé and Príncipe,圣多美和普林西比
8,0,0,0,8,0,20200427,0,0,0,0,São Tomé and Príncipe,圣多美和普林西比
8,0,0,0,8,0,20200428,0,0,0,0,São Tomé and Príncipe,圣多美和普林西比
11,3,0,0,11,3,20200429,0,0,0,0,São Tomé and Príncipe,圣多美和普林西比
11,0,0,0,11,0,20200430,0,0,0,0,São Tomé and Príncipe,圣多美和普林西比
16,5,0,0,15,4,20200501,1,1,0,0,São Tomé and Príncipe,圣多美和普林西比
16,0,0,0,15,0,20200502,1,0,0,0,São Tomé and Príncipe,圣多美和普林西比
23,7,0,0,20,5,20200503,3,2,0,0,São Tomé and Príncipe,圣多美和普林西比
23,0,0,0,20,0,20200504,3,0,0,0,São Tomé and Príncipe,圣多美和普林西比
161,138,0,0,158,138,20200505,3,0,0,0,São Tomé and Príncipe,圣多美和普林西比
171,10,0,0,168,10,20200506,3,0,0,0,São Tomé and Príncipe,圣多美和普林西比
174,3,0,0,171,3,20200507,3,0,0,0,São Tomé and Príncipe,圣多美和普林西比
174,0,0,0,170,-1,20200508,4,1,0,0,São Tomé and Príncipe,圣多美和普林西比
208,34,0,0,203,33,20200509,5,1,0,0,São Tomé and Príncipe,圣多美和普林西比
208,0,0,0,203,0,20200510,5,0,0,0,São Tomé and Príncipe,圣多美和普林西比
208,0,0,0,203,0,20200511,5,0,0,0,São Tomé and Príncipe,圣多美和普林西比
208,0,0,0,203,0,20200512,5,0,0,0,São Tomé and Príncipe,圣多美和普林西比
208,0,0,0,203,0,20200513,5,0,0,0,São Tomé and Príncipe,圣多美和普林西比
