confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr,countryFullName,countryName
15,15,0,0,15,15,20200430,0,0,0,0,Tajikistan,塔吉克斯坦
15,0,0,0,15,0,20200501,0,0,0,0,Tajikistan,塔吉克斯坦
15,0,0,0,15,0,20200502,0,0,0,0,Tajikistan,塔吉克斯坦
76,61,0,0,74,59,20200503,2,2,0,0,Tajikistan,塔吉克斯坦
128,52,0,0,124,50,20200504,4,2,0,0,Tajikistan,塔吉克斯坦
230,102,0,0,223,99,20200505,7,3,0,0,Tajikistan,塔吉克斯坦
293,63,0,0,286,63,20200506,7,0,0,0,Tajikistan,塔吉克斯坦
379,86,0,0,370,84,20200507,9,2,0,0,Tajikistan,塔吉克斯坦
461,82,0,0,445,75,20200508,16,7,0,0,Tajikistan,塔吉克斯坦
461,0,0,0,445,0,20200509,16,0,0,0,Tajikistan,塔吉克斯坦
561,100,0,0,542,97,20200510,19,3,0,0,Tajikistan,塔吉克斯坦
612,51,0,0,592,50,20200511,20,1,0,0,Tajikistan,塔吉克斯坦
661,49,0,0,640,48,20200512,21,1,0,0,Tajikistan,塔吉克斯坦
729,68,0,0,706,66,20200513,23,2,0,0,Tajikistan,塔吉克斯坦
729,0,0,0,706,0,20200514,23,0,0,0,Tajikistan,塔吉克斯坦
1085,356,0,0,1044,338,20200515,41,18,0,0,Tajikistan,塔吉克斯坦
1118,33,0,0,1077,33,20200516,41,0,0,0,Tajikistan,塔吉克斯坦
1322,204,0,0,1281,204,20200517,41,0,0,0,Tajikistan,塔吉克斯坦
1729,407,493,493,1195,-86,20200518,41,0,0,0,Tajikistan,塔吉克斯坦
1729,0,493,0,1192,-3,20200519,44,3,0,0,Tajikistan,塔吉克斯坦
1936,207,493,0,1399,207,20200520,44,0,0,0,Tajikistan,塔吉克斯坦
2140,204,493,0,1603,204,20200521,44,0,0,0,Tajikistan,塔吉克斯坦
2350,210,493,0,1813,210,20200522,44,0,0,0,Tajikistan,塔吉克斯坦
2738,388,1223,730,1471,-342,20200523,44,0,0,0,Tajikistan,塔吉克斯坦
2738,0,1223,0,1471,0,20200524,44,0,0,0,Tajikistan,塔吉克斯坦
2929,191,1223,0,1660,189,20200525,46,2,0,0,Tajikistan,塔吉克斯坦
3100,171,1223,0,1831,171,20200526,46,0,0,0,Tajikistan,塔吉克斯坦
3266,166,1223,0,1996,165,20200527,47,1,0,0,Tajikistan,塔吉克斯坦
3424,158,1223,0,2154,158,20200528,47,0,0,0,Tajikistan,塔吉克斯坦
3563,139,1223,0,2293,139,20200529,47,0,0,0,Tajikistan,塔吉克斯坦
3686,123,1223,0,2416,123,20200530,47,0,0,0,Tajikistan,塔吉克斯坦
3807,121,1223,0,2537,121,20200531,47,0,0,0,Tajikistan,塔吉克斯坦
3930,123,1223,0,2660,123,20200601,47,0,0,0,Tajikistan,塔吉克斯坦
4013,83,1223,0,2743,83,20200602,47,0,0,0,Tajikistan,塔吉克斯坦
4100,87,1223,0,2830,87,20200603,47,0,0,0,Tajikistan,塔吉克斯坦
4191,91,1223,0,2920,90,20200604,48,1,0,0,Tajikistan,塔吉克斯坦
4370,179,2491,1268,1831,-1089,20200605,48,0,0,0,Tajikistan,塔吉克斯坦
4370,0,2491,0,1831,0,20200606,48,0,0,0,Tajikistan,塔吉克斯坦
4453,83,2491,0,1914,83,20200607,48,0,0,0,Tajikistan,塔吉克斯坦
4529,76,2491,0,1990,76,20200608,48,0,0,0,Tajikistan,塔吉克斯坦
4609,80,2491,0,2070,80,20200609,48,0,0,0,Tajikistan,塔吉克斯坦
4690,81,2491,0,2151,81,20200610,48,0,0,0,Tajikistan,塔吉克斯坦
4763,73,2491,0,2224,73,20200611,48,0,0,0,Tajikistan,塔吉克斯坦
4834,71,2491,0,2294,70,20200612,49,1,0,0,Tajikistan,塔吉克斯坦
4902,68,2491,0,2362,68,20200613,49,0,0,0,Tajikistan,塔吉克斯坦
4971,69,2491,0,2430,68,20200614,50,1,0,0,Tajikistan,塔吉克斯坦
5035,64,2491,0,2494,64,20200615,50,0,0,0,Tajikistan,塔吉克斯坦
5097,62,2491,0,2556,62,20200616,50,0,0,0,Tajikistan,塔吉克斯坦
5097,0,2491,0,2556,0,20200617,50,0,0,0,Tajikistan,塔吉克斯坦
5221,124,2491,0,2679,123,20200618,51,1,0,0,Tajikistan,塔吉克斯坦
5279,58,2491,0,2737,58,20200619,51,0,0,0,Tajikistan,塔吉克斯坦
5338,59,2491,0,2796,59,20200620,51,0,0,0,Tajikistan,塔吉克斯坦
5399,61,2491,0,2856,60,20200621,52,1,0,0,Tajikistan,塔吉克斯坦
5457,58,2491,0,2914,58,20200622,52,0,0,0,Tajikistan,塔吉克斯坦
5513,56,2491,0,2970,56,20200623,52,0,0,0,Tajikistan,塔吉克斯坦
5567,54,2491,0,3024,54,20200624,52,0,0,0,Tajikistan,塔吉克斯坦
5630,63,2491,0,3087,63,20200625,52,0,0,0,Tajikistan,塔吉克斯坦
5691,61,2491,0,3148,61,20200626,52,0,0,0,Tajikistan,塔吉克斯坦
5747,56,2491,0,3204,56,20200627,52,0,0,0,Tajikistan,塔吉克斯坦
5799,52,2491,0,3256,52,20200628,52,0,0,0,Tajikistan,塔吉克斯坦
5849,50,2491,0,3306,50,20200629,52,0,0,0,Tajikistan,塔吉克斯坦
5954,105,4568,2077,1334,-1972,20200630,52,0,0,0,Tajikistan,塔吉克斯坦
6005,51,4627,59,1326,-8,20200701,52,0,0,0,Tajikistan,塔吉克斯坦
6058,53,4690,63,1316,-10,20200702,52,0,0,0,Tajikistan,塔吉克斯坦
6108,50,4762,72,1294,-22,20200703,52,0,0,0,Tajikistan,塔吉克斯坦
6159,51,4809,47,1298,4,20200704,52,0,0,0,Tajikistan,塔吉克斯坦
6213,54,4858,49,1303,5,20200705,52,0,0,0,Tajikistan,塔吉克斯坦
6262,49,4914,56,1295,-8,20200706,53,1,0,0,Tajikistan,塔吉克斯坦
6315,53,4965,51,1297,2,20200707,53,0,0,0,Tajikistan,塔吉克斯坦
6364,49,5011,46,1299,2,20200708,54,1,0,0,Tajikistan,塔吉克斯坦
