confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr,countryFullName,countryName
1,1,0,0,1,1,20200317,0,0,0,0,Tanzania,坦桑尼亚
1,0,0,0,1,0,20200318,0,0,0,0,Tanzania,坦桑尼亚
6,5,0,0,6,5,20200319,0,0,0,0,Tanzania,坦桑尼亚
6,0,0,0,6,0,20200320,0,0,0,0,Tanzania,坦桑尼亚
6,0,0,0,6,0,20200321,0,0,0,0,Tanzania,坦桑尼亚
12,6,0,0,12,6,20200322,0,0,0,0,Tanzania,坦桑尼亚
12,0,0,0,12,0,20200323,0,0,0,0,Tanzania,坦桑尼亚
12,0,0,0,12,0,20200324,0,0,0,0,Tanzania,坦桑尼亚
13,1,1,1,12,0,20200325,0,0,0,0,Tanzania,坦桑尼亚
13,0,1,0,12,0,20200326,0,0,0,0,Tanzania,坦桑尼亚
13,0,1,0,12,0,20200327,0,0,0,0,Tanzania,坦桑尼亚
14,1,1,0,13,1,20200328,0,0,0,0,Tanzania,坦桑尼亚
14,0,1,0,13,0,20200329,0,0,0,0,Tanzania,坦桑尼亚
19,5,1,0,18,5,20200330,0,0,0,0,Tanzania,坦桑尼亚
19,0,1,0,17,-1,20200331,1,1,0,0,Tanzania,坦桑尼亚
20,1,2,1,17,0,20200401,1,0,0,0,Tanzania,坦桑尼亚
20,0,2,0,17,0,20200402,1,0,0,0,Tanzania,坦桑尼亚
20,0,3,1,16,-1,20200403,1,0,0,0,Tanzania,坦桑尼亚
20,0,3,0,16,0,20200404,1,0,0,0,Tanzania,坦桑尼亚
22,2,3,0,18,2,20200405,1,0,0,0,Tanzania,坦桑尼亚
24,2,3,0,20,2,20200406,1,0,0,0,Tanzania,坦桑尼亚
24,0,5,2,18,-2,20200407,1,0,0,0,Tanzania,坦桑尼亚
25,1,5,0,19,1,20200408,1,0,0,0,Tanzania,坦桑尼亚
25,0,5,0,19,0,20200409,1,0,0,0,Tanzania,坦桑尼亚
32,7,5,0,24,5,20200410,3,2,0,0,Tanzania,坦桑尼亚
32,0,5,0,24,0,20200411,3,0,0,0,Tanzania,坦桑尼亚
32,0,5,0,24,0,20200412,3,0,0,0,Tanzania,坦桑尼亚
46,14,7,2,36,12,20200413,3,0,0,0,Tanzania,坦桑尼亚
53,7,7,0,43,7,20200414,3,0,0,0,Tanzania,坦桑尼亚
88,35,13,6,71,28,20200415,4,1,0,0,Tanzania,坦桑尼亚
94,6,13,0,77,6,20200416,4,0,0,0,Tanzania,坦桑尼亚
147,53,13,0,129,52,20200417,5,1,0,0,Tanzania,坦桑尼亚
148,1,13,0,130,1,20200418,5,0,0,0,Tanzania,坦桑尼亚
148,0,13,0,130,0,20200419,5,0,0,0,Tanzania,坦桑尼亚
254,106,13,0,231,101,20200420,10,5,0,0,Tanzania,坦桑尼亚
255,1,13,0,232,1,20200421,10,0,0,0,Tanzania,坦桑尼亚
284,29,11,-2,263,31,20200422,10,0,0,0,Tanzania,坦桑尼亚
285,1,11,0,264,1,20200423,10,0,0,0,Tanzania,坦桑尼亚
299,14,37,26,252,-12,20200424,10,0,0,0,Tanzania,坦桑尼亚
300,1,37,0,253,1,20200425,10,0,0,0,Tanzania,坦桑尼亚
300,0,37,0,253,0,20200426,10,0,0,0,Tanzania,坦桑尼亚
300,0,37,0,253,0,20200427,10,0,0,0,Tanzania,坦桑尼亚
300,0,37,0,253,0,20200428,10,0,0,0,Tanzania,坦桑尼亚
480,180,167,130,297,44,20200429,16,6,0,0,Tanzania,坦桑尼亚
480,0,167,0,297,0,20200430,16,0,0,0,Tanzania,坦桑尼亚
480,0,167,0,296,-1,20200501,17,1,0,0,Tanzania,坦桑尼亚
480,0,167,0,296,0,20200502,17,0,0,0,Tanzania,坦桑尼亚
480,0,167,0,295,-1,20200503,18,1,0,0,Tanzania,坦桑尼亚
480,0,167,0,295,0,20200504,18,0,0,0,Tanzania,坦桑尼亚
480,0,167,0,295,0,20200505,18,0,0,0,Tanzania,坦桑尼亚
480,0,167,0,295,0,20200506,18,0,0,0,Tanzania,坦桑尼亚
480,0,167,0,295,0,20200507,18,0,0,0,Tanzania,坦桑尼亚
509,29,167,0,321,26,20200508,21,3,0,0,Tanzania,坦桑尼亚
509,0,167,0,321,0,20200509,21,0,0,0,Tanzania,坦桑尼亚
509,0,167,0,321,0,20200510,21,0,0,0,Tanzania,坦桑尼亚
509,0,167,0,321,0,20200511,21,0,0,0,Tanzania,坦桑尼亚
509,0,167,0,321,0,20200512,21,0,0,0,Tanzania,坦桑尼亚
509,0,167,0,321,0,20200513,21,0,0,0,Tanzania,坦桑尼亚
509,0,167,0,321,0,20200514,21,0,0,0,Tanzania,坦桑尼亚
509,0,167,0,321,0,20200515,21,0,0,0,Tanzania,坦桑尼亚
