confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr,countryFullName,countryName
1,1,0,0,1,1,20200319,0,0,0,0,The Republic of Djibouti,吉布提
1,0,0,0,1,0,20200320,0,0,0,0,The Republic of Djibouti,吉布提
1,0,0,0,1,0,20200321,0,0,0,0,The Republic of Djibouti,吉布提
1,0,0,0,1,0,20200322,0,0,0,0,The Republic of Djibouti,吉布提
1,0,0,0,1,0,20200323,0,0,0,0,The Republic of Djibouti,吉布提
3,2,0,0,3,2,20200324,0,0,0,0,The Republic of Djibouti,吉布提
11,8,0,0,11,8,20200325,0,0,0,0,The Republic of Djibouti,吉布提
12,1,0,0,12,1,20200326,0,0,0,0,The Republic of Djibouti,吉布提
12,0,0,0,12,0,20200327,0,0,0,0,The Republic of Djibouti,吉布提
14,2,0,0,14,2,20200328,0,0,0,0,The Republic of Djibouti,吉布提
18,4,0,0,18,4,20200329,0,0,0,0,The Republic of Djibouti,吉布提
25,7,0,0,25,7,20200330,0,0,0,0,The Republic of Djibouti,吉布提
30,5,0,0,30,5,20200331,0,0,0,0,The Republic of Djibouti,吉布提
33,3,0,0,33,3,20200401,0,0,0,0,The Republic of Djibouti,吉布提
40,7,0,0,40,7,20200402,0,0,0,0,The Republic of Djibouti,吉布提
49,9,8,8,41,1,20200403,0,0,0,0,The Republic of Djibouti,吉布提
50,1,8,0,42,1,20200404,0,0,0,0,The Republic of Djibouti,吉布提
59,9,9,1,50,8,20200405,0,0,0,0,The Republic of Djibouti,吉布提
90,31,9,0,81,31,20200406,0,0,0,0,The Republic of Djibouti,吉布提
121,31,18,9,103,22,20200407,0,0,0,0,The Republic of Djibouti,吉布提
135,14,25,7,110,7,20200408,0,0,0,0,The Republic of Djibouti,吉布提
140,5,28,3,111,1,20200409,1,1,0,0,The Republic of Djibouti,吉布提
150,10,36,8,113,2,20200410,1,0,0,0,The Republic of Djibouti,吉布提
187,37,36,0,149,36,20200411,2,1,0,0,The Republic of Djibouti,吉布提
215,28,36,0,177,28,20200412,2,0,0,0,The Republic of Djibouti,吉布提
298,83,41,5,255,78,20200413,2,0,0,0,The Republic of Djibouti,吉布提
363,65,53,12,308,53,20200414,2,0,0,0,The Republic of Djibouti,吉布提
435,72,71,18,362,54,20200415,2,0,0,0,The Republic of Djibouti,吉布提
591,156,73,2,516,154,20200416,2,0,0,0,The Republic of Djibouti,吉布提
732,141,76,3,654,138,20200417,2,0,0,0,The Republic of Djibouti,吉布提
732,0,76,0,654,0,20200418,2,0,0,0,The Republic of Djibouti,吉布提
846,114,102,26,742,88,20200419,2,0,0,0,The Republic of Djibouti,吉布提
846,0,102,0,742,0,20200420,2,0,0,0,The Republic of Djibouti,吉布提
945,99,112,10,831,89,20200421,2,0,0,0,The Republic of Djibouti,吉布提
974,29,183,71,789,-42,20200422,2,0,0,0,The Republic of Djibouti,吉布提
986,12,252,69,732,-57,20200423,2,0,0,0,The Republic of Djibouti,吉布提
999,13,330,78,667,-65,20200424,2,0,0,0,The Republic of Djibouti,吉布提
1008,9,373,43,633,-34,20200425,2,0,0,0,The Republic of Djibouti,吉布提
1023,15,411,38,610,-23,20200426,2,0,0,0,The Republic of Djibouti,吉布提
1023,0,411,0,610,0,20200427,2,0,0,0,The Republic of Djibouti,吉布提
1072,49,498,87,572,-38,20200428,2,0,0,0,The Republic of Djibouti,吉布提
1077,5,599,101,476,-96,20200429,2,0,0,0,The Republic of Djibouti,吉布提
1089,12,642,43,445,-31,20200430,2,0,0,0,The Republic of Djibouti,吉布提
1097,8,672,30,423,-22,20200501,2,0,0,0,The Republic of Djibouti,吉布提
1112,15,686,14,424,1,20200502,2,0,0,0,The Republic of Djibouti,吉布提
1112,0,686,0,424,0,20200503,2,0,0,0,The Republic of Djibouti,吉布提
1114,2,713,27,399,-25,20200504,2,0,0,0,The Republic of Djibouti,吉布提
1116,2,713,0,401,2,20200505,2,0,0,0,The Republic of Djibouti,吉布提
1124,8,755,42,366,-35,20200506,3,1,0,0,The Republic of Djibouti,吉布提
1133,9,799,44,331,-35,20200507,3,0,0,0,The Republic of Djibouti,吉布提
1133,0,799,0,331,0,20200508,3,0,0,0,The Republic of Djibouti,吉布提
1189,56,834,35,352,21,20200509,3,0,0,0,The Republic of Djibouti,吉布提
1210,21,847,13,360,8,20200510,3,0,0,0,The Republic of Djibouti,吉布提
1227,17,872,25,352,-8,20200511,3,0,0,0,The Republic of Djibouti,吉布提
1256,29,886,14,367,15,20200512,3,0,0,0,The Republic of Djibouti,吉布提
1268,12,886,0,379,12,20200513,3,0,0,0,The Republic of Djibouti,吉布提
1268,0,886,0,379,0,20200514,3,0,0,0,The Republic of Djibouti,吉布提
1309,41,935,49,370,-9,20200515,4,1,0,0,The Republic of Djibouti,吉布提
1331,22,935,0,392,22,20200516,4,0,0,0,The Republic of Djibouti,吉布提
1401,70,935,0,462,70,20200517,4,0,0,0,The Republic of Djibouti,吉布提
1518,117,935,0,576,114,20200518,7,3,0,0,The Republic of Djibouti,吉布提
1618,100,935,0,676,100,20200519,7,0,0,0,The Republic of Djibouti,吉布提
1828,210,1052,117,767,91,20200520,9,2,0,0,The Republic of Djibouti,吉布提
2047,219,1052,0,985,218,20200521,10,1,0,0,The Republic of Djibouti,吉布提
2047,0,1052,0,985,0,20200522,10,0,0,0,The Republic of Djibouti,吉布提
2270,223,1052,0,1208,223,20200523,10,0,0,0,The Republic of Djibouti,吉布提
2270,0,1052,0,1208,0,20200524,10,0,0,0,The Republic of Djibouti,吉布提
2468,198,1079,27,1375,167,20200525,14,4,0,0,The Republic of Djibouti,吉布提
2468,0,1079,0,1375,0,20200526,14,0,0,0,The Republic of Djibouti,吉布提
2468,0,1079,0,1375,0,20200527,14,0,0,0,The Republic of Djibouti,吉布提
2914,446,1241,162,1653,278,20200528,20,6,0,0,The Republic of Djibouti,吉布提
2914,0,1241,0,1653,0,20200529,20,0,0,0,The Republic of Djibouti,吉布提
3194,280,1286,45,1886,233,20200530,22,2,0,0,The Republic of Djibouti,吉布提
3354,160,1504,218,1826,-60,20200531,24,2,0,0,The Republic of Djibouti,吉布提
3569,215,1521,17,2024,198,20200601,24,0,0,0,The Republic of Djibouti,吉布提
3779,210,1607,86,2147,123,20200602,25,1,0,0,The Republic of Djibouti,吉布提
