confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr,countryFullName,countryName
1,1,0,0,1,1,20200319,0,0,0,0,The Republic of El Salvador,萨尔瓦多
1,0,0,0,1,0,20200320,0,0,0,0,The Republic of El Salvador,萨尔瓦多
1,0,0,0,1,0,20200321,0,0,0,0,The Republic of El Salvador,萨尔瓦多
1,0,0,0,1,0,20200322,0,0,0,0,The Republic of El Salvador,萨尔瓦多
1,0,0,0,1,0,20200323,0,0,0,0,The Republic of El Salvador,萨尔瓦多
3,2,0,0,3,2,20200324,0,0,0,0,The Republic of El Salvador,萨尔瓦多
5,2,0,0,5,2,20200325,0,0,0,0,The Republic of El Salvador,萨尔瓦多
13,8,0,0,13,8,20200326,0,0,0,0,The Republic of El Salvador,萨尔瓦多
13,0,0,0,13,0,20200327,0,0,0,0,The Republic of El Salvador,萨尔瓦多
13,0,0,0,13,0,20200328,0,0,0,0,The Republic of El Salvador,萨尔瓦多
19,6,0,0,19,6,20200329,0,0,0,0,The Republic of El Salvador,萨尔瓦多
24,5,0,0,24,5,20200330,0,0,0,0,The Republic of El Salvador,萨尔瓦多
30,6,0,0,30,6,20200331,0,0,0,0,The Republic of El Salvador,萨尔瓦多
30,0,0,0,30,0,20200401,0,0,0,0,The Republic of El Salvador,萨尔瓦多
32,2,0,0,31,1,20200402,1,1,0,0,The Republic of El Salvador,萨尔瓦多
41,9,0,0,39,8,20200403,2,1,0,0,The Republic of El Salvador,萨尔瓦多
46,5,0,0,44,5,20200404,2,0,0,0,The Republic of El Salvador,萨尔瓦多
56,10,0,0,53,9,20200405,3,1,0,0,The Republic of El Salvador,萨尔瓦多
62,6,0,0,59,6,20200406,3,0,0,0,The Republic of El Salvador,萨尔瓦多
69,7,0,0,66,7,20200407,3,0,0,0,The Republic of El Salvador,萨尔瓦多
78,9,0,0,74,8,20200408,4,1,0,0,The Republic of El Salvador,萨尔瓦多
93,15,0,0,88,14,20200409,5,1,0,0,The Republic of El Salvador,萨尔瓦多
103,10,0,0,98,10,20200410,5,0,0,0,The Republic of El Salvador,萨尔瓦多
117,14,0,0,111,13,20200411,6,1,0,0,The Republic of El Salvador,萨尔瓦多
118,1,0,0,112,1,20200412,6,0,0,0,The Republic of El Salvador,萨尔瓦多
125,7,0,0,119,7,20200413,6,0,0,0,The Republic of El Salvador,萨尔瓦多
137,12,0,0,131,12,20200414,6,0,0,0,The Republic of El Salvador,萨尔瓦多
149,12,0,0,143,12,20200415,6,0,0,0,The Republic of El Salvador,萨尔瓦多
159,10,0,0,153,10,20200416,6,0,0,0,The Republic of El Salvador,萨尔瓦多
164,5,0,0,158,5,20200417,6,0,0,0,The Republic of El Salvador,萨尔瓦多
177,13,0,0,170,12,20200418,7,1,0,0,The Republic of El Salvador,萨尔瓦多
190,13,0,0,183,13,20200419,7,0,0,0,The Republic of El Salvador,萨尔瓦多
201,11,0,0,194,11,20200420,7,0,0,0,The Republic of El Salvador,萨尔瓦多
218,17,0,0,211,17,20200421,7,0,0,0,The Republic of El Salvador,萨尔瓦多
225,7,0,0,218,7,20200422,7,0,0,0,The Republic of El Salvador,萨尔瓦多
237,12,0,0,230,12,20200423,7,0,0,0,The Republic of El Salvador,萨尔瓦多
250,13,0,0,242,12,20200424,8,1,0,0,The Republic of El Salvador,萨尔瓦多
261,11,0,0,253,11,20200425,8,0,0,0,The Republic of El Salvador,萨尔瓦多
274,13,0,0,266,13,20200426,8,0,0,0,The Republic of El Salvador,萨尔瓦多
298,24,0,0,290,24,20200427,8,0,0,0,The Republic of El Salvador,萨尔瓦多
323,25,0,0,315,25,20200428,8,0,0,0,The Republic of El Salvador,萨尔瓦多
345,22,0,0,337,22,20200429,8,0,0,0,The Republic of El Salvador,萨尔瓦多
