confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr,countryFullName,countryName
2,2,0,0,2,2,20200322,0,0,0,0,The Republic of Haiti,海地
2,0,0,0,2,0,20200323,0,0,0,0,The Republic of Haiti,海地
6,4,0,0,6,4,20200324,0,0,0,0,The Republic of Haiti,海地
7,1,0,0,7,1,20200325,0,0,0,0,The Republic of Haiti,海地
8,1,0,0,8,1,20200326,0,0,0,0,The Republic of Haiti,海地
8,0,0,0,8,0,20200327,0,0,0,0,The Republic of Haiti,海地
8,0,0,0,8,0,20200328,0,0,0,0,The Republic of Haiti,海地
8,0,0,0,8,0,20200329,0,0,0,0,The Republic of Haiti,海地
15,7,0,0,15,7,20200330,0,0,0,0,The Republic of Haiti,海地
15,0,0,0,15,0,20200331,0,0,0,0,The Republic of Haiti,海地
15,0,0,0,15,0,20200401,0,0,0,0,The Republic of Haiti,海地
16,1,0,0,16,1,20200402,0,0,0,0,The Republic of Haiti,海地
16,0,0,0,16,0,20200403,0,0,0,0,The Republic of Haiti,海地
18,2,0,0,18,2,20200404,0,0,0,0,The Republic of Haiti,海地
18,0,0,0,18,0,20200405,0,0,0,0,The Republic of Haiti,海地
21,3,0,0,21,3,20200406,0,0,0,0,The Republic of Haiti,海地
24,3,0,0,23,2,20200407,1,1,0,0,The Republic of Haiti,海地
25,1,0,0,24,1,20200408,1,0,0,0,The Republic of Haiti,海地
27,2,0,0,26,2,20200409,1,0,0,0,The Republic of Haiti,海地
30,3,0,0,28,2,20200410,2,1,0,0,The Republic of Haiti,海地
30,0,0,0,28,0,20200411,2,0,0,0,The Republic of Haiti,海地
31,1,0,0,29,1,20200412,2,0,0,0,The Republic of Haiti,海地
31,0,0,0,29,0,20200413,2,0,0,0,The Republic of Haiti,海地
40,9,0,0,37,8,20200414,3,1,0,0,The Republic of Haiti,海地
40,0,0,0,37,0,20200415,3,0,0,0,The Republic of Haiti,海地
41,1,0,0,38,1,20200416,3,0,0,0,The Republic of Haiti,海地
41,0,0,0,38,0,20200417,3,0,0,0,The Republic of Haiti,海地
43,2,0,0,40,2,20200418,3,0,0,0,The Republic of Haiti,海地
44,1,0,0,41,1,20200419,3,0,0,0,The Republic of Haiti,海地
44,0,0,0,41,0,20200420,3,0,0,0,The Republic of Haiti,海地
47,3,0,0,44,3,20200421,3,0,0,0,The Republic of Haiti,海地
57,10,0,0,54,10,20200422,3,0,0,0,The Republic of Haiti,海地
58,1,0,0,54,0,20200423,4,1,0,0,The Republic of Haiti,海地
62,4,0,0,58,4,20200424,4,0,0,0,The Republic of Haiti,海地
72,10,0,0,67,9,20200425,5,1,0,0,The Republic of Haiti,海地
72,0,0,0,66,-1,20200426,6,1,0,0,The Republic of Haiti,海地
72,0,0,0,66,0,20200427,6,0,0,0,The Republic of Haiti,海地
74,2,0,0,68,2,20200428,6,0,0,0,The Republic of Haiti,海地
76,2,0,0,70,2,20200429,6,0,0,0,The Republic of Haiti,海地
