confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr,countryFullName,countryName
2,2,0,0,2,2,20200319,0,0,0,0,The Republic of Zambia,赞比亚共和国
2,0,0,0,2,0,20200320,0,0,0,0,The Republic of Zambia,赞比亚共和国
2,0,0,0,2,0,20200321,0,0,0,0,The Republic of Zambia,赞比亚共和国
3,1,0,0,3,1,20200322,0,0,0,0,The Republic of Zambia,赞比亚共和国
3,0,0,0,3,0,20200323,0,0,0,0,The Republic of Zambia,赞比亚共和国
3,0,0,0,3,0,20200324,0,0,0,0,The Republic of Zambia,赞比亚共和国
12,9,0,0,12,9,20200325,0,0,0,0,The Republic of Zambia,赞比亚共和国
16,4,0,0,16,4,20200326,0,0,0,0,The Republic of Zambia,赞比亚共和国
22,6,0,0,22,6,20200327,0,0,0,0,The Republic of Zambia,赞比亚共和国
28,6,0,0,28,6,20200328,0,0,0,0,The Republic of Zambia,赞比亚共和国
29,1,0,0,29,1,20200329,0,0,0,0,The Republic of Zambia,赞比亚共和国
35,6,0,0,35,6,20200330,0,0,0,0,The Republic of Zambia,赞比亚共和国
36,1,0,0,36,1,20200331,0,0,0,0,The Republic of Zambia,赞比亚共和国
36,0,0,0,36,0,20200401,0,0,0,0,The Republic of Zambia,赞比亚共和国
39,3,0,0,38,2,20200402,1,1,0,0,The Republic of Zambia,赞比亚共和国
39,0,2,2,36,-2,20200403,1,0,0,0,The Republic of Zambia,赞比亚共和国
39,0,2,0,36,0,20200404,1,0,0,0,The Republic of Zambia,赞比亚共和国
39,0,3,1,35,-1,20200405,1,0,0,0,The Republic of Zambia,赞比亚共和国
39,0,5,2,33,-2,20200406,1,0,0,0,The Republic of Zambia,赞比亚共和国
39,0,7,2,31,-2,20200407,1,0,0,0,The Republic of Zambia,赞比亚共和国
39,0,7,0,31,0,20200408,1,0,0,0,The Republic of Zambia,赞比亚共和国
