confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr,countryFullName,countryName
2,2,0,0,2,2,20200201,0,0,0,0,The United Kingdom,英国
2,0,0,0,2,0,20200202,0,0,0,0,The United Kingdom,英国
2,0,0,0,2,0,20200203,0,0,0,0,The United Kingdom,英国
2,0,0,0,2,0,20200204,0,0,0,0,The United Kingdom,英国
2,0,0,0,2,0,20200205,0,0,0,0,The United Kingdom,英国
2,0,0,0,2,0,20200206,0,0,0,0,The United Kingdom,英国
3,1,0,0,3,1,20200207,0,0,0,0,The United Kingdom,英国
3,0,0,0,3,0,20200208,0,0,0,0,The United Kingdom,英国
3,0,0,0,3,0,20200209,0,0,0,0,The United Kingdom,英国
4,1,0,0,4,1,20200210,0,0,0,0,The United Kingdom,英国
8,4,0,0,8,4,20200211,0,0,0,0,The United Kingdom,英国
8,0,0,0,8,0,20200212,0,0,0,0,The United Kingdom,英国
9,1,0,0,9,1,20200213,0,0,0,0,The United Kingdom,英国
9,0,0,0,9,0,20200214,0,0,0,0,The United Kingdom,英国
9,0,0,0,9,0,20200215,0,0,0,0,The United Kingdom,英国
9,0,0,0,9,0,20200216,0,0,0,0,The United Kingdom,英国
9,0,0,0,9,0,20200217,0,0,0,0,The United Kingdom,英国
9,0,0,0,9,0,20200218,0,0,0,0,The United Kingdom,英国
9,0,0,0,9,0,20200219,0,0,0,0,The United Kingdom,英国
9,0,0,0,9,0,20200220,0,0,0,0,The United Kingdom,英国
9,0,0,0,9,0,20200221,0,0,0,0,The United Kingdom,英国
9,0,0,0,9,0,20200222,0,0,0,0,The United Kingdom,英国
9,0,0,0,9,0,20200223,0,0,0,0,The United Kingdom,英国
9,0,0,0,9,0,20200224,0,0,0,0,The United Kingdom,英国
13,4,0,0,13,4,20200225,0,0,0,0,The United Kingdom,英国
13,0,0,0,13,0,20200226,0,0,0,0,The United Kingdom,英国
13,0,0,0,13,0,20200227,0,0,0,0,The United Kingdom,英国
16,3,0,0,16,3,20200228,0,0,0,0,The United Kingdom,英国
20,4,0,0,20,4,20200229,0,0,0,0,The United Kingdom,英国
23,3,0,0,23,3,20200301,0,0,0,0,The United Kingdom,英国
36,13,0,0,36,13,20200302,0,0,0,0,The United Kingdom,英国
39,3,0,0,39,3,20200303,0,0,0,0,The United Kingdom,英国
51,12,0,0,51,12,20200304,0,0,0,0,The United Kingdom,英国
89,38,0,0,89,38,20200305,0,0,0,0,The United Kingdom,英国
118,29,0,0,118,29,20200306,0,0,0,0,The United Kingdom,英国
167,49,0,0,166,48,20200307,1,1,0,0,The United Kingdom,英国
210,43,0,0,208,42,20200308,2,1,0,0,The United Kingdom,英国
277,67,0,0,275,67,20200309,2,0,0,0,The United Kingdom,英国
323,46,0,0,320,45,20200310,3,1,0,0,The United Kingdom,英国
373,50,0,0,367,47,20200311,6,3,0,0,The United Kingdom,英国
460,87,0,0,454,87,20200312,6,0,0,0,The United Kingdom,英国
594,134,0,0,586,132,20200313,8,2,0,0,The United Kingdom,英国
802,208,0,0,792,206,20200314,10,2,0,0,The United Kingdom,英国
1144,342,18,18,1105,313,20200315,21,11,0,0,The United Kingdom,英国
1395,251,18,0,1342,237,20200316,35,14,0,0,The United Kingdom,英国
1547,152,18,0,1474,132,20200317,55,20,0,0,The United Kingdom,英国
