confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr,countryFullName,countryName
1,1,0,0,1,1,20200307,0,0,0,0,Togo,多哥
1,0,0,0,1,0,20200308,0,0,0,0,Togo,多哥
1,0,0,0,1,0,20200309,0,0,0,0,Togo,多哥
1,0,0,0,1,0,20200310,0,0,0,0,Togo,多哥
1,0,0,0,1,0,20200311,0,0,0,0,Togo,多哥
1,0,0,0,1,0,20200312,0,0,0,0,Togo,多哥
1,0,0,0,1,0,20200313,0,0,0,0,Togo,多哥
1,0,0,0,1,0,20200314,0,0,0,0,Togo,多哥
1,0,0,0,1,0,20200315,0,0,0,0,Togo,多哥
1,0,0,0,1,0,20200316,0,0,0,0,Togo,多哥
1,0,0,0,1,0,20200317,0,0,0,0,Togo,多哥
1,0,0,0,1,0,20200318,0,0,0,0,Togo,多哥
9,8,0,0,9,8,20200319,0,0,0,0,Togo,多哥
9,0,1,1,8,-1,20200320,0,0,0,0,Togo,多哥
16,7,1,0,15,7,20200321,0,0,0,0,Togo,多哥
16,0,1,0,15,0,20200322,0,0,0,0,Togo,多哥
16,0,1,0,15,0,20200323,0,0,0,0,Togo,多哥
18,2,1,0,17,2,20200324,0,0,0,0,Togo,多哥
20,2,1,0,19,2,20200325,0,0,0,0,Togo,多哥
23,3,1,0,22,3,20200326,0,0,0,0,Togo,多哥
24,1,1,0,23,1,20200327,0,0,0,0,Togo,多哥
25,1,1,0,23,0,20200328,1,1,0,0,Togo,多哥
30,5,7,6,22,-1,20200329,1,0,0,0,Togo,多哥
34,4,10,3,23,1,20200330,1,0,0,0,Togo,多哥
34,0,10,0,23,0,20200331,1,0,0,0,Togo,多哥
36,2,10,0,24,1,20200401,2,1,0,0,Togo,多哥
39,3,17,7,20,-4,20200402,2,0,0,0,Togo,多哥
40,1,17,0,21,1,20200403,2,0,0,0,Togo,多哥
41,1,18,1,20,-1,20200404,3,1,0,0,Togo,多哥
44,3,20,2,21,1,20200405,3,0,0,0,Togo,多哥
52,8,22,2,27,6,20200406,3,0,0,0,Togo,多哥
65,13,23,1,39,12,20200407,3,0,0,0,Togo,多哥
70,5,23,0,44,5,20200408,3,0,0,0,Togo,多哥
73,3,24,1,46,2,20200409,3,0,0,0,Togo,多哥
76,3,25,1,48,2,20200410,3,0,0,0,Togo,多哥
76,0,25,0,48,0,20200411,3,0,0,0,Togo,多哥
76,0,25,0,48,0,20200412,3,0,0,0,Togo,多哥
77,1,29,4,45,-3,20200413,3,0,0,0,Togo,多哥
77,0,29,0,45,0,20200414,3,0,0,0,Togo,多哥
81,4,35,6,43,-2,20200415,3,0,0,0,Togo,多哥
81,0,35,0,43,0,20200416,3,0,0,0,Togo,多哥
83,2,48,13,30,-13,20200417,5,2,0,0,Togo,多哥
