confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr,countryFullName,countryName
1,1,0,0,1,1,20200314,0,0,0,0,Trinidad & Tobago,特立尼达和多巴哥
1,0,0,0,1,0,20200315,0,0,0,0,Trinidad & Tobago,特立尼达和多巴哥
2,1,0,0,2,1,20200316,0,0,0,0,Trinidad & Tobago,特立尼达和多巴哥
5,3,0,0,5,3,20200317,0,0,0,0,Trinidad & Tobago,特立尼达和多巴哥
5,0,0,0,5,0,20200318,0,0,0,0,Trinidad & Tobago,特立尼达和多巴哥
5,0,0,0,5,0,20200319,0,0,0,0,Trinidad & Tobago,特立尼达和多巴哥
9,4,0,0,9,4,20200320,0,0,0,0,Trinidad & Tobago,特立尼达和多巴哥
9,0,0,0,9,0,20200321,0,0,0,0,Trinidad & Tobago,特立尼达和多巴哥
9,0,0,0,9,0,20200322,0,0,0,0,Trinidad & Tobago,特立尼达和多巴哥
50,41,0,0,50,41,20200323,0,0,0,0,Trinidad & Tobago,特立尼达和多巴哥
51,1,0,0,51,1,20200324,0,0,0,0,Trinidad & Tobago,特立尼达和多巴哥
57,6,0,0,57,6,20200325,0,0,0,0,Trinidad & Tobago,特立尼达和多巴哥
60,3,0,0,59,2,20200326,1,1,0,0,Trinidad & Tobago,特立尼达和多巴哥
61,1,0,0,60,1,20200327,1,0,0,0,Trinidad & Tobago,特立尼达和多巴哥
66,5,0,0,64,4,20200328,2,1,0,0,Trinidad & Tobago,特立尼达和多巴哥
74,8,0,0,72,8,20200329,2,0,0,0,Trinidad & Tobago,特立尼达和多巴哥
76,2,0,0,73,1,20200330,3,1,0,0,Trinidad & Tobago,特立尼达和多巴哥
82,6,0,0,79,6,20200331,3,0,0,0,Trinidad & Tobago,特立尼达和多巴哥
85,3,0,0,82,3,20200401,3,0,0,0,Trinidad & Tobago,特立尼达和多巴哥
89,4,0,0,84,2,20200402,5,2,0,0,Trinidad & Tobago,特立尼达和多巴哥
90,1,0,0,85,1,20200403,5,0,0,0,Trinidad & Tobago,特立尼达和多巴哥
97,7,0,0,91,6,20200404,6,1,0,0,Trinidad & Tobago,特立尼达和多巴哥
100,3,0,0,94,3,20200405,6,0,0,0,Trinidad & Tobago,特立尼达和多巴哥
103,3,0,0,97,3,20200406,6,0,0,0,Trinidad & Tobago,特立尼达和多巴哥
105,2,0,0,97,0,20200407,8,2,0,0,Trinidad & Tobago,特立尼达和多巴哥
106,1,0,0,98,1,20200408,8,0,0,0,Trinidad & Tobago,特立尼达和多巴哥
107,1,0,0,99,1,20200409,8,0,0,0,Trinidad & Tobago,特立尼达和多巴哥
109,2,0,0,101,2,20200410,8,0,0,0,Trinidad & Tobago,特立尼达和多巴哥
109,0,0,0,101,0,20200411,8,0,0,0,Trinidad & Tobago,特立尼达和多巴哥
109,0,0,0,101,0,20200412,8,0,0,0,Trinidad & Tobago,特立尼达和多巴哥
112,3,0,0,104,3,20200413,8,0,0,0,Trinidad & Tobago,特立尼达和多巴哥
113,1,0,0,105,1,20200414,8,0,0,0,Trinidad & Tobago,特立尼达和多巴哥
