confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr,countryFullName,countryName
1,1,0,0,1,1,20200303,0,0,0,0,Tunisia,突尼斯
1,0,0,0,1,0,20200304,0,0,0,0,Tunisia,突尼斯
1,0,0,0,1,0,20200305,0,0,0,0,Tunisia,突尼斯
1,0,0,0,1,0,20200306,0,0,0,0,Tunisia,突尼斯
1,0,0,0,1,0,20200307,0,0,0,0,Tunisia,突尼斯
1,0,0,0,1,0,20200308,0,0,0,0,Tunisia,突尼斯
2,1,0,0,2,1,20200309,0,0,0,0,Tunisia,突尼斯
2,0,0,0,2,0,20200310,0,0,0,0,Tunisia,突尼斯
6,4,0,0,6,4,20200311,0,0,0,0,Tunisia,突尼斯
6,0,0,0,6,0,20200312,0,0,0,0,Tunisia,突尼斯
7,1,0,0,7,1,20200313,0,0,0,0,Tunisia,突尼斯
16,9,0,0,16,9,20200314,0,0,0,0,Tunisia,突尼斯
16,0,0,0,16,0,20200315,0,0,0,0,Tunisia,突尼斯
18,2,0,0,18,2,20200316,0,0,0,0,Tunisia,突尼斯
20,2,0,0,20,2,20200317,0,0,0,0,Tunisia,突尼斯
24,4,0,0,24,4,20200318,0,0,0,0,Tunisia,突尼斯
39,15,0,0,39,15,20200319,0,0,0,0,Tunisia,突尼斯
54,15,0,0,54,15,20200320,0,0,0,0,Tunisia,突尼斯
60,6,0,0,59,5,20200321,1,1,0,0,Tunisia,突尼斯
75,15,0,0,72,13,20200322,3,2,0,0,Tunisia,突尼斯
89,14,0,0,86,14,20200323,3,0,0,0,Tunisia,突尼斯
114,25,0,0,111,25,20200324,3,0,0,0,Tunisia,突尼斯
173,59,0,0,168,57,20200325,5,2,0,0,Tunisia,突尼斯
197,24,0,0,192,24,20200326,5,0,0,0,Tunisia,突尼斯
227,30,0,0,221,29,20200327,6,1,0,0,Tunisia,突尼斯
227,0,0,0,221,0,20200328,6,0,0,0,Tunisia,突尼斯
312,85,0,0,304,83,20200329,8,2,0,0,Tunisia,突尼斯
362,50,0,0,352,48,20200330,10,2,0,0,Tunisia,突尼斯
394,32,0,0,384,32,20200331,10,0,0,0,Tunisia,突尼斯
423,29,0,0,411,27,20200401,12,2,0,0,Tunisia,突尼斯
