confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr,countryFullName,countryName
1,1,0,0,1,1,20200312,0,0,0,0,Turkey,土耳其
1,0,0,0,1,0,20200313,0,0,0,0,Turkey,土耳其
5,4,0,0,5,4,20200314,0,0,0,0,Turkey,土耳其
5,0,0,0,5,0,20200315,0,0,0,0,Turkey,土耳其
5,0,0,0,5,0,20200316,0,0,0,0,Turkey,土耳其
47,42,0,0,47,42,20200317,0,0,0,0,Turkey,土耳其
47,0,0,0,47,0,20200318,0,0,0,0,Turkey,土耳其
359,312,0,0,355,308,20200319,4,4,0,0,Turkey,土耳其
670,311,0,0,661,306,20200320,9,5,0,0,Turkey,土耳其
947,277,0,0,926,265,20200321,21,12,0,0,Turkey,土耳其
1236,289,0,0,1206,280,20200322,30,9,0,0,Turkey,土耳其
1529,293,0,0,1492,286,20200323,37,7,0,0,Turkey,土耳其
1872,343,0,0,1828,336,20200324,44,7,0,0,Turkey,土耳其
2433,561,0,0,2374,546,20200325,59,15,0,0,Turkey,土耳其
3629,1196,26,26,3528,1154,20200326,75,16,0,0,Turkey,土耳其
5698,2069,42,16,5564,2036,20200327,92,17,0,0,Turkey,土耳其
7402,1704,70,28,7224,1660,20200328,108,16,0,0,Turkey,土耳其
9217,1815,105,35,8981,1757,20200329,131,23,0,0,Turkey,土耳其
9271,54,105,0,9035,54,20200330,131,0,0,0,Turkey,土耳其
13531,4260,243,138,13074,4039,20200331,214,83,0,0,Turkey,土耳其
15679,2148,333,90,15069,1995,20200401,277,63,0,0,Turkey,土耳其
18135,2456,415,82,17364,2295,20200402,356,79,0,0,Turkey,土耳其
20921,2786,484,69,20012,2648,20200403,425,69,0,0,Turkey,土耳其
23934,3013,786,302,22647,2635,20200404,501,76,0,0,Turkey,土耳其
27069,3135,1042,256,25453,2806,20200405,574,73,0,0,Turkey,土耳其
30217,3148,1326,284,28242,2789,20200406,649,75,0,0,Turkey,土耳其
34109,3892,1582,256,31802,3560,20200407,725,76,0,0,Turkey,土耳其
38226,4117,1846,264,35568,3766,20200408,812,87,0,0,Turkey,土耳其
42282,4056,2142,296,39232,3664,20200409,908,96,0,0,Turkey,土耳其
47029,4747,2423,281,43600,4368,20200410,1006,98,0,0,Turkey,土耳其
52167,5138,2965,542,48101,4501,20200411,1101,95,0,0,Turkey,土耳其
56956,4789,3446,481,52312,4211,20200412,1198,97,0,0,Turkey,土耳其
61049,4093,3957,511,55796,3484,20200413,1296,98,0,0,Turkey,土耳其
65111,4062,4799,842,58909,3113,20200414,1403,107,0,0,Turkey,土耳其
69392,4281,5674,875,62200,3291,20200415,1518,115,0,0,Turkey,土耳其
74193,4801,7089,1415,65461,3261,20200416,1643,125,0,0,Turkey,土耳其
