confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr,countryFullName,countryName
1,1,0,0,1,1,20200321,0,0,0,0,Uganda,乌干达
1,0,0,0,1,0,20200322,0,0,0,0,Uganda,乌干达
9,8,0,0,9,8,20200323,0,0,0,0,Uganda,乌干达
9,0,0,0,9,0,20200324,0,0,0,0,Uganda,乌干达
14,5,0,0,14,5,20200325,0,0,0,0,Uganda,乌干达
14,0,0,0,14,0,20200326,0,0,0,0,Uganda,乌干达
23,9,0,0,23,9,20200327,0,0,0,0,Uganda,乌干达
30,7,0,0,30,7,20200328,0,0,0,0,Uganda,乌干达
33,3,0,0,33,3,20200329,0,0,0,0,Uganda,乌干达
33,0,0,0,33,0,20200330,0,0,0,0,Uganda,乌干达
44,11,0,0,44,11,20200331,0,0,0,0,Uganda,乌干达
44,0,0,0,44,0,20200401,0,0,0,0,Uganda,乌干达
45,1,0,0,45,1,20200402,0,0,0,0,Uganda,乌干达
48,3,0,0,48,3,20200403,0,0,0,0,Uganda,乌干达
48,0,0,0,48,0,20200404,0,0,0,0,Uganda,乌干达
52,4,0,0,52,4,20200405,0,0,0,0,Uganda,乌干达
52,0,0,0,52,0,20200406,0,0,0,0,Uganda,乌干达
52,0,0,0,52,0,20200407,0,0,0,0,Uganda,乌干达
52,0,0,0,52,0,20200408,0,0,0,0,Uganda,乌干达
53,1,0,0,53,1,20200409,0,0,0,0,Uganda,乌干达
53,0,0,0,53,0,20200410,0,0,0,0,Uganda,乌干达
53,0,18,18,35,-18,20200411,0,0,0,0,Uganda,乌干达
54,1,18,0,36,1,20200412,0,0,0,0,Uganda,乌干达
54,0,18,0,36,0,20200413,0,0,0,0,Uganda,乌干达
55,1,18,0,37,1,20200414,0,0,0,0,Uganda,乌干达
55,0,18,0,37,0,20200415,0,0,0,0,Uganda,乌干达
55,0,20,2,35,-2,20200416,0,0,0,0,Uganda,乌干达
55,0,20,0,35,0,20200417,0,0,0,0,Uganda,乌干达
55,0,20,0,35,0,20200418,0,0,0,0,Uganda,乌干达
55,0,28,8,27,-8,20200419,0,0,0,0,Uganda,乌干达
55,0,28,0,27,0,20200420,0,0,0,0,Uganda,乌干达
58,3,28,0,30,3,20200421,0,0,0,0,Uganda,乌干达
63,5,28,0,35,5,20200422,0,0,0,0,Uganda,乌干达
74,11,28,0,46,11,20200423,0,0,0,0,Uganda,乌干达
75,1,28,0,47,1,20200424,0,0,0,0,Uganda,乌干达
75,0,46,18,29,-18,20200425,0,0,0,0,Uganda,乌干达
75,0,46,0,29,0,20200426,0,0,0,0,Uganda,乌干达
79,4,46,0,33,4,20200427,0,0,0,0,Uganda,乌干达
79,0,46,0,33,0,20200428,0,0,0,0,Uganda,乌干达
79,0,46,0,33,0,20200429,0,0,0,0,Uganda,乌干达
83,4,46,0,37,4,20200430,0,0,0,0,Uganda,乌干达
85,2,46,0,39,2,20200501,0,0,0,0,Uganda,乌干达
85,0,46,0,39,0,20200502,0,0,0,0,Uganda,乌干达
85,0,46,0,39,0,20200503,0,0,0,0,Uganda,乌干达
88,3,46,0,42,3,20200504,0,0,0,0,Uganda,乌干达
89,1,46,0,43,1,20200505,0,0,0,0,Uganda,乌干达
98,9,55,9,43,0,20200506,0,0,0,0,Uganda,乌干达
100,2,55,0,45,2,20200507,0,0,0,0,Uganda,乌干达
101,1,55,0,46,1,20200508,0,0,0,0,Uganda,乌干达
101,0,55,0,46,0,20200509,0,0,0,0,Uganda,乌干达
116,15,55,0,61,15,20200510,0,0,0,0,Uganda,乌干达
121,5,55,0,66,5,20200511,0,0,0,0,Uganda,乌干达
122,1,55,0,67,1,20200512,0,0,0,0,Uganda,乌干达
126,4,55,0,71,4,20200513,0,0,0,0,Uganda,乌干达
139,13,55,0,84,13,20200514,0,0,0,0,Uganda,乌干达
160,21,63,8,97,13,20200515,0,0,0,0,Uganda,乌干达
203,43,63,0,140,43,20200516,0,0,0,0,Uganda,乌干达
227,24,63,0,164,24,20200517,0,0,0,0,Uganda,乌干达
248,21,63,0,185,21,20200518,0,0,0,0,Uganda,乌干达
260,12,63,0,197,12,20200519,0,0,0,0,Uganda,乌干达
260,0,63,0,197,0,20200520,0,0,0,0,Uganda,乌干达
264,4,63,0,201,4,20200521,0,0,0,0,Uganda,乌干达
264,0,63,0,201,0,20200522,0,0,0,0,Uganda,乌干达
274,10,63,0,211,10,20200523,0,0,0,0,Uganda,乌干达
312,38,63,0,249,38,20200524,0,0,0,0,Uganda,乌干达
312,0,63,0,249,0,20200525,0,0,0,0,Uganda,乌干达
312,0,63,0,249,0,20200526,0,0,0,0,Uganda,乌干达
341,29,63,0,278,29,20200527,0,0,0,0,Uganda,乌干达
351,10,63,0,288,10,20200528,0,0,0,0,Uganda,乌干达
410,59,63,0,347,59,20200529,0,0,0,0,Uganda,乌干达
410,0,63,0,347,0,20200530,0,0,0,0,Uganda,乌干达
446,36,63,0,383,36,20200531,0,0,0,0,Uganda,乌干达
458,12,63,0,395,12,20200601,0,0,0,0,Uganda,乌干达
489,31,79,16,410,15,20200602,0,0,0,0,Uganda,乌干达
586,97,79,0,507,97,20200603,0,0,0,0,Uganda,乌干达
636,50,79,0,557,50,20200604,0,0,0,0,Uganda,乌干达
651,15,79,0,572,15,20200605,0,0,0,0,Uganda,乌干达
686,35,79,0,607,35,20200606,0,0,0,0,Uganda,乌干达
722,36,79,0,643,36,20200607,0,0,0,0,Uganda,乌干达
745,23,79,0,666,23,20200608,0,0,0,0,Uganda,乌干达
775,30,79,0,696,30,20200609,0,0,0,0,Uganda,乌干达
775,0,79,0,696,0,20200610,0,0,0,0,Uganda,乌干达
794,19,79,0,715,19,20200611,0,0,0,0,Uganda,乌干达
808,14,79,0,729,14,20200612,0,0,0,0,Uganda,乌干达
808,0,79,0,729,0,20200613,0,0,0,0,Uganda,乌干达
823,15,79,0,744,15,20200614,0,0,0,0,Uganda,乌干达
823,0,79,0,744,0,20200615,0,0,0,0,Uganda,乌干达
823,0,79,0,744,0,20200616,0,0,0,0,Uganda,乌干达
823,0,79,0,744,0,20200617,0,0,0,0,Uganda,乌干达
823,0,79,0,744,0,20200618,0,0,0,0,Uganda,乌干达
823,0,79,0,744,0,20200619,0,0,0,0,Uganda,乌干达
823,0,79,0,744,0,20200620,0,0,0,0,Uganda,乌干达
823,0,79,0,744,0,20200621,0,0,0,0,Uganda,乌干达
823,0,79,0,744,0,20200622,0,0,0,0,Uganda,乌干达
823,0,79,0,744,0,20200623,0,0,0,0,Uganda,乌干达
823,0,79,0,744,0,20200624,0,0,0,0,Uganda,乌干达
823,0,79,0,744,0,20200625,0,0,0,0,Uganda,乌干达
823,0,79,0,744,0,20200626,0,0,0,0,Uganda,乌干达
833,10,79,0,754,10,20200627,0,0,0,0,Uganda,乌干达
833,0,79,0,754,0,20200628,0,0,0,0,Uganda,乌干达
833,0,79,0,754,0,20200629,0,0,0,0,Uganda,乌干达
870,37,79,0,791,37,20200630,0,0,0,0,Uganda,乌干达
889,19,79,0,810,19,20200701,0,0,0,0,Uganda,乌干达
893,4,79,0,814,4,20200702,0,0,0,0,Uganda,乌干达
902,9,79,0,823,9,20200703,0,0,0,0,Uganda,乌干达
911,9,79,0,832,9,20200704,0,0,0,0,Uganda,乌干达
927,16,79,0,848,16,20200705,0,0,0,0,Uganda,乌干达
939,12,79,0,860,12,20200706,0,0,0,0,Uganda,乌干达
953,14,79,0,874,14,20200707,0,0,0,0,Uganda,乌干达
971,18,79,0,892,18,20200708,0,0,0,0,Uganda,乌干达
