confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr,countryFullName,countryName
1,1,0,0,1,1,20200304,0,0,0,0,Ukraine,乌克兰
1,0,0,0,1,0,20200305,0,0,0,0,Ukraine,乌克兰
1,0,0,0,1,0,20200306,0,0,0,0,Ukraine,乌克兰
1,0,0,0,1,0,20200307,0,0,0,0,Ukraine,乌克兰
1,0,0,0,1,0,20200308,0,0,0,0,Ukraine,乌克兰
1,0,0,0,1,0,20200309,0,0,0,0,Ukraine,乌克兰
1,0,0,0,1,0,20200310,0,0,0,0,Ukraine,乌克兰
1,0,0,0,1,0,20200311,0,0,0,0,Ukraine,乌克兰
1,0,0,0,1,0,20200312,0,0,0,0,Ukraine,乌克兰
3,2,0,0,3,2,20200313,0,0,0,0,Ukraine,乌克兰
3,0,0,0,2,-1,20200314,1,1,0,0,Ukraine,乌克兰
3,0,0,0,2,0,20200315,1,0,0,0,Ukraine,乌克兰
3,0,0,0,2,0,20200316,1,0,0,0,Ukraine,乌克兰
7,4,0,0,6,4,20200317,1,0,0,0,Ukraine,乌克兰
14,7,0,0,12,6,20200318,2,1,0,0,Ukraine,乌克兰
21,7,0,0,19,7,20200319,2,0,0,0,Ukraine,乌克兰
29,8,0,0,26,7,20200320,3,1,0,0,Ukraine,乌克兰
47,18,0,0,44,18,20200321,3,0,0,0,Ukraine,乌克兰
47,0,0,0,44,0,20200322,3,0,0,0,Ukraine,乌克兰
73,26,1,1,69,25,20200323,3,0,0,0,Ukraine,乌克兰
97,24,1,0,93,24,20200324,3,0,0,0,Ukraine,乌克兰
145,48,1,0,139,46,20200325,5,2,0,0,Ukraine,乌克兰
156,11,1,0,150,11,20200326,5,0,0,0,Ukraine,乌克兰
218,62,1,0,212,62,20200327,5,0,0,0,Ukraine,乌克兰
356,138,5,4,342,130,20200328,9,4,0,0,Ukraine,乌克兰
475,119,6,1,459,117,20200329,10,1,0,0,Ukraine,乌克兰
548,73,8,2,527,68,20200330,13,3,0,0,Ukraine,乌克兰
645,97,10,2,618,91,20200331,17,4,0,0,Ukraine,乌克兰
794,149,13,3,761,143,20200401,20,3,0,0,Ukraine,乌克兰
897,103,19,6,856,95,20200402,22,2,0,0,Ukraine,乌克兰
1072,175,19,0,1030,174,20200403,23,1,0,0,Ukraine,乌克兰
1225,153,25,6,1168,138,20200404,32,9,0,0,Ukraine,乌克兰
1308,83,28,3,1243,75,20200405,37,5,0,0,Ukraine,乌克兰
1319,11,28,0,1253,10,20200406,38,1,0,0,Ukraine,乌克兰
1462,143,28,0,1389,136,20200407,45,7,0,0,Ukraine,乌克兰
1668,206,35,7,1581,192,20200408,52,7,0,0,Ukraine,乌克兰
1892,224,35,0,1800,219,20200409,57,5,0,0,Ukraine,乌克兰
2203,311,35,0,2099,299,20200410,69,12,0,0,Ukraine,乌克兰
2511,308,35,0,2403,304,20200411,73,4,0,0,Ukraine,乌克兰
2777,266,89,54,2605,202,20200412,83,10,0,0,Ukraine,乌克兰
3102,325,97,8,2912,307,20200413,93,10,0,0,Ukraine,乌克兰
3372,270,119,22,3155,243,20200414,98,5,0,0,Ukraine,乌克兰
3764,392,143,24,3513,358,20200415,108,10,0,0,Ukraine,乌克兰
4162,398,186,43,3860,347,20200416,116,8,0,0,Ukraine,乌克兰
4662,500,246,60,4291,431,20200417,125,9,0,0,Ukraine,乌克兰
5106,444,275,29,4698,407,20200418,133,8,0,0,Ukraine,乌克兰
5449,343,347,72,4961,263,20200419,141,8,0,0,Ukraine,乌克兰
5710,261,359,12,5200,239,20200420,151,10,0,0,Ukraine,乌克兰
6125,415,367,8,5597,397,20200421,161,10,0,0,Ukraine,乌克兰
6592,467,467,100,5951,354,20200422,174,13,0,0,Ukraine,乌克兰
7170,578,504,37,6479,528,20200423,187,13,0,0,Ukraine,乌克兰
7647,477,601,97,6853,374,20200424,193,6,0,0,Ukraine,乌克兰
8125,478,782,181,7142,289,20200425,201,8,0,0,Ukraine,乌克兰
8617,492,782,0,7626,484,20200426,209,8,0,0,Ukraine,乌克兰
9009,392,864,82,7925,299,20200427,220,11,0,0,Ukraine,乌克兰
9410,401,992,128,8179,254,20200428,239,19,0,0,Ukraine,乌克兰
9866,456,1103,111,8513,334,20200429,250,11,0,0,Ukraine,乌克兰
10406,540,1238,135,8907,394,20200430,261,11,0,0,Ukraine,乌克兰
