confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr,countryFullName,countryName
1,1,0,0,1,1,20200430,0,0,0,0,Union des Comores,科摩罗
1,0,0,0,1,0,20200501,0,0,0,0,Union des Comores,科摩罗
1,0,0,0,1,0,20200502,0,0,0,0,Union des Comores,科摩罗
3,2,0,0,3,2,20200503,0,0,0,0,Union des Comores,科摩罗
3,0,0,0,3,0,20200504,0,0,0,0,Union des Comores,科摩罗
4,1,0,0,3,0,20200505,1,1,0,0,Union des Comores,科摩罗
4,0,0,0,3,0,20200506,1,0,0,0,Union des Comores,科摩罗
8,4,0,0,7,4,20200507,1,0,0,0,Union des Comores,科摩罗
8,0,0,0,7,0,20200508,1,0,0,0,Union des Comores,科摩罗
8,0,0,0,7,0,20200509,1,0,0,0,Union des Comores,科摩罗
11,3,0,0,10,3,20200510,1,0,0,0,Union des Comores,科摩罗
11,0,0,0,10,0,20200511,1,0,0,0,Union des Comores,科摩罗
11,0,0,0,10,0,20200512,1,0,0,0,Union des Comores,科摩罗
11,0,0,0,10,0,20200513,1,0,0,0,Union des Comores,科摩罗
11,0,0,0,10,0,20200514,1,0,0,0,Union des Comores,科摩罗
11,0,0,0,10,0,20200515,1,0,0,0,Union des Comores,科摩罗
11,0,0,0,10,0,20200516,1,0,0,0,Union des Comores,科摩罗
11,0,0,0,10,0,20200517,1,0,0,0,Union des Comores,科摩罗
11,0,0,0,10,0,20200518,1,0,0,0,Union des Comores,科摩罗
11,0,0,0,10,0,20200519,1,0,0,0,Union des Comores,科摩罗
34,23,0,0,33,23,20200520,1,0,0,0,Union des Comores,科摩罗
34,0,0,0,33,0,20200521,1,0,0,0,Union des Comores,科摩罗
34,0,0,0,33,0,20200522,1,0,0,0,Union des Comores,科摩罗
34,0,0,0,33,0,20200523,1,0,0,0,Union des Comores,科摩罗
34,0,0,0,33,0,20200524,1,0,0,0,Union des Comores,科摩罗
43,9,0,0,42,9,20200525,1,0,0,0,Union des Comores,科摩罗
43,0,0,0,42,0,20200526,1,0,0,0,Union des Comores,科摩罗
43,0,0,0,42,0,20200527,1,0,0,0,Union des Comores,科摩罗
43,0,0,0,41,-1,20200528,2,1,0,0,Union des Comores,科摩罗
43,0,0,0,41,0,20200529,2,0,0,0,Union des Comores,科摩罗
43,0,0,0,41,0,20200530,2,0,0,0,Union des Comores,科摩罗
43,0,0,0,41,0,20200531,2,0,0,0,Union des Comores,科摩罗
62,19,0,0,60,19,20200601,2,0,0,0,Union des Comores,科摩罗
62,0,0,0,60,0,20200602,2,0,0,0,Union des Comores,科摩罗
62,0,0,0,60,0,20200603,2,0,0,0,Union des Comores,科摩罗
62,0,0,0,60,0,20200604,2,0,0,0,Union des Comores,科摩罗
62,0,0,0,60,0,20200605,2,0,0,0,Union des Comores,科摩罗
62,0,0,0,60,0,20200606,2,0,0,0,Union des Comores,科摩罗
97,35,0,0,95,35,20200607,2,0,0,0,Union des Comores,科摩罗
97,0,0,0,95,0,20200608,2,0,0,0,Union des Comores,科摩罗
97,0,0,0,95,0,20200609,2,0,0,0,Union des Comores,科摩罗
97,0,0,0,95,0,20200610,2,0,0,0,Union des Comores,科摩罗
162,65,0,0,160,65,20200611,2,0,0,0,Union des Comores,科摩罗
162,0,0,0,160,0,20200612,2,0,0,0,Union des Comores,科摩罗
163,1,0,0,161,1,20200613,2,0,0,0,Union des Comores,科摩罗
176,13,0,0,174,13,20200614,2,0,0,0,Union des Comores,科摩罗
176,0,0,0,174,0,20200615,2,0,0,0,Union des Comores,科摩罗
176,0,0,0,174,0,20200616,2,0,0,0,Union des Comores,科摩罗
176,0,0,0,174,0,20200617,2,0,0,0,Union des Comores,科摩罗
197,21,0,0,194,20,20200618,3,1,0,0,Union des Comores,科摩罗
210,13,0,0,205,11,20200619,5,2,0,0,Union des Comores,科摩罗
210,0,0,0,205,0,20200620,5,0,0,0,Union des Comores,科摩罗
247,37,0,0,242,37,20200621,5,0,0,0,Union des Comores,科摩罗
247,0,0,0,242,0,20200622,5,0,0,0,Union des Comores,科摩罗
247,0,0,0,242,0,20200623,5,0,0,0,Union des Comores,科摩罗
265,18,0,0,258,16,20200624,7,2,0,0,Union des Comores,科摩罗
265,0,0,0,258,0,20200625,7,0,0,0,Union des Comores,科摩罗
272,7,0,0,265,7,20200626,7,0,0,0,Union des Comores,科摩罗
272,0,0,0,265,0,20200627,7,0,0,0,Union des Comores,科摩罗
272,0,0,0,265,0,20200628,7,0,0,0,Union des Comores,科摩罗
293,21,0,0,286,21,20200629,7,0,0,0,Union des Comores,科摩罗
293,0,0,0,286,0,20200630,7,0,0,0,Union des Comores,科摩罗
303,10,0,0,296,10,20200701,7,0,0,0,Union des Comores,科摩罗
303,0,0,0,296,0,20200702,7,0,0,0,Union des Comores,科摩罗
303,0,0,0,296,0,20200703,7,0,0,0,Union des Comores,科摩罗
309,6,0,0,302,6,20200704,7,0,0,0,Union des Comores,科摩罗
309,0,0,0,302,0,20200705,7,0,0,0,Union des Comores,科摩罗
311,2,0,0,304,2,20200706,7,0,0,0,Union des Comores,科摩罗
311,0,0,0,304,0,20200707,7,0,0,0,Union des Comores,科摩罗
313,2,0,0,306,2,20200708,7,0,0,0,Union des Comores,科摩罗
