confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr,countryFullName,countryName
4,4,0,0,4,4,20200129,0,0,0,0,United Arab Emirates,阿联酋
4,0,0,0,4,0,20200130,0,0,0,0,United Arab Emirates,阿联酋
4,0,0,0,4,0,20200131,0,0,0,0,United Arab Emirates,阿联酋
4,0,0,0,4,0,20200201,0,0,0,0,United Arab Emirates,阿联酋
5,1,0,0,5,1,20200202,0,0,0,0,United Arab Emirates,阿联酋
5,0,0,0,5,0,20200203,0,0,0,0,United Arab Emirates,阿联酋
5,0,0,0,5,0,20200204,0,0,0,0,United Arab Emirates,阿联酋
5,0,0,0,5,0,20200205,0,0,0,0,United Arab Emirates,阿联酋
5,0,0,0,5,0,20200206,0,0,0,0,United Arab Emirates,阿联酋
5,0,0,0,5,0,20200207,0,0,0,0,United Arab Emirates,阿联酋
7,2,0,0,7,2,20200208,0,0,0,0,United Arab Emirates,阿联酋
7,0,0,0,7,0,20200209,0,0,0,0,United Arab Emirates,阿联酋
7,0,0,0,7,0,20200210,0,0,0,0,United Arab Emirates,阿联酋
8,1,0,0,8,1,20200211,0,0,0,0,United Arab Emirates,阿联酋
8,0,0,0,8,0,20200212,0,0,0,0,United Arab Emirates,阿联酋
8,0,0,0,8,0,20200213,0,0,0,0,United Arab Emirates,阿联酋
8,0,0,0,8,0,20200214,0,0,0,0,United Arab Emirates,阿联酋
8,0,0,0,8,0,20200215,0,0,0,0,United Arab Emirates,阿联酋
8,0,0,0,8,0,20200216,0,0,0,0,United Arab Emirates,阿联酋
9,1,0,0,9,1,20200217,0,0,0,0,United Arab Emirates,阿联酋
9,0,0,0,9,0,20200218,0,0,0,0,United Arab Emirates,阿联酋
9,0,0,0,9,0,20200219,0,0,0,0,United Arab Emirates,阿联酋
9,0,0,0,9,0,20200220,0,0,0,0,United Arab Emirates,阿联酋
9,0,0,0,9,0,20200221,0,0,0,0,United Arab Emirates,阿联酋
11,2,0,0,11,2,20200222,0,0,0,0,United Arab Emirates,阿联酋
13,2,0,0,13,2,20200223,0,0,0,0,United Arab Emirates,阿联酋
13,0,0,0,13,0,20200224,0,0,0,0,United Arab Emirates,阿联酋
13,0,0,0,13,0,20200225,0,0,0,0,United Arab Emirates,阿联酋
13,0,0,0,13,0,20200226,0,0,0,0,United Arab Emirates,阿联酋
13,0,0,0,13,0,20200227,0,0,0,0,United Arab Emirates,阿联酋
19,6,0,0,19,6,20200228,0,0,0,0,United Arab Emirates,阿联酋
19,0,0,0,19,0,20200229,0,0,0,0,United Arab Emirates,阿联酋
19,0,0,0,19,0,20200301,0,0,0,0,United Arab Emirates,阿联酋
21,2,0,0,21,2,20200302,0,0,0,0,United Arab Emirates,阿联酋
21,0,0,0,21,0,20200303,0,0,0,0,United Arab Emirates,阿联酋
27,6,0,0,27,6,20200304,0,0,0,0,United Arab Emirates,阿联酋
27,0,0,0,27,0,20200305,0,0,0,0,United Arab Emirates,阿联酋
27,0,0,0,27,0,20200306,0,0,0,0,United Arab Emirates,阿联酋
