confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr,countryFullName,countryName
2,2,0,0,2,2,20200317,0,0,0,0,United States Virgin Islands,美属维尔京群岛
2,0,0,0,2,0,20200318,0,0,0,0,United States Virgin Islands,美属维尔京群岛
2,0,0,0,2,0,20200319,0,0,0,0,United States Virgin Islands,美属维尔京群岛
3,1,0,0,3,1,20200320,0,0,0,0,United States Virgin Islands,美属维尔京群岛
3,0,0,0,3,0,20200321,0,0,0,0,United States Virgin Islands,美属维尔京群岛
6,3,0,0,6,3,20200322,0,0,0,0,United States Virgin Islands,美属维尔京群岛
6,0,0,0,6,0,20200323,0,0,0,0,United States Virgin Islands,美属维尔京群岛
17,11,0,0,17,11,20200324,0,0,0,0,United States Virgin Islands,美属维尔京群岛
17,0,0,0,17,0,20200325,0,0,0,0,United States Virgin Islands,美属维尔京群岛
17,0,0,0,17,0,20200326,0,0,0,0,United States Virgin Islands,美属维尔京群岛
17,0,0,0,17,0,20200327,0,0,0,0,United States Virgin Islands,美属维尔京群岛
17,0,0,0,17,0,20200328,0,0,0,0,United States Virgin Islands,美属维尔京群岛
17,0,0,0,17,0,20200329,0,0,0,0,United States Virgin Islands,美属维尔京群岛
22,5,0,0,22,5,20200330,0,0,0,0,United States Virgin Islands,美属维尔京群岛
30,8,0,0,30,8,20200331,0,0,0,0,United States Virgin Islands,美属维尔京群岛
30,0,0,0,30,0,20200401,0,0,0,0,United States Virgin Islands,美属维尔京群岛
30,0,0,0,30,0,20200402,0,0,0,0,United States Virgin Islands,美属维尔京群岛
33,3,0,0,33,3,20200403,0,0,0,0,United States Virgin Islands,美属维尔京群岛
37,4,0,0,37,4,20200404,0,0,0,0,United States Virgin Islands,美属维尔京群岛
40,3,0,0,40,3,20200405,0,0,0,0,United States Virgin Islands,美属维尔京群岛
42,2,0,0,42,2,20200406,0,0,0,0,United States Virgin Islands,美属维尔京群岛
43,1,0,0,42,0,20200407,1,1,0,0,United States Virgin Islands,美属维尔京群岛
43,0,0,0,42,0,20200408,1,0,0,0,United States Virgin Islands,美属维尔京群岛
45,2,0,0,44,2,20200409,1,0,0,0,United States Virgin Islands,美属维尔京群岛
46,1,0,0,45,1,20200410,1,0,0,0,United States Virgin Islands,美属维尔京群岛
50,4,0,0,49,4,20200411,1,0,0,0,United States Virgin Islands,美属维尔京群岛
53,3,0,0,52,3,20200412,1,0,0,0,United States Virgin Islands,美属维尔京群岛
53,0,0,0,52,0,20200413,1,0,0,0,United States Virgin Islands,美属维尔京群岛
53,0,0,0,52,0,20200414,1,0,0,0,United States Virgin Islands,美属维尔京群岛
53,0,0,0,52,0,20200415,1,0,0,0,United States Virgin Islands,美属维尔京群岛
53,0,0,0,52,0,20200416,1,0,0,0,United States Virgin Islands,美属维尔京群岛
53,0,0,0,52,0,20200417,1,0,0,0,United States Virgin Islands,美属维尔京群岛
53,0,0,0,51,-1,20200418,2,1,0,0,United States Virgin Islands,美属维尔京群岛
53,0,0,0,50,-1,20200419,3,1,0,0,United States Virgin Islands,美属维尔京群岛
53,0,0,0,50,0,20200420,3,0,0,0,United States Virgin Islands,美属维尔京群岛
53,0,0,0,50,0,20200421,3,0,0,0,United States Virgin Islands,美属维尔京群岛
54,1,0,0,51,1,20200422,3,0,0,0,United States Virgin Islands,美属维尔京群岛
54,0,0,0,51,0,20200423,3,0,0,0,United States Virgin Islands,美属维尔京群岛
54,0,0,0,51,0,20200424,3,0,0,0,United States Virgin Islands,美属维尔京群岛
54,0,0,0,51,0,20200425,3,0,0,0,United States Virgin Islands,美属维尔京群岛
55,1,0,0,52,1,20200426,3,0,0,0,United States Virgin Islands,美属维尔京群岛
55,0,0,0,52,0,20200427,3,0,0,0,United States Virgin Islands,美属维尔京群岛
59,4,0,0,55,3,20200428,4,1,0,0,United States Virgin Islands,美属维尔京群岛
59,0,0,0,55,0,20200429,4,0,0,0,United States Virgin Islands,美属维尔京群岛
62,3,0,0,58,3,20200430,4,0,0,0,United States Virgin Islands,美属维尔京群岛
66,4,0,0,62,4,20200501,4,0,0,0,United States Virgin Islands,美属维尔京群岛
66,0,0,0,62,0,20200502,4,0,0,0,United States Virgin Islands,美属维尔京群岛
66,0,0,0,62,0,20200503,4,0,0,0,United States Virgin Islands,美属维尔京群岛
