confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr,countryFullName,countryName
1,1,0,0,1,1,20200123,0,0,0,0,United States of America,美国
1,0,0,0,1,0,20200124,0,0,0,0,United States of America,美国
2,1,0,0,2,1,20200125,0,0,0,0,United States of America,美国
2,0,0,0,2,0,20200126,0,0,0,0,United States of America,美国
5,3,0,0,5,3,20200127,0,0,0,0,United States of America,美国
5,0,0,0,5,0,20200128,0,0,0,0,United States of America,美国
5,0,0,0,5,0,20200129,0,0,0,0,United States of America,美国
5,0,0,0,5,0,20200130,0,0,0,0,United States of America,美国
6,1,0,0,6,1,20200131,0,0,0,0,United States of America,美国
7,1,0,0,7,1,20200201,0,0,0,0,United States of America,美国
8,1,0,0,8,1,20200202,0,0,0,0,United States of America,美国
11,3,0,0,11,3,20200203,0,0,0,0,United States of America,美国
11,0,0,0,11,0,20200204,0,0,0,0,United States of America,美国
11,0,0,0,11,0,20200205,0,0,0,0,United States of America,美国
12,1,0,0,12,1,20200206,0,0,0,0,United States of America,美国
12,0,0,0,12,0,20200207,0,0,0,0,United States of America,美国
12,0,0,0,12,0,20200208,0,0,0,0,United States of America,美国
12,0,0,0,12,0,20200209,0,0,0,0,United States of America,美国
12,0,0,0,12,0,20200210,0,0,0,0,United States of America,美国
13,1,0,0,13,1,20200211,0,0,0,0,United States of America,美国
13,0,0,0,13,0,20200212,0,0,0,0,United States of America,美国
14,1,0,0,14,1,20200213,0,0,0,0,United States of America,美国
15,1,0,0,15,1,20200214,0,0,0,0,United States of America,美国
15,0,0,0,15,0,20200215,0,0,0,0,United States of America,美国
15,0,0,0,15,0,20200216,0,0,0,0,United States of America,美国
15,0,0,0,15,0,20200217,0,0,0,0,United States of America,美国
15,0,0,0,15,0,20200218,0,0,0,0,United States of America,美国
15,0,0,0,15,0,20200219,0,0,0,0,United States of America,美国
15,0,0,0,15,0,20200220,0,0,0,0,United States of America,美国
15,0,0,0,15,0,20200221,0,0,0,0,United States of America,美国
35,20,0,0,35,20,20200222,0,0,0,0,United States of America,美国
35,0,0,0,35,0,20200223,0,0,0,0,United States of America,美国
35,0,0,0,35,0,20200224,0,0,0,0,United States of America,美国
53,18,0,0,53,18,20200225,0,0,0,0,United States of America,美国
53,0,0,0,53,0,20200226,0,0,0,0,United States of America,美国
59,6,0,0,59,6,20200227,0,0,0,0,United States of America,美国
59,0,0,0,59,0,20200228,0,0,0,0,United States of America,美国
62,3,0,0,62,3,20200229,0,0,0,0,United States of America,美国
62,0,0,0,62,0,20200301,0,0,0,0,United States of America,美国
62,0,0,0,62,0,20200302,0,0,0,0,United States of America,美国
64,2,0,0,62,0,20200303,2,2,0,0,United States of America,美国
108,44,0,0,102,40,20200304,6,4,0,0,United States of America,美国
129,21,0,0,120,18,20200305,9,3,0,0,United States of America,美国
148,19,0,0,138,18,20200306,10,1,0,0,United States of America,美国
213,65,0,0,202,64,20200307,11,1,0,0,United States of America,美国
213,0,0,0,202,0,20200308,11,0,0,0,United States of America,美国
213,0,0,0,202,0,20200309,11,0,0,0,United States of America,美国
472,259,0,0,453,251,20200310,19,8,0,0,United States of America,美国
696,224,0,0,671,218,20200311,25,6,0,0,United States of America,美国
987,291,0,0,958,287,20200312,29,4,0,0,United States of America,美国
1264,277,0,0,1228,270,20200313,36,7,0,0,United States of America,美国
2033,769,0,0,1986,758,20200314,47,11,0,0,United States of America,美国
2655,622,10,10,2589,603,20200315,56,9,0,0,United States of America,美国
3244,589,10,0,3172,583,20200316,62,6,0,0,United States of America,美国
4629,1385,48,38,4491,1319,20200317,90,28,0,0,United States of America,美国
6331,1702,74,26,6152,1661,20200318,105,15,0,0,United States of America,美国
13842,7511,121,47,13513,7361,20200319,208,103,0,0,United States of America,美国
19101,5259,121,0,18736,5223,20200320,244,36,0,0,United States of America,美国
25493,6392,171,50,25021,6285,20200321,301,57,0,0,United States of America,美国
33073,7580,178,7,32486,7465,20200322,409,108,0,0,United States of America,美国
43214,10141,178,0,42503,10017,20200323,533,124,0,0,United States of America,美国
53588,10374,333,155,52552,10049,20200324,703,170,0,0,United States of America,美国
65778,12190,361,28,64475,11923,20200325,942,239,0,0,United States of America,美国
83507,17729,680,319,81626,17151,20200326,1201,259,0,0,United States of America,美国
101657,18150,869,189,99207,17581,20200327,1581,380,0,0,United States of America,美国
121117,19460,991,122,118116,18909,20200328,2010,429,0,0,United States of America,美国
140886,19769,2665,1674,135754,17638,20200329,2467,457,0,0,United States of America,美国
160020,19134,4865,2200,152202,16448,20200330,2953,486,0,0,United States of America,美国
186265,26245,6910,2045,175545,23343,20200331,3810,857,0,0,United States of America,美国
213372,27107,8434,1524,200181,24636,20200401,4757,947,0,0,United States of America,美国
242182,28810,8991,557,227341,27160,20200402,5850,1093,0,0,United States of America,美国
276995,34813,9772,781,259817,32476,20200403,7406,1556,0,0,United States of America,美国
308850,31855,14652,4880,285791,25974,20200404,8407,1001,0,0,United States of America,美国
335524,26674,17266,2614,308696,22905,20200405,9562,1155,0,0,United States of America,美国
362759,27235,17582,316,334488,25792,20200406,10689,1127,0,0,United States of America,美国
