confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr,countryFullName,countryName
4,4,0,0,4,4,20200316,0,0,0,0,Uruguay,乌拉圭
6,2,0,0,6,2,20200317,0,0,0,0,Uruguay,乌拉圭
6,0,0,0,6,0,20200318,0,0,0,0,Uruguay,乌拉圭
79,73,0,0,79,73,20200319,0,0,0,0,Uruguay,乌拉圭
110,31,0,0,110,31,20200320,0,0,0,0,Uruguay,乌拉圭
110,0,0,0,110,0,20200321,0,0,0,0,Uruguay,乌拉圭
135,25,0,0,135,25,20200322,0,0,0,0,Uruguay,乌拉圭
158,23,0,0,158,23,20200323,0,0,0,0,Uruguay,乌拉圭
162,4,0,0,162,4,20200324,0,0,0,0,Uruguay,乌拉圭
189,27,0,0,189,27,20200325,0,0,0,0,Uruguay,乌拉圭
217,28,6,6,211,22,20200326,0,0,0,0,Uruguay,乌拉圭
238,21,6,0,232,21,20200327,0,0,0,0,Uruguay,乌拉圭
238,0,6,0,232,0,20200328,0,0,0,0,Uruguay,乌拉圭
274,36,6,0,268,36,20200329,0,0,0,0,Uruguay,乌拉圭
309,35,6,0,302,34,20200330,1,1,0,0,Uruguay,乌拉圭
338,29,41,35,296,-6,20200331,1,0,0,0,Uruguay,乌拉圭
338,0,41,0,296,0,20200401,1,0,0,0,Uruguay,乌拉圭
338,0,41,0,295,-1,20200402,2,1,0,0,Uruguay,乌拉圭
386,48,68,27,314,19,20200403,4,2,0,0,Uruguay,乌拉圭
386,0,68,0,314,0,20200404,4,0,0,0,Uruguay,乌拉圭
386,0,68,0,314,0,20200405,4,0,0,0,Uruguay,乌拉圭
400,14,68,0,327,13,20200406,5,1,0,0,Uruguay,乌拉圭
415,15,123,55,286,-41,20200407,6,1,0,0,Uruguay,乌拉圭
456,41,192,69,257,-29,20200408,7,1,0,0,Uruguay,乌拉圭
456,0,192,0,257,0,20200409,7,0,0,0,Uruguay,乌拉圭
465,9,214,22,230,-27,20200410,21,14,0,0,Uruguay,乌拉圭
473,8,214,0,238,8,20200411,21,0,0,0,Uruguay,乌拉圭
512,39,231,17,260,22,20200412,21,0,0,0,Uruguay,乌拉圭
512,0,231,0,260,0,20200413,21,0,0,0,Uruguay,乌拉圭
512,0,231,0,260,0,20200414,21,0,0,0,Uruguay,乌拉圭
512,0,231,0,260,0,20200415,21,0,0,0,Uruguay,乌拉圭
502,-10,286,55,207,-53,20200416,9,-12,0,0,Uruguay,乌拉圭
508,6,286,0,213,6,20200417,9,0,0,0,Uruguay,乌拉圭
517,9,298,12,210,-3,20200418,9,0,0,0,Uruguay,乌拉圭
517,0,298,0,210,0,20200419,9,0,0,0,Uruguay,乌拉圭
528,11,298,0,220,10,20200420,10,1,0,0,Uruguay,乌拉圭
543,15,324,26,207,-13,20200421,12,2,0,0,Uruguay,乌拉圭
543,0,324,0,207,0,20200422,12,0,0,0,Uruguay,乌拉圭
549,6,337,13,200,-7,20200423,12,0,0,0,Uruguay,乌拉圭
563,14,369,32,182,-18,20200424,12,0,0,0,Uruguay,乌拉圭
563,0,369,0,182,0,20200425,12,0,0,0,Uruguay,乌拉圭
563,0,369,0,182,0,20200426,12,0,0,0,Uruguay,乌拉圭
606,43,365,-4,226,44,20200427,15,3,0,0,Uruguay,乌拉圭
620,14,386,21,219,-7,20200428,15,0,0,0,Uruguay,乌拉圭
625,5,394,8,216,-3,20200429,15,0,0,0,Uruguay,乌拉圭
630,5,411,17,204,-12,20200430,15,0,0,0,Uruguay,乌拉圭
643,13,417,6,209,5,20200501,17,2,0,0,Uruguay,乌拉圭
648,5,435,18,196,-13,20200502,17,0,0,0,Uruguay,乌拉圭
648,0,435,0,196,0,20200503,17,0,0,0,Uruguay,乌拉圭
665,17,442,7,206,10,20200504,17,0,0,0,Uruguay,乌拉圭
670,5,468,26,185,-21,20200505,17,0,0,0,Uruguay,乌拉圭
670,0,468,0,185,0,20200506,17,0,0,0,Uruguay,乌拉圭
684,14,492,24,175,-10,20200507,17,0,0,0,Uruguay,乌拉圭
684,0,492,0,175,0,20200508,17,0,0,0,Uruguay,乌拉圭
684,0,492,0,175,0,20200509,17,0,0,0,Uruguay,乌拉圭
694,10,492,0,185,10,20200510,17,0,0,0,Uruguay,乌拉圭
702,8,492,0,193,8,20200511,17,0,0,0,Uruguay,乌拉圭
707,5,492,0,196,3,20200512,19,2,0,0,Uruguay,乌拉圭
711,4,492,0,200,4,20200513,19,0,0,0,Uruguay,乌拉圭
717,6,492,0,206,6,20200514,19,0,0,0,Uruguay,乌拉圭
719,2,492,0,208,2,20200515,19,0,0,0,Uruguay,乌拉圭
724,5,492,0,213,5,20200516,19,0,0,0,Uruguay,乌拉圭
732,8,492,0,221,8,20200517,19,0,0,0,Uruguay,乌拉圭
734,2,492,0,223,2,20200518,19,0,0,0,Uruguay,乌拉圭
734,0,492,0,222,-1,20200519,20,1,0,0,Uruguay,乌拉圭
737,3,492,0,225,3,20200520,20,0,0,0,Uruguay,乌拉圭
738,1,492,0,226,1,20200521,20,0,0,0,Uruguay,乌拉圭
746,8,492,0,234,8,20200522,20,0,0,0,Uruguay,乌拉圭
753,7,603,111,130,-104,20200523,20,0,0,0,Uruguay,乌拉圭
753,0,603,0,130,0,20200524,20,0,0,0,Uruguay,乌拉圭
764,11,603,0,139,9,20200525,22,2,0,0,Uruguay,乌拉圭
769,5,603,0,144,5,20200526,22,0,0,0,Uruguay,乌拉圭
787,18,603,0,162,18,20200527,22,0,0,0,Uruguay,乌拉圭
789,2,603,0,164,2,20200528,22,0,0,0,Uruguay,乌拉圭
811,22,654,51,135,-29,20200529,22,0,0,0,Uruguay,乌拉圭
811,0,654,0,135,0,20200530,22,0,0,0,Uruguay,乌拉圭
816,5,654,0,140,5,20200531,22,0,0,0,Uruguay,乌拉圭
821,5,654,0,145,5,20200601,22,0,0,0,Uruguay,乌拉圭
823,2,654,0,147,2,20200602,22,0,0,0,Uruguay,乌拉圭
828,5,698,44,107,-40,20200603,23,1,0,0,Uruguay,乌拉圭
828,0,698,0,107,0,20200604,23,0,0,0,Uruguay,乌拉圭
828,0,698,0,107,0,20200605,23,0,0,0,Uruguay,乌拉圭
832,4,698,0,111,4,20200606,23,0,0,0,Uruguay,乌拉圭
834,2,698,0,113,2,20200607,23,0,0,0,Uruguay,乌拉圭
845,11,698,0,124,11,20200608,23,0,0,0,Uruguay,乌拉圭
845,0,698,0,124,0,20200609,23,0,0,0,Uruguay,乌拉圭
845,0,698,0,124,0,20200610,23,0,0,0,Uruguay,乌拉圭
846,1,698,0,125,1,20200611,23,0,0,0,Uruguay,乌拉圭
847,1,698,0,126,1,20200612,23,0,0,0,Uruguay,乌拉圭
847,0,698,0,126,0,20200613,23,0,0,0,Uruguay,乌拉圭
847,0,698,0,126,0,20200614,23,0,0,0,Uruguay,乌拉圭
847,0,698,0,126,0,20200615,23,0,0,0,Uruguay,乌拉圭
848,1,698,0,127,1,20200616,23,0,0,0,Uruguay,乌拉圭
848,0,698,0,127,0,20200617,23,0,0,0,Uruguay,乌拉圭
849,1,698,0,127,0,20200618,24,1,0,0,Uruguay,乌拉圭
849,0,698,0,127,0,20200619,24,0,0,0,Uruguay,乌拉圭
853,4,814,116,15,-112,20200620,24,0,0,0,Uruguay,乌拉圭
853,0,814,0,15,0,20200621,24,0,0,0,Uruguay,乌拉圭
859,6,814,0,20,5,20200622,25,1,0,0,Uruguay,乌拉圭
876,17,814,0,37,17,20200623,25,0,0,0,Uruguay,乌拉圭
882,6,814,0,43,6,20200624,25,0,0,0,Uruguay,乌拉圭
885,3,814,0,46,3,20200625,25,0,0,0,Uruguay,乌拉圭
902,17,814,0,62,16,20200626,26,1,0,0,Uruguay,乌拉圭
907,5,814,0,67,5,20200627,26,0,0,0,Uruguay,乌拉圭
919,12,814,0,79,12,20200628,26,0,0,0,Uruguay,乌拉圭
924,5,814,0,84,5,20200629,26,0,0,0,Uruguay,乌拉圭
929,5,814,0,88,4,20200630,27,1,0,0,Uruguay,乌拉圭
932,3,814,0,91,3,20200701,27,0,0,0,Uruguay,乌拉圭
936,4,814,0,95,4,20200702,27,0,0,0,Uruguay,乌拉圭
943,7,814,0,101,6,20200703,28,1,0,0,Uruguay,乌拉圭
947,4,814,0,105,4,20200704,28,0,0,0,Uruguay,乌拉圭
952,5,814,0,110,5,20200705,28,0,0,0,Uruguay,乌拉圭
955,3,814,0,113,3,20200706,28,0,0,0,Uruguay,乌拉圭
956,1,814,0,114,1,20200707,28,0,0,0,Uruguay,乌拉圭
960,4,814,0,117,3,20200708,29,1,0,0,Uruguay,乌拉圭
