confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr,countryFullName,countryName
4,4,0,0,4,4,20200316,0,0,0,0,Uzbekstan,乌兹别克斯坦
4,0,0,0,4,0,20200317,0,0,0,0,Uzbekstan,乌兹别克斯坦
16,12,0,0,16,12,20200318,0,0,0,0,Uzbekstan,乌兹别克斯坦
23,7,0,0,23,7,20200319,0,0,0,0,Uzbekstan,乌兹别克斯坦
33,10,0,0,33,10,20200320,0,0,0,0,Uzbekstan,乌兹别克斯坦
41,8,0,0,41,8,20200321,0,0,0,0,Uzbekstan,乌兹别克斯坦
43,2,0,0,43,2,20200322,0,0,0,0,Uzbekstan,乌兹别克斯坦
46,3,0,0,46,3,20200323,0,0,0,0,Uzbekstan,乌兹别克斯坦
50,4,0,0,50,4,20200324,0,0,0,0,Uzbekstan,乌兹别克斯坦
55,5,0,0,55,5,20200325,0,0,0,0,Uzbekstan,乌兹别克斯坦
65,10,0,0,65,10,20200326,0,0,0,0,Uzbekstan,乌兹别克斯坦
83,18,0,0,83,18,20200327,0,0,0,0,Uzbekstan,乌兹别克斯坦
104,21,0,0,102,19,20200328,2,2,0,0,Uzbekstan,乌兹别克斯坦
133,29,0,0,131,29,20200329,2,0,0,0,Uzbekstan,乌兹别克斯坦
149,16,7,7,140,9,20200330,2,0,0,0,Uzbekstan,乌兹别克斯坦
167,18,7,0,158,18,20200331,2,0,0,0,Uzbekstan,乌兹别克斯坦
173,6,7,0,164,6,20200401,2,0,0,0,Uzbekstan,乌兹别克斯坦
190,17,12,5,176,12,20200402,2,0,0,0,Uzbekstan,乌兹别克斯坦
221,31,25,13,194,18,20200403,2,0,0,0,Uzbekstan,乌兹别克斯坦
263,42,25,0,235,41,20200404,3,1,0,0,Uzbekstan,乌兹别克斯坦
298,35,25,0,270,35,20200405,3,0,0,0,Uzbekstan,乌兹别克斯坦
390,92,30,5,358,88,20200406,2,-1,0,0,Uzbekstan,乌兹别克斯坦
472,82,30,0,440,82,20200407,2,0,0,0,Uzbekstan,乌兹别克斯坦
534,62,30,0,501,61,20200408,3,1,0,0,Uzbekstan,乌兹别克斯坦
555,21,30,0,522,21,20200409,3,0,0,0,Uzbekstan,乌兹别克斯坦
624,69,30,0,591,69,20200410,3,0,0,0,Uzbekstan,乌兹别克斯坦
624,0,30,0,591,0,20200411,3,0,0,0,Uzbekstan,乌兹别克斯坦
796,172,30,0,763,172,20200412,3,0,0,0,Uzbekstan,乌兹别克斯坦
896,100,66,36,826,63,20200413,4,1,0,0,Uzbekstan,乌兹别克斯坦
1054,158,85,19,965,139,20200414,4,0,0,0,Uzbekstan,乌兹别克斯坦
1214,160,85,0,1125,160,20200415,4,0,0,0,Uzbekstan,乌兹别克斯坦
1349,135,85,0,1260,135,20200416,4,0,0,0,Uzbekstan,乌兹别克斯坦
1380,31,129,44,1247,-13,20200417,4,0,0,0,Uzbekstan,乌兹别克斯坦
1450,70,140,11,1306,59,20200418,4,0,0,0,Uzbekstan,乌兹别克斯坦
