confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr,countryFullName,countryName
2,2,0,0,2,2,20200314,0,0,0,0,Venezuela,委内瑞拉
2,0,0,0,2,0,20200315,0,0,0,0,Venezuela,委内瑞拉
2,0,0,0,2,0,20200316,0,0,0,0,Venezuela,委内瑞拉
33,31,0,0,33,31,20200317,0,0,0,0,Venezuela,委内瑞拉
33,0,0,0,33,0,20200318,0,0,0,0,Venezuela,委内瑞拉
42,9,0,0,42,9,20200319,0,0,0,0,Venezuela,委内瑞拉
42,0,0,0,42,0,20200320,0,0,0,0,Venezuela,委内瑞拉
42,0,0,0,42,0,20200321,0,0,0,0,Venezuela,委内瑞拉
70,28,0,0,70,28,20200322,0,0,0,0,Venezuela,委内瑞拉
77,7,0,0,77,7,20200323,0,0,0,0,Venezuela,委内瑞拉
84,7,0,0,84,7,20200324,0,0,0,0,Venezuela,委内瑞拉
106,22,0,0,106,22,20200325,0,0,0,0,Venezuela,委内瑞拉
107,1,0,0,107,1,20200326,0,0,0,0,Venezuela,委内瑞拉
107,0,0,0,107,0,20200327,0,0,0,0,Venezuela,委内瑞拉
107,0,0,0,106,-1,20200328,1,1,0,0,Venezuela,委内瑞拉
113,6,0,0,111,5,20200329,2,1,0,0,Venezuela,委内瑞拉
113,0,0,0,111,0,20200330,2,0,0,0,Venezuela,委内瑞拉
135,22,0,0,132,21,20200331,3,1,0,0,Venezuela,委内瑞拉
135,0,0,0,132,0,20200401,3,0,0,0,Venezuela,委内瑞拉
144,9,0,0,141,9,20200402,3,0,0,0,Venezuela,委内瑞拉
144,0,0,0,141,0,20200403,3,0,0,0,Venezuela,委内瑞拉
144,0,0,0,141,0,20200404,3,0,0,0,Venezuela,委内瑞拉
144,0,0,0,141,0,20200405,3,0,0,0,Venezuela,委内瑞拉
144,0,0,0,141,0,20200406,3,0,0,0,Venezuela,委内瑞拉
159,15,0,0,156,15,20200407,3,0,0,0,Venezuela,委内瑞拉
165,6,0,0,158,2,20200408,7,4,0,0,Venezuela,委内瑞拉
166,1,0,0,159,1,20200409,7,0,0,0,Venezuela,委内瑞拉
166,0,0,0,159,0,20200410,7,0,0,0,Venezuela,委内瑞拉
171,5,0,0,162,3,20200411,9,2,0,0,Venezuela,委内瑞拉
171,0,0,0,162,0,20200412,9,0,0,0,Venezuela,委内瑞拉
171,0,0,0,162,0,20200413,9,0,0,0,Venezuela,委内瑞拉
181,10,0,0,172,10,20200414,9,0,0,0,Venezuela,委内瑞拉
181,0,0,0,172,0,20200415,9,0,0,0,Venezuela,委内瑞拉
193,12,0,0,184,12,20200416,9,0,0,0,Venezuela,委内瑞拉
197,4,0,0,188,4,20200417,9,0,0,0,Venezuela,委内瑞拉
204,7,0,0,195,7,20200418,9,0,0,0,Venezuela,委内瑞拉
204,0,0,0,195,0,20200419,9,0,0,0,Venezuela,委内瑞拉
228,24,0,0,219,24,20200420,9,0,0,0,Venezuela,委内瑞拉
256,28,0,0,247,28,20200421,9,0,0,0,Venezuela,委内瑞拉
285,29,0,0,275,28,20200422,10,1,0,0,Venezuela,委内瑞拉
288,3,0,0,278,3,20200423,10,0,0,0,Venezuela,委内瑞拉
298,10,0,0,288,10,20200424,10,0,0,0,Venezuela,委内瑞拉
318,20,0,0,308,20,20200425,10,0,0,0,Venezuela,委内瑞拉
318,0,0,0,308,0,20200426,10,0,0,0,Venezuela,委内瑞拉
323,5,0,0,313,5,20200427,10,0,0,0,Venezuela,委内瑞拉
325,2,0,0,315,2,20200428,10,0,0,0,Venezuela,委内瑞拉
329,4,0,0,319,4,20200429,10,0,0,0,Venezuela,委内瑞拉
329,0,0,0,319,0,20200430,10,0,0,0,Venezuela,委内瑞拉
331,2,0,0,321,2,20200501,10,0,0,0,Venezuela,委内瑞拉
333,2,0,0,323,2,20200502,10,0,0,0,Venezuela,委内瑞拉
345,12,0,0,335,12,20200503,10,0,0,0,Venezuela,委内瑞拉
345,0,0,0,335,0,20200504,10,0,0,0,Venezuela,委内瑞拉
357,12,0,0,347,12,20200505,10,0,0,0,Venezuela,委内瑞拉
361,4,0,0,351,4,20200506,10,0,0,0,Venezuela,委内瑞拉
367,6,0,0,357,6,20200507,10,0,0,0,Venezuela,委内瑞拉
379,12,0,0,369,12,20200508,10,0,0,0,Venezuela,委内瑞拉
381,2,0,0,371,2,20200509,10,0,0,0,Venezuela,委内瑞拉
388,7,0,0,378,7,20200510,10,0,0,0,Venezuela,委内瑞拉
402,14,0,0,392,14,20200511,10,0,0,0,Venezuela,委内瑞拉
