confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr,countryFullName,countryName
2,2,0,0,2,2,20200124,0,0,0,0,Vietnam,越南
2,0,0,0,2,0,20200125,0,0,0,0,Vietnam,越南
2,0,0,0,2,0,20200126,0,0,0,0,Vietnam,越南
2,0,0,0,2,0,20200127,0,0,0,0,Vietnam,越南
2,0,0,0,2,0,20200128,0,0,0,0,Vietnam,越南
2,0,0,0,2,0,20200129,0,0,0,0,Vietnam,越南
2,0,0,0,2,0,20200130,0,0,0,0,Vietnam,越南
5,3,0,0,5,3,20200131,0,0,0,0,Vietnam,越南
6,1,0,0,6,1,20200201,0,0,0,0,Vietnam,越南
7,1,0,0,7,1,20200202,0,0,0,0,Vietnam,越南
8,1,0,0,8,1,20200203,0,0,0,0,Vietnam,越南
9,1,0,0,9,1,20200204,0,0,0,0,Vietnam,越南
10,1,0,0,10,1,20200205,0,0,0,0,Vietnam,越南
10,0,0,0,10,0,20200206,0,0,0,0,Vietnam,越南
12,2,0,0,12,2,20200207,0,0,0,0,Vietnam,越南
13,1,0,0,13,1,20200208,0,0,0,0,Vietnam,越南
14,1,0,0,14,1,20200209,0,0,0,0,Vietnam,越南
14,0,0,0,14,0,20200210,0,0,0,0,Vietnam,越南
15,1,0,0,15,1,20200211,0,0,0,0,Vietnam,越南
15,0,0,0,15,0,20200212,0,0,0,0,Vietnam,越南
16,1,0,0,16,1,20200213,0,0,0,0,Vietnam,越南
16,0,0,0,16,0,20200214,0,0,0,0,Vietnam,越南
16,0,0,0,16,0,20200215,0,0,0,0,Vietnam,越南
16,0,0,0,16,0,20200216,0,0,0,0,Vietnam,越南
16,0,0,0,16,0,20200217,0,0,0,0,Vietnam,越南
16,0,0,0,16,0,20200218,0,0,0,0,Vietnam,越南
16,0,0,0,16,0,20200219,0,0,0,0,Vietnam,越南
16,0,0,0,16,0,20200220,0,0,0,0,Vietnam,越南
16,0,0,0,16,0,20200221,0,0,0,0,Vietnam,越南
16,0,0,0,16,0,20200222,0,0,0,0,Vietnam,越南
16,0,0,0,16,0,20200223,0,0,0,0,Vietnam,越南
16,0,0,0,16,0,20200224,0,0,0,0,Vietnam,越南
16,0,0,0,16,0,20200225,0,0,0,0,Vietnam,越南
16,0,0,0,16,0,20200226,0,0,0,0,Vietnam,越南
16,0,0,0,16,0,20200227,0,0,0,0,Vietnam,越南
16,0,0,0,16,0,20200228,0,0,0,0,Vietnam,越南
16,0,0,0,16,0,20200229,0,0,0,0,Vietnam,越南
16,0,0,0,16,0,20200301,0,0,0,0,Vietnam,越南
16,0,0,0,16,0,20200302,0,0,0,0,Vietnam,越南
16,0,0,0,16,0,20200303,0,0,0,0,Vietnam,越南
