confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr,countryFullName,countryName
1,1,0,0,1,1,20200320,0,0,0,0,Zimbabwe,津巴布韦
2,1,0,0,2,1,20200321,0,0,0,0,Zimbabwe,津巴布韦
2,0,0,0,2,0,20200322,0,0,0,0,Zimbabwe,津巴布韦
2,0,0,0,1,-1,20200323,1,1,0,0,Zimbabwe,津巴布韦
3,1,0,0,2,1,20200324,1,0,0,0,Zimbabwe,津巴布韦
3,0,0,0,2,0,20200325,1,0,0,0,Zimbabwe,津巴布韦
5,2,0,0,4,2,20200326,1,0,0,0,Zimbabwe,津巴布韦
7,2,0,0,6,2,20200327,1,0,0,0,Zimbabwe,津巴布韦
7,0,0,0,6,0,20200328,1,0,0,0,Zimbabwe,津巴布韦
7,0,0,0,6,0,20200329,1,0,0,0,Zimbabwe,津巴布韦
8,1,0,0,7,1,20200330,1,0,0,0,Zimbabwe,津巴布韦
8,0,0,0,7,0,20200331,1,0,0,0,Zimbabwe,津巴布韦
8,0,0,0,7,0,20200401,1,0,0,0,Zimbabwe,津巴布韦
9,1,0,0,8,1,20200402,1,0,0,0,Zimbabwe,津巴布韦
9,0,0,0,8,0,20200403,1,0,0,0,Zimbabwe,津巴布韦
9,0,0,0,8,0,20200404,1,0,0,0,Zimbabwe,津巴布韦
9,0,0,0,8,0,20200405,1,0,0,0,Zimbabwe,津巴布韦
10,1,0,0,9,1,20200406,1,0,0,0,Zimbabwe,津巴布韦
11,1,0,0,9,0,20200407,2,1,0,0,Zimbabwe,津巴布韦
11,0,0,0,8,-1,20200408,3,1,0,0,Zimbabwe,津巴布韦
11,0,0,0,8,0,20200409,3,0,0,0,Zimbabwe,津巴布韦
13,2,0,0,10,2,20200410,3,0,0,0,Zimbabwe,津巴布韦
14,1,0,0,11,1,20200411,3,0,0,0,Zimbabwe,津巴布韦
14,0,0,0,11,0,20200412,3,0,0,0,Zimbabwe,津巴布韦
14,0,0,0,11,0,20200413,3,0,0,0,Zimbabwe,津巴布韦
18,4,0,0,15,4,20200414,3,0,0,0,Zimbabwe,津巴布韦
23,5,1,1,19,4,20200415,3,0,0,0,Zimbabwe,津巴布韦
24,1,2,1,19,0,20200416,3,0,0,0,Zimbabwe,津巴布韦
24,0,2,0,19,0,20200417,3,0,0,0,Zimbabwe,津巴布韦
25,1,2,0,20,1,20200418,3,0,0,0,Zimbabwe,津巴布韦
25,0,2,0,20,0,20200419,3,0,0,0,Zimbabwe,津巴布韦
25,0,2,0,20,0,20200420,3,0,0,0,Zimbabwe,津巴布韦
