confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr,countryFullName,countryName
4,4,0,0,4,4,20200305,0,0,0,0,occupied Palestinian territory,巴勒斯坦
7,3,0,0,7,3,20200306,0,0,0,0,occupied Palestinian territory,巴勒斯坦
16,9,0,0,16,9,20200307,0,0,0,0,occupied Palestinian territory,巴勒斯坦
16,0,0,0,16,0,20200308,0,0,0,0,occupied Palestinian territory,巴勒斯坦
19,3,0,0,19,3,20200309,0,0,0,0,occupied Palestinian territory,巴勒斯坦
26,7,0,0,26,7,20200310,0,0,0,0,occupied Palestinian territory,巴勒斯坦
30,4,0,0,30,4,20200311,0,0,0,0,occupied Palestinian territory,巴勒斯坦
30,0,0,0,30,0,20200312,0,0,0,0,occupied Palestinian territory,巴勒斯坦
31,1,0,0,31,1,20200313,0,0,0,0,occupied Palestinian territory,巴勒斯坦
35,4,0,0,35,4,20200314,0,0,0,0,occupied Palestinian territory,巴勒斯坦
38,3,0,0,38,3,20200315,0,0,0,0,occupied Palestinian territory,巴勒斯坦
38,0,0,0,38,0,20200316,0,0,0,0,occupied Palestinian territory,巴勒斯坦
39,1,0,0,39,1,20200317,0,0,0,0,occupied Palestinian territory,巴勒斯坦
41,2,0,0,41,2,20200318,0,0,0,0,occupied Palestinian territory,巴勒斯坦
47,6,0,0,47,6,20200319,0,0,0,0,occupied Palestinian territory,巴勒斯坦
48,1,0,0,48,1,20200320,0,0,0,0,occupied Palestinian territory,巴勒斯坦
57,9,17,17,40,-8,20200321,0,0,0,0,occupied Palestinian territory,巴勒斯坦
59,2,17,0,42,2,20200322,0,0,0,0,occupied Palestinian territory,巴勒斯坦
59,0,17,0,42,0,20200323,0,0,0,0,occupied Palestinian territory,巴勒斯坦
59,0,17,0,42,0,20200324,0,0,0,0,occupied Palestinian territory,巴勒斯坦
64,5,16,-1,47,5,20200325,1,1,0,0,occupied Palestinian territory,巴勒斯坦
64,0,16,0,47,0,20200326,1,0,0,0,occupied Palestinian territory,巴勒斯坦
84,20,16,0,67,20,20200327,1,0,0,0,occupied Palestinian territory,巴勒斯坦
97,13,17,1,79,12,20200328,1,0,0,0,occupied Palestinian territory,巴勒斯坦
106,9,18,1,87,8,20200329,1,0,0,0,occupied Palestinian territory,巴勒斯坦
115,9,18,0,96,9,20200330,1,0,0,0,occupied Palestinian territory,巴勒斯坦
117,2,18,0,98,2,20200331,1,0,0,0,occupied Palestinian territory,巴勒斯坦
134,17,18,0,115,17,20200401,1,0,0,0,occupied Palestinian territory,巴勒斯坦
160,26,18,0,141,26,20200402,1,0,0,0,occupied Palestinian territory,巴勒斯坦
193,33,21,3,171,30,20200403,1,0,0,0,occupied Palestinian territory,巴勒斯坦
216,23,21,0,194,23,20200404,1,0,0,0,occupied Palestinian territory,巴勒斯坦
234,18,21,0,212,18,20200405,1,0,0,0,occupied Palestinian territory,巴勒斯坦
253,19,21,0,231,19,20200406,1,0,0,0,occupied Palestinian territory,巴勒斯坦
254,1,21,0,232,1,20200407,1,0,0,0,occupied Palestinian territory,巴勒斯坦
263,9,21,0,241,9,20200408,1,0,0,0,occupied Palestinian territory,巴勒斯坦
263,0,21,0,241,0,20200409,1,0,0,0,occupied Palestinian territory,巴勒斯坦
266,3,21,0,244,3,20200410,1,0,0,0,occupied Palestinian territory,巴勒斯坦
268,2,46,25,220,-24,20200411,2,1,0,0,occupied Palestinian territory,巴勒斯坦
268,0,46,0,220,0,20200412,2,0,0,0,occupied Palestinian territory,巴勒斯坦
274,6,46,0,226,6,20200413,2,0,0,0,occupied Palestinian territory,巴勒斯坦
287,13,46,0,239,13,20200414,2,0,0,0,occupied Palestinian territory,巴勒斯坦
305,18,46,0,257,18,20200415,2,0,0,0,occupied Palestinian territory,巴勒斯坦
308,3,62,16,244,-13,20200416,2,0,0,0,occupied Palestinian territory,巴勒斯坦
308,0,62,0,244,0,20200417,2,0,0,0,occupied Palestinian territory,巴勒斯坦
313,5,62,0,249,5,20200418,2,0,0,0,occupied Palestinian territory,巴勒斯坦
320,7,62,0,256,7,20200419,2,0,0,0,occupied Palestinian territory,巴勒斯坦
